Symbol,Type
BA,Stock
GM,Stock
CVX,Stock
C,Stock
BAC,Stock
T,Stock
CAT,Stock
INTC,Stock
MSFT,Stock
AA,Stock
F,Stock
EBAY,Stock
DELL,Stock
DIS,Stock
CSCO,Stock
DE,Stock
FDX,Stock
GIS,Stock
GLW,Stock
GT,Stock
GS,Stock
JPM,Stock
KMB,Stock
KHC,Stock
KO,Stock
MCD,Stock
LLY,Stock
ORCL,Stock
MRK,Stock
MSI,Stock
MMM,Stock
ODP,Stock
PMMAF,Stock
VRTX,Stock
MNST,Stock
TEVA,Stock
FITB,Stock
SHLDQ,Stock
CTAS,Stock
ADSK,Stock
DISH,Stock
GILD,Stock
LIFE,Stock
GOOGL,Stock
FISV,Stock
LBTYA,Stock
PDLI,Stock
ADBE,Stock
BB,Stock
QCOM,Stock
SINA,Stock
BIDU,Stock
SOHU,Stock
DISCA,Stock
RBBN,Stock
AMAT,Stock
STLD,Stock
CDNS,Stock
BBBY,Stock
MCHP,Stock
WYNN,Stock
ISRG,Stock
NDAQ,Stock
RYAAY,Stock
INFY,Stock
JBLU,Stock
SPAR,Stock
HSIC,Stock
PAYX,Stock
VRSN,Stock
AAPL,Stock
FAST,Stock
XRAY,Stock
CROX,Stock
ZION,Stock
NTRS,Stock
CTXS,Stock
LAMR,Stock
PTEN,Stock
ATLC,Stock
CHRW,Stock
SIRI,Stock
ALPN,Stock
PCAR,Stock
PAAS,Stock
AMZN,Stock
ROST,Stock
VIAV,Stock
NTES,Stock
NTAP,Stock
ETFC,Stock
GRMN,Stock
COST,Stock
CHKP,Stock
LRCX,Stock
CIEN,Stock
IAC,Stock
INTU,Stock
EXPE,Stock
TCOM,Stock
UTSI,Stock
CTSH,Stock
RMBS,Stock
YRCW,Stock
AKAM,Stock
KLAC,Stock
JNPR,Stock
ATVI,Stock
FLEX,Stock
AMGN,Stock
XLNX,Stock
EXPD,Stock
EA,Stock
PDCO,Stock
TROW,Stock
BIIB,Stock
QRTEA,Stock
SCHW,Stock
HBAN,Stock
NLOK,Stock
NVDA,Stock
SRCL,Stock
SBUX,Stock
CINF,Stock
EXTR,Stock
AAXN,Stock
HOLX,Stock
CMCSA,Stock
