Date,FlexShares Core Select_Open_average,FlexShares Core Select_Open_max,FlexShares Core Select_Open_min,FlexShares Core Select_Open_volatility,FlexShares Core Select_Open_change,FlexShares Core Select_High_average,FlexShares Core Select_High_max,FlexShares Core Select_High_min,FlexShares Core Select_High_volatility,FlexShares Core Select_High_change,FlexShares Core Select_Low_average,FlexShares Core Select_Low_max,FlexShares Core Select_Low_min,FlexShares Core Select_Low_volatility,FlexShares Core Select_Low_change,FlexShares Core Select_Close_average,FlexShares Core Select_Close_max,FlexShares Core Select_Close_min,FlexShares Core Select_Close_volatility,FlexShares Core Select_Close_change
2018-01-14,24.75,24.75,24.75,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.75,24.75,24.75,0.0,0.0
2018-01-21,24.87,24.87,24.87,0.0,0.0,24.87,24.87,24.87,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.85,24.85,24.85,0.0,0.0
2018-01-28,24.71,24.71,24.71,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.71,24.71,24.71,0.0,0.0
2018-02-04,24.41,24.41,24.41,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.43,24.43,24.43,0.0,0.0
2018-02-11,24.33,24.33,24.33,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.32,24.32,24.32,0.0,0.0
2018-02-18,24.49,24.49,24.49,0.0,0.0,24.49,24.49,24.49,0.0,0.0,24.49,24.49,24.49,0.0,0.0,24.49,24.49,24.49,0.0,0.0
2018-02-25,24.47,24.47,24.47,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.43,24.43,24.43,0.0,0.0
2018-03-04,24.37,24.37,24.37,0.0,0.0,24.37,24.37,24.37,0.0,0.0,24.31,24.31,24.31,0.0,0.0,24.34,24.34,24.34,0.0,0.0
2018-03-11,24.28,24.28,24.28,0.0,0.0,24.36,24.36,24.36,0.0,0.0,24.28,24.28,24.28,0.0,0.0,24.28,24.28,24.28,0.0,0.0
2018-03-18,24.39,24.39,24.39,0.0,0.0,24.39,24.39,24.39,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.38,24.38,24.38,0.0,0.0
2018-03-25,24.67,24.67,24.67,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.67,24.67,24.67,0.0,0.0
2018-04-01,24.42,24.42,24.42,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2018-04-08,24.54,24.54,24.54,0.0,0.0,24.55,24.55,24.55,0.0,0.0,24.54,24.54,24.54,0.0,0.0,24.54,24.54,24.54,0.0,0.0
2018-04-15,24.23,24.23,24.23,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.23,24.23,24.23,0.0,0.0
2018-04-22,24.21,24.21,24.21,0.0,0.0,24.21,24.21,24.21,0.0,0.0,24.21,24.21,24.21,0.0,0.0,24.21,24.21,24.21,0.0,0.0
2018-04-29,24.16,24.16,24.16,0.0,0.0,24.22,24.22,24.22,0.0,0.0,24.16,24.16,24.16,0.0,0.0,24.22,24.22,24.22,0.0,0.0
2018-05-06,24.13,24.13,24.13,0.0,0.0,24.13,24.13,24.13,0.0,0.0,24.09,24.09,24.09,0.0,0.0,24.09,24.09,24.09,0.0,0.0
2018-05-13,24.06,24.06,24.06,0.0,0.0,24.06,24.06,24.06,0.0,0.0,24.06,24.06,24.06,0.0,0.0,24.06,24.06,24.06,0.0,0.0
2018-05-20,24.08,24.08,24.08,0.0,0.0,24.08,24.08,24.08,0.0,0.0,24.05,24.05,24.05,0.0,0.0,24.05,24.05,24.05,0.0,0.0
2018-05-27,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0
2018-06-03,24.06,24.06,24.06,0.0,0.0,24.06,24.06,24.06,0.0,0.0,24.05,24.05,24.05,0.0,0.0,24.06,24.06,24.06,0.0,0.0
2018-06-10,24.15,24.15,24.15,0.0,0.0,24.15,24.15,24.15,0.0,0.0,24.15,24.15,24.15,0.0,0.0,24.15,24.15,24.15,0.0,0.0
