Date,Star Global Buy-Write_Open_average,Star Global Buy-Write_Open_max,Star Global Buy-Write_Open_min,Star Global Buy-Write_Open_volatility,Star Global Buy-Write_Open_change,Star Global Buy-Write_High_average,Star Global Buy-Write_High_max,Star Global Buy-Write_High_min,Star Global Buy-Write_High_volatility,Star Global Buy-Write_High_change,Star Global Buy-Write_Low_average,Star Global Buy-Write_Low_max,Star Global Buy-Write_Low_min,Star Global Buy-Write_Low_volatility,Star Global Buy-Write_Low_change,Star Global Buy-Write_Close_average,Star Global Buy-Write_Close_max,Star Global Buy-Write_Close_min,Star Global Buy-Write_Close_volatility,Star Global Buy-Write_Close_change
2018-01-14,31.64,31.64,31.64,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.64,31.64,31.64,0.0,0.0
2018-01-21,31.88,31.88,31.88,0.0,0.0,31.97,31.97,31.97,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.97,31.97,31.97,0.0,0.0
2018-01-28,30.68,30.68,30.68,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2018-02-04,30.0,30.0,30.0,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.4,30.4,30.4,0.0,0.0
2018-02-11,31.11,31.11,31.11,0.0,0.0,31.11,31.11,31.11,0.0,0.0,30.92,30.92,30.92,0.0,0.0,30.92,30.92,30.92,0.0,0.0
2018-02-18,31.08,31.08,31.08,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.08,31.08,31.08,0.0,0.0
2018-02-25,30.79,30.79,30.79,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2018-03-04,31.32,31.32,31.32,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.32,31.32,31.32,0.0,0.0
2018-03-11,31.04,31.04,31.04,0.0,0.0,31.04,31.04,31.04,0.0,0.0,30.88,30.88,30.88,0.0,0.0,30.89,30.89,30.89,0.0,0.0
2018-03-18,31.09,31.09,31.09,0.0,0.0,31.09,31.09,31.09,0.0,0.0,31.09,31.09,31.09,0.0,0.0,31.09,31.09,31.09,0.0,0.0
2018-03-25,29.89,29.89,29.89,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.72,29.72,29.72,0.0,0.0,29.73,29.73,29.73,0.0,0.0
2018-04-01,30.36,30.36,30.36,0.0,0.0,30.38,30.38,30.38,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.28,30.28,30.28,0.0,0.0
2018-04-08,30.71,30.71,30.71,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.8,30.8,30.8,0.0,0.0
2018-04-15,30.75,30.75,30.75,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2018-04-22,30.63,30.63,30.63,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2018-04-29,30.62,30.62,30.62,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.62,30.62,30.62,0.0,0.0
2018-05-06,31.27,31.27,31.27,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.21,31.21,31.21,0.0,0.0,31.21,31.21,31.21,0.0,0.0
2018-05-13,31.25,31.25,31.25,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.25,31.25,31.25,0.0,0.0
2018-05-20,31.19,31.19,31.19,0.0,0.0,31.19,31.19,31.19,0.0,0.0,31.13,31.13,31.13,0.0,0.0,31.17,31.17,31.17,0.0,0.0
2018-05-27,31.16,31.16,31.16,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.25,31.25,31.25,0.0,0.0
2018-06-03,31.59,31.59,31.59,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2018-06-10,31.47,31.47,31.47,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.46,31.46,31.46,0.0,0.0
2018-06-17,31.45,31.45,31.45,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.39,31.39,31.39,0.0,0.0
2018-06-24,30.9,30.9,30.9,0.0,0.0,31.02,31.02,31.02,0.0,0.0,30.82,30.82,30.82,0.0,0.0,31.02,31.02,31.02,0.0,0.0
2018-07-01,31.24,31.24,31.24,0.0,0.0,31.24,31.24,31.24,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.23,31.23,31.23,0.0,0.0
2018-07-08,31.57,31.57,31.57,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.57,31.57,31.57,0.0,0.0
2018-07-15,31.6,31.6,31.6,0.0,0.0,31.74,31.74,31.74,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.74,31.74,31.74,0.0,0.0
2018-07-22,31.68,31.68,31.68,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.68,31.68,31.68,0.0,0.0
2018-07-29,31.58,31.58,31.58,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.58,31.58,31.58,0.0,0.0
2018-08-05,31.53,31.53,31.53,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.51,31.51,31.51,0.0,0.0
2018-08-12,31.63,31.63,31.63,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2018-08-19,31.95,31.95,31.95,0.0,0.0,32.11,32.11,32.11,0.0,0.0,31.95,31.95,31.95,0.0,0.0,32.11,32.11,32.11,0.0,0.0
2018-08-26,32.16,32.16,32.16,0.0,0.0,32.34,32.34,32.34,0.0,0.0,32.16,32.16,32.16,0.0,0.0,32.34,32.34,32.34,0.0,0.0
2018-09-02,31.87,31.87,31.87,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.87,31.87,31.87,0.0,0.0
2018-09-09,31.89,31.89,31.89,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.89,31.89,31.89,0.0,0.0
2018-09-16,32.07,32.07,32.07,0.0,0.0,32.07,32.07,32.07,0.0,0.0,32.07,32.07,32.07,0.0,0.0,32.07,32.07,32.07,0.0,0.0
2018-09-23,32.17,32.17,32.17,0.0,0.0,32.17,32.17,32.17,0.0,0.0,32.17,32.17,32.17,0.0,0.0,32.17,32.17,32.17,0.0,0.0
2018-09-30,31.62,31.62,31.62,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.62,31.62,31.62,0.0,0.0
2018-10-07,31.01,31.01,31.01,0.0,0.0,31.01,31.01,31.01,0.0,0.0,31.0,31.0,31.0,0.0,0.0,31.0,31.0,31.0,0.0,0.0
2018-10-14,32.04,32.04,32.04,0.0,0.0,32.04,32.04,32.04,0.0,0.0,30.94,30.94,30.94,0.0,0.0,30.94,30.94,30.94,0.0,0.0
2018-10-21,30.29,30.29,30.29,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.39,30.39,30.39,0.0,0.0
2018-10-28,30.34,30.34,30.34,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.37,30.37,30.37,0.0,0.0
