Date,ProShares Managed Futures Strategy_Open_average,ProShares Managed Futures Strategy_Open_max,ProShares Managed Futures Strategy_Open_min,ProShares Managed Futures Strategy_Open_volatility,ProShares Managed Futures Strategy_Open_change,ProShares Managed Futures Strategy_High_average,ProShares Managed Futures Strategy_High_max,ProShares Managed Futures Strategy_High_min,ProShares Managed Futures Strategy_High_volatility,ProShares Managed Futures Strategy_High_change,ProShares Managed Futures Strategy_Low_average,ProShares Managed Futures Strategy_Low_max,ProShares Managed Futures Strategy_Low_min,ProShares Managed Futures Strategy_Low_volatility,ProShares Managed Futures Strategy_Low_change,ProShares Managed Futures Strategy_Close_average,ProShares Managed Futures Strategy_Close_max,ProShares Managed Futures Strategy_Close_min,ProShares Managed Futures Strategy_Close_volatility,ProShares Managed Futures Strategy_Close_change
2018-01-14,40.02,40.02,40.02,0.0,0.0,40.02,40.02,40.02,0.0,0.0,40.0,40.0,40.0,0.0,0.0,40.01,40.01,40.01,0.0,0.0
2018-01-21,40.1,40.1,40.1,0.0,0.0,40.1,40.1,40.1,0.0,0.0,40.1,40.1,40.1,0.0,0.0,40.1,40.1,40.1,0.0,0.0
2018-01-28,39.7,39.7,39.7,0.0,0.0,39.7,39.7,39.7,0.0,0.0,39.7,39.7,39.7,0.0,0.0,39.7,39.7,39.7,0.0,0.0
2018-02-04,39.31,39.31,39.31,0.0,0.0,39.31,39.31,39.31,0.0,0.0,39.31,39.31,39.31,0.0,0.0,39.31,39.31,39.31,0.0,0.0
2018-02-11,39.5,39.5,39.5,0.0,0.0,39.5,39.5,39.5,0.0,0.0,39.5,39.5,39.5,0.0,0.0,39.5,39.5,39.5,0.0,0.0
2018-02-18,39.68,39.68,39.68,0.0,0.0,39.68,39.68,39.68,0.0,0.0,39.68,39.68,39.68,0.0,0.0,39.68,39.68,39.68,0.0,0.0
2018-02-25,39.54,39.54,39.54,0.0,0.0,39.54,39.54,39.54,0.0,0.0,39.54,39.54,39.54,0.0,0.0,39.54,39.54,39.54,0.0,0.0
2018-03-04,39.48,39.48,39.48,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.48,39.48,39.48,0.0,0.0,39.49,39.49,39.49,0.0,0.0
2018-03-11,39.54,39.54,39.54,0.0,0.0,39.54,39.54,39.54,0.0,0.0,39.54,39.54,39.54,0.0,0.0,39.54,39.54,39.54,0.0,0.0
2018-03-18,39.72,39.72,39.72,0.0,0.0,39.72,39.72,39.72,0.0,0.0,39.72,39.72,39.72,0.0,0.0,39.72,39.72,39.72,0.0,0.0
2018-03-25,39.62,39.62,39.62,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.62,39.62,39.62,0.0,0.0
2018-04-01,39.62,39.62,39.62,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.62,39.62,39.62,0.0,0.0
2018-04-08,39.54,39.54,39.54,0.0,0.0,39.54,39.54,39.54,0.0,0.0,39.54,39.54,39.54,0.0,0.0,39.54,39.54,39.54,0.0,0.0
2018-04-15,39.84,39.84,39.84,0.0,0.0,39.84,39.84,39.84,0.0,0.0,39.84,39.84,39.84,0.0,0.0,39.84,39.84,39.84,0.0,0.0
2018-04-22,39.74,39.74,39.74,0.0,0.0,39.82,39.82,39.82,0.0,0.0,39.73,39.73,39.73,0.0,0.0,39.82,39.82,39.82,0.0,0.0
2018-04-29,39.0,39.0,39.0,0.0,0.0,39.0,39.0,39.0,0.0,0.0,39.0,39.0,39.0,0.0,0.0,39.0,39.0,39.0,0.0,0.0
