Date,Franklin LibertyQ Global Equity_Open_average,Franklin LibertyQ Global Equity_Open_max,Franklin LibertyQ Global Equity_Open_min,Franklin LibertyQ Global Equity_Open_volatility,Franklin LibertyQ Global Equity_Open_change,Franklin LibertyQ Global Equity_High_average,Franklin LibertyQ Global Equity_High_max,Franklin LibertyQ Global Equity_High_min,Franklin LibertyQ Global Equity_High_volatility,Franklin LibertyQ Global Equity_High_change,Franklin LibertyQ Global Equity_Low_average,Franklin LibertyQ Global Equity_Low_max,Franklin LibertyQ Global Equity_Low_min,Franklin LibertyQ Global Equity_Low_volatility,Franklin LibertyQ Global Equity_Low_change,Franklin LibertyQ Global Equity_Close_average,Franklin LibertyQ Global Equity_Close_max,Franklin LibertyQ Global Equity_Close_min,Franklin LibertyQ Global Equity_Close_volatility,Franklin LibertyQ Global Equity_Close_change
2018-01-14,31.37,31.37,31.37,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2018-01-21,32.38,32.38,32.38,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.38,32.38,32.38,0.0,0.0,32.51,32.51,32.51,0.0,0.0
2018-01-28,31.48,31.48,31.48,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.38,31.38,31.38,0.0,0.0
2018-02-04,29.58,29.58,29.58,0.0,0.0,29.58,29.58,29.58,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.48,29.48,29.48,0.0,0.0
2018-02-11,31.15,31.15,31.15,0.0,0.0,31.15,31.15,31.15,0.0,0.0,31.11,31.11,31.11,0.0,0.0,31.13,31.13,31.13,0.0,0.0
2018-02-18,30.93,30.93,30.93,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.93,30.93,30.93,0.0,0.0
2018-02-25,30.13,30.13,30.13,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.23,30.23,30.23,0.0,0.0
2018-03-04,30.71,30.71,30.71,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.71,30.71,30.71,0.0,0.0
2018-03-11,30.9,30.9,30.9,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.9,30.9,30.9,0.0,0.0,30.96,30.96,30.96,0.0,0.0
2018-03-18,30.3,30.3,30.3,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.3,30.3,30.3,0.0,0.0
2018-03-25,30.04,30.04,30.04,0.0,0.0,30.04,30.04,30.04,0.0,0.0,30.04,30.04,30.04,0.0,0.0,30.04,30.04,30.04,0.0,0.0
2018-04-01,30.01,30.01,30.01,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.01,30.01,30.01,0.0,0.0
