Date,Xtrackers Short Duration High Yield_Open_average,Xtrackers Short Duration High Yield_Open_max,Xtrackers Short Duration High Yield_Open_min,Xtrackers Short Duration High Yield_Open_volatility,Xtrackers Short Duration High Yield_Open_change,Xtrackers Short Duration High Yield_High_average,Xtrackers Short Duration High Yield_High_max,Xtrackers Short Duration High Yield_High_min,Xtrackers Short Duration High Yield_High_volatility,Xtrackers Short Duration High Yield_High_change,Xtrackers Short Duration High Yield_Low_average,Xtrackers Short Duration High Yield_Low_max,Xtrackers Short Duration High Yield_Low_min,Xtrackers Short Duration High Yield_Low_volatility,Xtrackers Short Duration High Yield_Low_change,Xtrackers Short Duration High Yield_Close_average,Xtrackers Short Duration High Yield_Close_max,Xtrackers Short Duration High Yield_Close_min,Xtrackers Short Duration High Yield_Close_volatility,Xtrackers Short Duration High Yield_Close_change
2018-01-14,50.02,50.02,50.02,0.0,0.0,50.07,50.07,50.07,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.06,50.06,50.06,0.0,0.0
2018-01-21,50.26,50.26,50.26,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.25,50.25,50.25,0.0,0.0
2018-01-28,49.81,49.81,49.81,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.66,49.66,49.66,0.0,0.0,49.66,49.66,49.66,0.0,0.0
2018-02-04,49.09,49.09,49.09,0.0,0.0,49.17,49.17,49.17,0.0,0.0,48.98,48.98,48.98,0.0,0.0,49.13,49.13,49.13,0.0,0.0
2018-02-11,49.67,49.67,49.67,0.0,0.0,49.71,49.71,49.71,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.71,49.71,49.71,0.0,0.0
2018-02-18,49.54,49.54,49.54,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.63,49.63,49.63,0.0,0.0
2018-02-25,49.35,49.35,49.35,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.48,49.48,49.48,0.0,0.0
2018-03-04,49.59,49.59,49.59,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.67,49.67,49.67,0.0,0.0
2018-03-11,49.49,49.49,49.49,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.42,49.42,49.42,0.0,0.0,49.5,49.5,49.5,0.0,0.0
2018-03-18,49.35,49.35,49.35,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.24,49.24,49.24,0.0,0.0,49.24,49.24,49.24,0.0,0.0
