Date,iShares MSCI Ireland_Open_average,iShares MSCI Ireland_Open_max,iShares MSCI Ireland_Open_min,iShares MSCI Ireland_Open_volatility,iShares MSCI Ireland_Open_change,iShares MSCI Ireland_High_average,iShares MSCI Ireland_High_max,iShares MSCI Ireland_High_min,iShares MSCI Ireland_High_volatility,iShares MSCI Ireland_High_change,iShares MSCI Ireland_Low_average,iShares MSCI Ireland_Low_max,iShares MSCI Ireland_Low_min,iShares MSCI Ireland_Low_volatility,iShares MSCI Ireland_Low_change,iShares MSCI Ireland_Close_average,iShares MSCI Ireland_Close_max,iShares MSCI Ireland_Close_min,iShares MSCI Ireland_Close_volatility,iShares MSCI Ireland_Close_change
2018-01-14,49.14,49.14,49.14,0.0,0.0,49.56,49.56,49.56,0.0,0.0,49.06,49.06,49.06,0.0,0.0,49.48,49.48,49.48,0.0,0.0
2018-01-21,50.01,50.01,50.01,0.0,0.0,50.1,50.1,50.1,0.0,0.0,49.95,49.95,49.95,0.0,0.0,50.0,50.0,50.0,0.0,0.0
2018-01-28,48.64,48.64,48.64,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.21,48.21,48.21,0.0,0.0,48.27,48.27,48.27,0.0,0.0
2018-02-04,46.12,46.12,46.12,0.0,0.0,46.29,46.29,46.29,0.0,0.0,45.42,45.42,45.42,0.0,0.0,46.29,46.29,46.29,0.0,0.0
2018-02-11,48.18,48.18,48.18,0.0,0.0,48.54,48.54,48.54,0.0,0.0,48.02,48.02,48.02,0.0,0.0,48.03,48.03,48.03,0.0,0.0
2018-02-18,47.16,47.16,47.16,0.0,0.0,47.22,47.22,47.22,0.0,0.0,46.96,46.96,46.96,0.0,0.0,47.22,47.22,47.22,0.0,0.0
2018-02-25,45.77,45.77,45.77,0.0,0.0,46.1,46.1,46.1,0.0,0.0,45.69,45.69,45.69,0.0,0.0,45.9,45.9,45.9,0.0,0.0
2018-03-04,47.69,47.69,47.69,0.0,0.0,47.99,47.99,47.99,0.0,0.0,47.61,47.61,47.61,0.0,0.0,47.78,47.78,47.78,0.0,0.0
2018-03-11,47.19,47.19,47.19,0.0,0.0,47.22,47.22,47.22,0.0,0.0,46.78,46.78,46.78,0.0,0.0,46.83,46.83,46.83,0.0,0.0
2018-03-18,46.05,46.05,46.05,0.0,0.0,46.28,46.28,46.28,0.0,0.0,45.94,45.94,45.94,0.0,0.0,46.16,46.16,46.16,0.0,0.0
2018-03-25,46.79,46.79,46.79,0.0,0.0,47.02,47.02,47.02,0.0,0.0,46.52,46.52,46.52,0.0,0.0,46.72,46.72,46.72,0.0,0.0
2018-04-01,46.91,46.91,46.91,0.0,0.0,46.91,46.91,46.91,0.0,0.0,46.15,46.15,46.15,0.0,0.0,46.23,46.23,46.23,0.0,0.0
2018-04-08,47.17,47.17,47.17,0.0,0.0,47.17,47.17,47.17,0.0,0.0,46.8,46.8,46.8,0.0,0.0,46.87,46.87,46.87,0.0,0.0
2018-04-15,48.21,48.21,48.21,0.0,0.0,48.21,48.21,48.21,0.0,0.0,48.05,48.05,48.05,0.0,0.0,48.15,48.15,48.15,0.0,0.0
2018-04-22,47.31,47.31,47.31,0.0,0.0,47.39,47.39,47.39,0.0,0.0,47.13,47.13,47.13,0.0,0.0,47.35,47.35,47.35,0.0,0.0
2018-04-29,46.8,46.8,46.8,0.0,0.0,47.39,47.39,47.39,0.0,0.0,46.8,46.8,46.8,0.0,0.0,47.34,47.34,47.34,0.0,0.0
2018-05-06,47.93,47.93,47.93,0.0,0.0,48.22,48.22,48.22,0.0,0.0,47.93,47.93,47.93,0.0,0.0,48.1,48.1,48.1,0.0,0.0
2018-05-13,48.09,48.09,48.09,0.0,0.0,48.38,48.38,48.38,0.0,0.0,48.09,48.09,48.09,0.0,0.0,48.32,48.32,48.32,0.0,0.0
2018-05-20,48.47,48.47,48.47,0.0,0.0,48.47,48.47,48.47,0.0,0.0,48.13,48.13,48.13,0.0,0.0,48.44,48.44,48.44,0.0,0.0
2018-05-27,48.63,48.63,48.63,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.27,48.27,48.27,0.0,0.0,48.41,48.41,48.41,0.0,0.0
2018-06-03,49.13,49.13,49.13,0.0,0.0,49.14,49.14,49.14,0.0,0.0,48.91,48.91,48.91,0.0,0.0,48.91,48.91,48.91,0.0,0.0
2018-06-10,49.15,49.15,49.15,0.0,0.0,49.99,49.99,49.99,0.0,0.0,48.67,48.67,48.67,0.0,0.0,49.08,49.08,49.08,0.0,0.0
2018-06-17,47.98,47.98,47.98,0.0,0.0,48.22,48.22,48.22,0.0,0.0,47.77,47.77,47.77,0.0,0.0,48.03,48.03,48.03,0.0,0.0
2018-06-24,47.18,47.18,47.18,0.0,0.0,47.75,47.75,47.75,0.0,0.0,47.15,47.15,47.15,0.0,0.0,47.33,47.33,47.33,0.0,0.0
2018-07-01,48.22,48.22,48.22,0.0,0.0,48.41,48.41,48.41,0.0,0.0,47.78,47.78,47.78,0.0,0.0,47.78,47.78,47.78,0.0,0.0
2018-07-08,47.76,47.76,47.76,0.0,0.0,48.5,48.5,48.5,0.0,0.0,47.76,47.76,47.76,0.0,0.0,48.5,48.5,48.5,0.0,0.0
2018-07-15,48.08,48.08,48.08,0.0,0.0,48.18,48.18,48.18,0.0,0.0,47.39,47.39,47.39,0.0,0.0,47.39,47.39,47.39,0.0,0.0
2018-07-22,47.41,47.41,47.41,0.0,0.0,47.54,47.54,47.54,0.0,0.0,47.03,47.03,47.03,0.0,0.0,47.35,47.35,47.35,0.0,0.0
2018-07-29,46.93,46.93,46.93,0.0,0.0,46.93,46.93,46.93,0.0,0.0,46.68,46.68,46.68,0.0,0.0,46.75,46.75,46.75,0.0,0.0
2018-08-05,45.06,45.06,45.06,0.0,0.0,45.36,45.36,45.36,0.0,0.0,45.05,45.05,45.05,0.0,0.0,45.21,45.21,45.21,0.0,0.0
2018-08-12,45.01,45.01,45.01,0.0,0.0,45.94,45.94,45.94,0.0,0.0,44.95,44.95,44.95,0.0,0.0,45.66,45.66,45.66,0.0,0.0
2018-08-19,46.36,46.36,46.36,0.0,0.0,46.45,46.45,46.45,0.0,0.0,46.3,46.3,46.3,0.0,0.0,46.44,46.44,46.44,0.0,0.0
2018-08-26,46.3,46.3,46.3,0.0,0.0,46.45,46.45,46.45,0.0,0.0,46.04,46.04,46.04,0.0,0.0,46.17,46.17,46.17,0.0,0.0
2018-09-02,45.45,45.45,45.45,0.0,0.0,45.54,45.54,45.54,0.0,0.0,45.2,45.2,45.2,0.0,0.0,45.21,45.21,45.21,0.0,0.0
