Date,ProShares Ultra Financials_Open_average,ProShares Ultra Financials_Open_max,ProShares Ultra Financials_Open_min,ProShares Ultra Financials_Open_volatility,ProShares Ultra Financials_Open_change,ProShares Ultra Financials_High_average,ProShares Ultra Financials_High_max,ProShares Ultra Financials_High_min,ProShares Ultra Financials_High_volatility,ProShares Ultra Financials_High_change,ProShares Ultra Financials_Low_average,ProShares Ultra Financials_Low_max,ProShares Ultra Financials_Low_min,ProShares Ultra Financials_Low_volatility,ProShares Ultra Financials_Low_change,ProShares Ultra Financials_Close_average,ProShares Ultra Financials_Close_max,ProShares Ultra Financials_Close_min,ProShares Ultra Financials_Close_volatility,ProShares Ultra Financials_Close_change
2018-01-14,45.41,45.41,45.41,0.0,0.0,45.89,45.89,45.89,0.0,0.0,45.41,45.41,45.41,0.0,0.0,45.89,45.89,45.89,0.0,0.0
2018-01-21,47.38,47.38,47.38,0.0,0.0,47.7,47.7,47.7,0.0,0.0,46.99,46.99,46.99,0.0,0.0,47.7,47.7,47.7,0.0,0.0
2018-01-28,46.82,46.82,46.82,0.0,0.0,46.82,46.82,46.82,0.0,0.0,45.05,45.05,45.05,0.0,0.0,45.17,45.17,45.17,0.0,0.0
2018-02-04,40.0,40.0,40.0,0.0,0.0,40.95,40.95,40.95,0.0,0.0,37.94,37.94,37.94,0.0,0.0,40.39,40.39,40.39,0.0,0.0
2018-02-11,43.55,43.55,43.55,0.0,0.0,44.48,44.48,44.48,0.0,0.0,43.55,43.55,43.55,0.0,0.0,44.0,44.0,44.0,0.0,0.0
2018-02-18,43.13,43.13,43.13,0.0,0.0,44.07,44.07,44.07,0.0,0.0,42.69,42.69,42.69,0.0,0.0,44.06,44.06,44.06,0.0,0.0
2018-02-25,41.33,41.33,41.33,0.0,0.0,42.37,42.37,42.37,0.0,0.0,40.76,40.76,40.76,0.0,0.0,42.22,42.22,42.22,0.0,0.0
2018-03-04,44.72,44.72,44.72,0.0,0.0,45.81,45.81,45.81,0.0,0.0,44.49,44.49,44.49,0.0,0.0,45.78,45.78,45.78,0.0,0.0
2018-03-11,44.3,44.3,44.3,0.0,0.0,44.9,44.9,44.9,0.0,0.0,44.3,44.3,44.3,0.0,0.0,44.45,44.45,44.45,0.0,0.0
2018-03-18,40.98,40.98,40.98,0.0,0.0,41.3,41.3,41.3,0.0,0.0,38.72,38.72,38.72,0.0,0.0,38.85,38.85,38.85,0.0,0.0
2018-03-25,40.34,40.34,40.34,0.0,0.0,41.46,41.46,41.46,0.0,0.0,40.2,40.2,40.2,0.0,0.0,41.05,41.05,41.05,0.0,0.0
