Date,THMO_Open_average,THMO_Open_max,THMO_Open_min,THMO_Open_volatility,THMO_Open_change,THMO_High_average,THMO_High_max,THMO_High_min,THMO_High_volatility,THMO_High_change,THMO_Low_average,THMO_Low_max,THMO_Low_min,THMO_Low_volatility,THMO_Low_change,THMO_Close_average,THMO_Close_max,THMO_Close_min,THMO_Close_volatility,THMO_Close_change,THMO_Volume_average,THMO_Volume_max,THMO_Volume_min,THMO_Volume_volatility,THMO_Volume_change
2018-01-14,30.55,32.0,29.5,2.5,-2.5,30.947499999999998,32.0,30.05,1.9499999999999993,-1.9499999999999993,29.6275,30.0,29.21,0.7899999999999991,-0.6999999999999993,30.225,30.9,29.7,1.1999999999999993,-0.8999999999999986,5147,10992,1274,9718,-9718
2018-01-21,29.919999999999998,30.2,29.5,0.6999999999999993,-0.3000000000000007,30.572,32.0,30.0,2.0,-1.6400000000000006,29.362,29.7,29.2,0.5,-0.010000000000001563,29.84,30.1,29.5,0.6000000000000014,-0.6000000000000014,4006,8734,580,8154,-5256
2018-01-28,28.036,29.2,27.0,2.1999999999999993,-1.8999999999999986,28.864,29.4,28.05,1.3499999999999979,-0.509999999999998,27.36,28.1,27.0,1.1000000000000014,-0.8000000000000007,27.82,28.4,27.3,1.0999999999999979,-0.3999999999999986,3669,6575,697,5878,-3352
2018-02-04,27.238,27.8,26.7,1.1000000000000014,-1.1000000000000014,27.72,28.9,27.2,1.6999999999999993,-1.6999999999999993,26.58,27.5,25.7,1.8000000000000007,-1.8000000000000007,26.72,27.6,25.7,1.9000000000000021,-1.9000000000000021,4391,6834,1379,5455,1934
2018-02-11,27.439999999999998,28.5,25.9,2.6000000000000014,2.6000000000000014,28.344,30.2,26.62,3.5799999999999983,3.5799999999999983,26.59,28.0,25.45,2.5500000000000007,2.5500000000000007,28.02,29.4,26.4,3.0,3.0,4638,7413,2649,4764,3223
2018-02-18,28.775,29.7,28.1,1.5999999999999979,-1.1499999999999986,29.13,30.0,28.81,1.1900000000000013,-1.1900000000000013,28.192500000000003,28.57,28.0,0.5700000000000003,-0.46999999999999886,28.575,28.9,28.0,0.8999999999999986,-0.1999999999999993,1323,2984,459,2525,-2525
2018-02-25,28.669999999999998,29.9,27.9,2.0,-2.0,28.86,29.9,28.4,1.5,-1.5,28.08,28.8,27.9,0.9000000000000021,-0.9000000000000021,28.438,28.8,28.2,0.6000000000000014,-0.5,1073,3615,324,3291,-3197
2018-03-04,29.154,29.5,28.3,1.1999999999999993,1.1999999999999993,29.8,30.5,29.4,1.1000000000000014,0.6999999999999993,28.855999999999998,29.2,28.3,0.8999999999999986,0.5,29.54,30.0,29.0,1.0,0.5,2081,4801,361,4440,-2372
2018-03-11,29.96,32.5,27.3,5.199999999999999,-2.3000000000000007,30.63,33.4,28.3,5.099999999999998,-2.599999999999998,28.48,29.6,27.0,2.6000000000000014,-2.6000000000000014,29.3,30.7,27.5,3.1999999999999993,-2.599999999999998,10364,38469,1927,36542,-1859
2018-03-18,28.580000000000002,29.5,27.7,1.8000000000000007,-1.4000000000000021,28.848,29.5,27.7,1.8000000000000007,-1.6999999999999993,27.46,28.4,26.7,1.6999999999999993,-1.6999999999999993,27.86,28.8,26.8,2.0,-2.0,3025,5737,1012,4725,1080
