Date,DAC_Open_average,DAC_Open_max,DAC_Open_min,DAC_Open_volatility,DAC_Open_change,DAC_High_average,DAC_High_max,DAC_High_min,DAC_High_volatility,DAC_High_change,DAC_Low_average,DAC_Low_max,DAC_Low_min,DAC_Low_volatility,DAC_Low_change,DAC_Close_average,DAC_Close_max,DAC_Close_min,DAC_Close_volatility,DAC_Close_change,DAC_Volume_average,DAC_Volume_max,DAC_Volume_min,DAC_Volume_volatility,DAC_Volume_change
2018-01-14,1.475,1.5,1.45,0.050000000000000044,0.0,1.505,1.52,1.5,0.020000000000000018,-0.020000000000000018,1.43,1.45,1.4,0.050000000000000044,0.0,1.43,1.45,1.4,0.050000000000000044,0.0,37242,48225,18076,30149,-30149
2018-01-21,1.46,1.5,1.4,0.10000000000000009,-0.050000000000000044,1.49,1.5,1.45,0.050000000000000044,-0.050000000000000044,1.39,1.45,1.35,0.09999999999999987,-0.050000000000000044,1.44,1.5,1.4,0.10000000000000009,-0.050000000000000044,101449,315925,15313,300612,-25010
2018-01-28,1.37,1.45,1.3,0.1499999999999999,-0.04999999999999982,1.42,1.45,1.4,0.050000000000000044,-0.050000000000000044,1.33,1.4,1.3,0.09999999999999987,-0.09999999999999987,1.3619999999999999,1.4,1.3,0.09999999999999987,-0.020000000000000018,58257,125527,27310,98217,11799
2018-02-04,1.35,1.4,1.3,0.09999999999999987,-0.04999999999999982,1.36,1.4,1.35,0.04999999999999982,-0.04999999999999982,1.27,1.3,1.25,0.050000000000000044,0.050000000000000044,1.3,1.35,1.25,0.10000000000000009,0.050000000000000044,52183,109861,15266,94595,-82411
2018-02-11,1.36,1.4,1.35,0.04999999999999982,0.0,1.39,1.4,1.35,0.04999999999999982,0.04999999999999982,1.3,1.3,1.3,0.0,0.0,1.34,1.35,1.3,0.050000000000000044,0.050000000000000044,53427,88838,33981,54857,-54857
2018-02-18,1.3375000000000001,1.35,1.3,0.050000000000000044,0.0,1.4,1.4,1.4,0.0,0.0,1.3250000000000002,1.35,1.3,0.050000000000000044,-0.050000000000000044,1.3575,1.38,1.35,0.029999999999999805,-0.029999999999999805,30472,47584,17387,30197,29392
2018-02-25,1.34,1.4,1.3,0.09999999999999987,-0.04999999999999982,1.36,1.4,1.35,0.04999999999999982,-0.04999999999999982,1.29,1.3,1.25,0.050000000000000044,0.0,1.3,1.3,1.3,0.0,0.0,26670,61417,6373,55044,-13408
2018-03-04,1.3,1.3,1.3,0.0,0.0,1.31,1.35,1.3,0.050000000000000044,-0.050000000000000044,1.25,1.25,1.25,0.0,0.0,1.27,1.3,1.25,0.050000000000000044,-0.050000000000000044,40894,78931,3685,75246,-62645
2018-03-11,1.27,1.3,1.25,0.050000000000000044,-0.050000000000000044,1.3,1.3,1.3,0.0,0.0,1.25,1.25,1.25,0.0,0.0,1.274,1.3,1.25,0.050000000000000044,0.0,20452,29590,7022,22568,-13152
2018-03-18,1.29,1.3,1.25,0.050000000000000044,0.0,1.3,1.3,1.3,0.0,0.0,1.25,1.25,1.25,0.0,0.0,1.264,1.3,1.25,0.050000000000000044,0.0,20505,31374,12101,19273,7215
2018-03-25,1.275,1.3,1.25,0.050000000000000044,-0.050000000000000044,1.3,1.3,1.3,0.0,0.0,1.2475,1.25,1.24,0.010000000000000009,-0.010000000000000009,1.255,1.27,1.25,0.020000000000000018,-0.020000000000000018,36099,63393,21977,41416,41416
2018-04-01,1.2,1.3,1.15,0.15000000000000013,-0.10000000000000009,1.22,1.3,1.15,0.15000000000000013,-0.15000000000000013,1.12,1.25,1.05,0.19999999999999996,-0.19999999999999996,1.17,1.3,1.1,0.19999999999999996,-0.15000000000000013,55525,125919,18717,107202,8472
2018-04-08,1.13,1.15,1.1,0.04999999999999982,0.0,1.16,1.2,1.15,0.050000000000000044,0.0,1.07,1.1,1.05,0.050000000000000044,0.050000000000000044,1.106,1.15,1.05,0.09999999999999987,0.09999999999999987,38245,71398,15036,56362,-56362
2018-04-15,1.1179999999999999,1.15,1.05,0.09999999999999987,0.0,1.14,1.15,1.1,0.04999999999999982,0.0,1.07,1.1,1.05,0.050000000000000044,0.050000000000000044,1.1019999999999999,1.15,1.05,0.09999999999999987,0.07999999999999985,40062,71202,15628,55574,-8896
2018-04-22,1.13,1.15,1.1,0.04999999999999982,-0.04999999999999982,1.154,1.17,1.15,0.020000000000000018,0.0,1.088,1.1,1.05,0.050000000000000044,-0.010000000000000009,1.13,1.15,1.1,0.04999999999999982,0.0,27091,42425,14395,28030,-4942
2018-04-29,1.15,1.15,1.15,0.0,0.0,1.18,1.2,1.15,0.050000000000000044,0.050000000000000044,1.11,1.15,1.05,0.09999999999999987,0.09999999999999987,1.17,1.2,1.1,0.09999999999999987,0.09999999999999987,32737,72035,14132,57903,-3048
2018-05-06,1.25,1.3,1.15,0.15000000000000013,0.10000000000000009,1.28,1.3,1.2,0.10000000000000009,0.10000000000000009,1.19,1.25,1.1,0.1499999999999999,0.1499999999999999,1.25,1.3,1.15,0.15000000000000013,0.15000000000000013,42377,106601,10641,95960,-37711
2018-05-13,1.27,1.3,1.25,0.050000000000000044,0.0,1.3,1.3,1.3,0.0,0.0,1.25,1.25,1.25,0.0,0.0,1.274,1.3,1.25,0.050000000000000044,0.050000000000000044,25393,50910,7534,43376,20465
2018-05-20,1.29,1.3,1.25,0.050000000000000044,0.0,1.3,1.3,1.3,0.0,0.0,1.25,1.25,1.25,0.0,0.0,1.264,1.3,1.25,0.050000000000000044,0.020000000000000018,17675,33247,5630,27617,-23667
2018-05-27,1.3375,1.45,1.25,0.19999999999999996,0.19999999999999996,1.4125,1.5,1.3,0.19999999999999996,0.19999999999999996,1.3125,1.4,1.25,0.1499999999999999,0.1499999999999999,1.37,1.45,1.27,0.17999999999999994,0.1399999999999999,59826,103663,7728,95935,84002
2018-06-03,1.36,1.4,1.3,0.09999999999999987,-0.04999999999999982,1.394,1.45,1.35,0.09999999999999987,-0.09999999999999987,1.3,1.4,1.25,0.1499999999999999,-0.09999999999999987,1.346,1.4,1.3,0.09999999999999987,-0.06999999999999984,43536,73194,21615,51579,-3608
2018-06-10,1.32,1.35,1.3,0.050000000000000044,0.0,1.35,1.35,1.35,0.0,0.0,1.28,1.3,1.25,0.050000000000000044,0.0,1.33,1.35,1.3,0.050000000000000044,0.050000000000000044,33613,50019,12501,37518,2709
2018-06-17,1.46,1.7,1.3,0.3999999999999999,0.34999999999999987,1.546,1.83,1.3,0.53,0.48,1.38,1.65,1.2,0.44999999999999996,0.3999999999999999,1.46,1.65,1.25,0.3999999999999999,0.3999999999999999,270636,762316,45146,717170,190243
