Date,BlackRock MuniAssets Closed Fund_Open_average,BlackRock MuniAssets Closed Fund_Open_max,BlackRock MuniAssets Closed Fund_Open_min,BlackRock MuniAssets Closed Fund_Open_volatility,BlackRock MuniAssets Closed Fund_Open_change,BlackRock MuniAssets Closed Fund_High_average,BlackRock MuniAssets Closed Fund_High_max,BlackRock MuniAssets Closed Fund_High_min,BlackRock MuniAssets Closed Fund_High_volatility,BlackRock MuniAssets Closed Fund_High_change,BlackRock MuniAssets Closed Fund_Low_average,BlackRock MuniAssets Closed Fund_Low_max,BlackRock MuniAssets Closed Fund_Low_min,BlackRock MuniAssets Closed Fund_Low_volatility,BlackRock MuniAssets Closed Fund_Low_change,BlackRock MuniAssets Closed Fund_Close_average,BlackRock MuniAssets Closed Fund_Close_max,BlackRock MuniAssets Closed Fund_Close_min,BlackRock MuniAssets Closed Fund_Close_volatility,BlackRock MuniAssets Closed Fund_Close_change
2018-01-14,14.49,14.49,14.49,0.0,0.0,14.54,14.54,14.54,0.0,0.0,14.44,14.44,14.44,0.0,0.0,14.48,14.48,14.48,0.0,0.0
2018-01-21,14.26,14.26,14.26,0.0,0.0,14.28,14.28,14.28,0.0,0.0,14.11,14.11,14.11,0.0,0.0,14.11,14.11,14.11,0.0,0.0
2018-01-28,13.9,13.9,13.9,0.0,0.0,13.9,13.9,13.9,0.0,0.0,13.7,13.7,13.7,0.0,0.0,13.73,13.73,13.73,0.0,0.0
2018-02-04,13.88,13.88,13.88,0.0,0.0,13.9,13.9,13.9,0.0,0.0,13.81,13.81,13.81,0.0,0.0,13.81,13.81,13.81,0.0,0.0
2018-02-11,13.77,13.77,13.77,0.0,0.0,13.82,13.82,13.82,0.0,0.0,13.75,13.75,13.75,0.0,0.0,13.76,13.76,13.76,0.0,0.0
2018-02-18,13.74,13.74,13.74,0.0,0.0,13.75,13.75,13.75,0.0,0.0,13.72,13.72,13.72,0.0,0.0,13.73,13.73,13.73,0.0,0.0
2018-02-25,13.66,13.66,13.66,0.0,0.0,13.69,13.69,13.69,0.0,0.0,13.65,13.65,13.65,0.0,0.0,13.69,13.69,13.69,0.0,0.0
2018-03-04,13.72,13.72,13.72,0.0,0.0,13.72,13.72,13.72,0.0,0.0,13.63,13.63,13.63,0.0,0.0,13.68,13.68,13.68,0.0,0.0
2018-03-11,13.46,13.46,13.46,0.0,0.0,13.5,13.5,13.5,0.0,0.0,13.41,13.41,13.41,0.0,0.0,13.5,13.5,13.5,0.0,0.0
2018-03-18,13.36,13.36,13.36,0.0,0.0,13.41,13.41,13.41,0.0,0.0,13.31,13.31,13.31,0.0,0.0,13.35,13.35,13.35,0.0,0.0
2018-03-25,13.46,13.46,13.46,0.0,0.0,13.47,13.47,13.47,0.0,0.0,13.37,13.37,13.37,0.0,0.0,13.37,13.37,13.37,0.0,0.0
2018-04-01,13.51,13.51,13.51,0.0,0.0,13.53,13.53,13.53,0.0,0.0,13.48,13.48,13.48,0.0,0.0,13.5,13.5,13.5,0.0,0.0
2018-04-08,13.42,13.42,13.42,0.0,0.0,13.42,13.42,13.42,0.0,0.0,13.32,13.32,13.32,0.0,0.0,13.33,13.33,13.33,0.0,0.0
2018-04-15,13.16,13.16,13.16,0.0,0.0,13.18,13.18,13.18,0.0,0.0,13.14,13.14,13.14,0.0,0.0,13.16,13.16,13.16,0.0,0.0
2018-04-22,13.28,13.28,13.28,0.0,0.0,13.28,13.28,13.28,0.0,0.0,13.15,13.15,13.15,0.0,0.0,13.22,13.22,13.22,0.0,0.0
2018-04-29,13.22,13.22,13.22,0.0,0.0,13.25,13.25,13.25,0.0,0.0,13.16,13.16,13.16,0.0,0.0,13.22,13.22,13.22,0.0,0.0
2018-05-06,13.29,13.29,13.29,0.0,0.0,13.29,13.29,13.29,0.0,0.0,13.17,13.17,13.17,0.0,0.0,13.18,13.18,13.18,0.0,0.0
2018-05-13,13.08,13.08,13.08,0.0,0.0,13.11,13.11,13.11,0.0,0.0,13.07,13.07,13.07,0.0,0.0,13.1,13.1,13.1,0.0,0.0
2018-05-20,13.17,13.17,13.17,0.0,0.0,13.18,13.18,13.18,0.0,0.0,13.11,13.11,13.11,0.0,0.0,13.12,13.12,13.12,0.0,0.0
2018-05-27,13.22,13.22,13.22,0.0,0.0,13.26,13.26,13.26,0.0,0.0,13.19,13.19,13.19,0.0,0.0,13.26,13.26,13.26,0.0,0.0
2018-06-03,13.26,13.26,13.26,0.0,0.0,13.26,13.26,13.26,0.0,0.0,13.19,13.19,13.19,0.0,0.0,13.19,13.19,13.19,0.0,0.0
2018-06-10,13.1,13.1,13.1,0.0,0.0,13.13,13.13,13.13,0.0,0.0,13.06,13.06,13.06,0.0,0.0,13.09,13.09,13.09,0.0,0.0
2018-06-17,13.14,13.14,13.14,0.0,0.0,13.18,13.18,13.18,0.0,0.0,13.12,13.12,13.12,0.0,0.0,13.17,13.17,13.17,0.0,0.0
2018-06-24,13.28,13.28,13.28,0.0,0.0,13.36,13.36,13.36,0.0,0.0,13.23,13.23,13.23,0.0,0.0,13.26,13.26,13.26,0.0,0.0
2018-07-01,13.18,13.18,13.18,0.0,0.0,13.19,13.19,13.19,0.0,0.0,13.13,13.13,13.13,0.0,0.0,13.18,13.18,13.18,0.0,0.0
2018-07-08,13.23,13.23,13.23,0.0,0.0,13.26,13.26,13.26,0.0,0.0,13.16,13.16,13.16,0.0,0.0,13.16,13.16,13.16,0.0,0.0
2018-07-15,13.23,13.23,13.23,0.0,0.0,13.27,13.27,13.27,0.0,0.0,13.21,13.21,13.21,0.0,0.0,13.26,13.26,13.26,0.0,0.0
2018-07-22,13.25,13.25,13.25,0.0,0.0,13.3,13.3,13.3,0.0,0.0,13.25,13.25,13.25,0.0,0.0,13.28,13.28,13.28,0.0,0.0
2018-07-29,13.41,13.41,13.41,0.0,0.0,13.43,13.43,13.43,0.0,0.0,13.34,13.34,13.34,0.0,0.0,13.38,13.38,13.38,0.0,0.0
2018-08-05,13.37,13.37,13.37,0.0,0.0,13.4,13.4,13.4,0.0,0.0,13.36,13.36,13.36,0.0,0.0,13.36,13.36,13.36,0.0,0.0
2018-08-12,13.34,13.34,13.34,0.0,0.0,13.38,13.38,13.38,0.0,0.0,13.32,13.32,13.32,0.0,0.0,13.38,13.38,13.38,0.0,0.0
2018-08-19,13.37,13.37,13.37,0.0,0.0,13.38,13.38,13.38,0.0,0.0,13.32,13.32,13.32,0.0,0.0,13.34,13.34,13.34,0.0,0.0
2018-08-26,13.41,13.41,13.41,0.0,0.0,13.45,13.45,13.45,0.0,0.0,13.39,13.39,13.39,0.0,0.0,13.45,13.45,13.45,0.0,0.0
2018-09-02,13.44,13.44,13.44,0.0,0.0,13.44,13.44,13.44,0.0,0.0,13.37,13.37,13.37,0.0,0.0,13.39,13.39,13.39,0.0,0.0
2018-09-09,13.14,13.14,13.14,0.0,0.0,13.2,13.2,13.2,0.0,0.0,13.08,13.08,13.08,0.0,0.0,13.11,13.11,13.11,0.0,0.0
2018-09-16,12.99,12.99,12.99,0.0,0.0,13.05,13.05,13.05,0.0,0.0,12.98,12.98,12.98,0.0,0.0,13.04,13.04,13.04,0.0,0.0
2018-09-23,13.01,13.01,13.01,0.0,0.0,13.09,13.09,13.09,0.0,0.0,12.97,12.97,12.97,0.0,0.0,13.0,13.0,13.0,0.0,0.0
2018-09-30,12.57,12.57,12.57,0.0,0.0,12.72,12.72,12.72,0.0,0.0,12.52,12.52,12.52,0.0,0.0,12.59,12.59,12.59,0.0,0.0
2018-10-07,12.54,12.54,12.54,0.0,0.0,12.58,12.58,12.58,0.0,0.0,12.5,12.5,12.5,0.0,0.0,12.55,12.55,12.55,0.0,0.0
2018-10-14,12.55,12.55,12.55,0.0,0.0,12.63,12.63,12.63,0.0,0.0,12.55,12.55,12.55,0.0,0.0,12.57,12.57,12.57,0.0,0.0
