Date,First Trust Mid Cap US Equity Select_Open_average,First Trust Mid Cap US Equity Select_Open_max,First Trust Mid Cap US Equity Select_Open_min,First Trust Mid Cap US Equity Select_Open_volatility,First Trust Mid Cap US Equity Select_Open_change,First Trust Mid Cap US Equity Select_High_average,First Trust Mid Cap US Equity Select_High_max,First Trust Mid Cap US Equity Select_High_min,First Trust Mid Cap US Equity Select_High_volatility,First Trust Mid Cap US Equity Select_High_change,First Trust Mid Cap US Equity Select_Low_average,First Trust Mid Cap US Equity Select_Low_max,First Trust Mid Cap US Equity Select_Low_min,First Trust Mid Cap US Equity Select_Low_volatility,First Trust Mid Cap US Equity Select_Low_change,First Trust Mid Cap US Equity Select_Close_average,First Trust Mid Cap US Equity Select_Close_max,First Trust Mid Cap US Equity Select_Close_min,First Trust Mid Cap US Equity Select_Close_volatility,First Trust Mid Cap US Equity Select_Close_change
2018-01-14,22.46,22.46,22.46,0.0,0.0,22.48,22.48,22.48,0.0,0.0,22.46,22.46,22.46,0.0,0.0,22.48,22.48,22.48,0.0,0.0
2018-01-21,22.5,22.5,22.5,0.0,0.0,22.53,22.53,22.53,0.0,0.0,22.49,22.49,22.49,0.0,0.0,22.49,22.49,22.49,0.0,0.0
2018-01-28,21.68,21.68,21.68,0.0,0.0,21.68,21.68,21.68,0.0,0.0,21.12,21.12,21.12,0.0,0.0,21.12,21.12,21.12,0.0,0.0
2018-02-04,20.26,20.26,20.26,0.0,0.0,20.26,20.26,20.26,0.0,0.0,20.19,20.19,20.19,0.0,0.0,20.19,20.19,20.19,0.0,0.0
2018-02-11,21.6,21.6,21.6,0.0,0.0,21.61,21.61,21.61,0.0,0.0,21.6,21.6,21.6,0.0,0.0,21.61,21.61,21.61,0.0,0.0
2018-02-18,21.65,21.65,21.65,0.0,0.0,21.65,21.65,21.65,0.0,0.0,21.43,21.43,21.43,0.0,0.0,21.43,21.43,21.43,0.0,0.0
2018-02-25,20.91,20.91,20.91,0.0,0.0,21.06,21.06,21.06,0.0,0.0,20.91,20.91,20.91,0.0,0.0,21.06,21.06,21.06,0.0,0.0
2018-03-04,22.01,22.01,22.01,0.0,0.0,22.01,22.01,22.01,0.0,0.0,21.96,21.96,21.96,0.0,0.0,21.96,21.96,21.96,0.0,0.0
2018-03-11,21.62,21.62,21.62,0.0,0.0,21.65,21.65,21.65,0.0,0.0,21.62,21.62,21.62,0.0,0.0,21.65,21.65,21.65,0.0,0.0
2018-03-18,21.02,21.02,21.02,0.0,0.0,21.02,21.02,21.02,0.0,0.0,21.02,21.02,21.02,0.0,0.0,21.02,21.02,21.02,0.0,0.0
