Date,Open,High,Low,Close,Volume,Currency
2018-01-16,161.11,162.11,160.81,161.22,760926,USD
2018-01-17,161.33,163.05,161.33,162.67,777339,USD
2018-01-18,160.89,162.97,160.0,161.8,578172,USD
2018-01-19,161.94,164.17,161.27,164.06,447386,USD
2018-01-22,164.0,165.2,163.22,165.14,473982,USD
2018-01-23,164.89,165.28,163.46,164.9,419100,USD
2018-01-24,165.34,165.81,164.64,164.98,394957,USD
2018-01-25,165.91,167.56,165.8,166.58,496791,USD
2018-01-26,166.83,167.8,166.02,167.77,372405,USD
2018-01-29,167.36,167.57,165.57,166.0,483731,USD
2018-01-30,166.13,166.98,165.11,165.82,436957,USD
2018-01-31,166.3,169.96,166.26,168.45,1032524,USD
2018-02-01,167.87,168.33,164.0,165.18,607018,USD
2018-02-02,164.38,164.97,161.67,161.82,446660,USD
2018-02-05,162.31,163.38,156.43,156.46,764655,USD
2018-02-06,154.42,157.31,151.92,156.35,1057131,USD
2018-02-07,155.72,159.46,155.49,156.6,664085,USD
2018-02-08,156.39,156.79,149.25,149.32,719734,USD
2018-02-09,150.81,154.09,147.38,152.73,991331,USD
2018-02-12,153.44,155.64,152.43,154.4,484797,USD
2018-02-13,153.66,156.6,152.99,156.07,275865,USD
2018-02-14,154.89,164.48,154.56,164.36,1252836,USD
2018-02-15,165.23,167.09,163.26,166.94,649178,USD
2018-02-16,167.35,167.87,166.32,167.12,587792,USD
2018-02-20,166.35,168.54,165.5,166.65,543082,USD
2018-02-21,166.44,169.72,166.25,167.34,506199,USD
2018-02-22,167.18,169.09,166.62,167.08,497109,USD
2018-02-23,168.44,170.13,166.63,169.99,475786,USD
2018-02-26,170.7,171.0,169.0,170.79,765013,USD
2018-02-27,171.0,171.57,170.31,171.0,775692,USD
2018-02-28,171.83,172.91,170.66,170.66,849224,USD
2018-03-01,171.27,172.67,168.38,169.56,723266,USD
2018-03-02,168.18,170.66,167.08,169.94,561342,USD
2018-03-05,168.61,171.75,167.19,171.41,383823,USD
2018-03-06,171.65,172.12,170.33,172.0,471998,USD
2018-03-07,171.16,172.78,171.16,172.19,558343,USD
2018-03-08,172.25,172.77,170.75,172.23,463339,USD
2018-03-09,173.06,178.34,172.49,178.3,456840,USD
2018-03-12,177.92,177.92,174.8,176.61,636111,USD
2018-03-13,178.0,178.28,175.74,176.13,348756,USD
2018-03-14,176.65,176.65,173.4,173.61,377459,USD
2018-03-15,174.11,174.48,172.66,173.3,371648,USD
2018-03-16,174.05,174.85,172.55,173.28,988913,USD
2018-03-19,172.97,173.32,171.25,172.99,560992,USD
2018-03-20,173.17,174.54,172.44,172.52,443996,USD
2018-03-21,172.89,175.4,172.59,173.29,519184,USD
2018-03-22,170.96,172.06,162.11,163.11,1124103,USD
2018-03-23,166.73,174.7,165.01,167.85,1453471,USD
2018-03-26,170.59,172.82,168.23,170.98,877202,USD
2018-03-27,174.27,174.9,168.63,169.59,613982,USD
2018-03-28,169.65,171.07,168.5,169.05,568602,USD
2018-03-29,169.53,172.12,168.56,170.58,575452,USD
2018-04-02,170.11,170.99,165.48,167.46,584054,USD
2018-04-03,168.47,170.06,167.69,169.83,640567,USD
2018-04-04,167.98,170.24,166.88,169.46,545696,USD
2018-04-05,170.55,172.62,169.6,171.7,509244,USD
2018-04-06,170.09,171.17,165.33,166.74,349286,USD
2018-04-09,168.03,170.26,167.51,167.67,393460,USD
2018-04-10,170.0,171.47,169.29,170.33,518378,USD
2018-04-11,169.23,170.76,168.88,170.14,421996,USD
2018-04-12,170.63,173.04,170.62,172.17,421912,USD
2018-04-13,172.75,172.75,169.58,170.16,403920,USD
2018-04-16,171.63,173.05,170.71,172.91,344946,USD
2018-04-17,173.72,175.1,173.53,173.95,441685,USD
2018-04-18,174.27,174.76,172.08,174.38,300639,USD
2018-04-19,174.19,174.8,172.93,174.16,256297,USD
2018-04-20,173.74,174.64,172.29,173.12,337048,USD
2018-04-23,173.92,174.09,172.35,173.12,351058,USD
2018-04-24,174.5,175.0,169.88,171.5,413465,USD
2018-04-25,171.09,172.27,169.74,171.19,358070,USD
2018-04-26,171.93,173.49,170.65,172.89,348511,USD
2018-04-27,172.91,173.83,171.91,173.31,293972,USD
2018-04-30,173.23,174.66,170.25,170.3,765272,USD
2018-05-01,169.59,172.66,169.0,172.34,481979,USD
2018-05-02,172.27,173.13,170.14,170.86,374963,USD
2018-05-03,170.04,174.39,170.0,173.01,553743,USD
2018-05-04,172.3,175.63,171.88,175.23,416951,USD
2018-05-07,175.64,176.46,174.54,175.75,611447,USD
2018-05-08,175.6,176.74,175.0,176.64,384369,USD
2018-05-09,176.66,179.0,175.44,178.88,321527,USD
2018-05-10,179.74,182.17,179.16,181.96,302580,USD
2018-05-11,181.44,183.99,181.31,183.91,338134,USD
2018-05-14,183.64,184.22,182.66,183.27,336985,USD
2018-05-15,182.34,183.26,181.64,183.15,337398,USD
