Date,Open,High,Low,Close,Currency,Exchange
2018-01-16,112.73,112.78,111.45,111.71,USD,NASDAQ
2018-01-17,112.1,112.77,111.71,112.58,USD,NASDAQ
2018-01-18,112.79,112.79,112.09,112.22,USD,NASDAQ
2018-01-19,112.44,112.67,112.23,112.67,USD,NASDAQ
2018-01-22,112.73,113.69,112.73,113.69,USD,NASDAQ
2018-01-23,113.9,113.9,113.31,113.69,USD,NASDAQ
2018-01-24,114.02,114.27,113.38,113.82,USD,NASDAQ
2018-01-25,114.26,114.27,113.5,113.77,USD,NASDAQ
2018-01-26,114.13,114.75,114.01,114.75,USD,NASDAQ
2018-01-29,114.67,114.79,114.06,114.09,USD,NASDAQ
2018-01-30,113.29,113.69,112.77,112.81,USD,NASDAQ
2018-01-31,113.13,113.19,112.18,112.66,USD,NASDAQ
2018-02-01,112.44,113.21,112.42,112.94,USD,NASDAQ
2018-02-02,112.17,112.3,110.39,110.39,USD,NASDAQ
2018-02-05,109.54,110.2,105.54,105.68,USD,NASDAQ
2018-02-06,104.14,107.42,103.52,107.18,USD,NASDAQ
2018-02-07,107.08,108.38,106.97,106.97,USD,NASDAQ
2018-02-08,107.19,107.19,103.32,103.32,USD,NASDAQ
2018-02-09,104.6,105.34,101.61,104.53,USD,NASDAQ
2018-02-12,105.53,106.56,104.7,105.89,USD,NASDAQ
2018-02-13,105.44,106.35,105.2,106.08,USD,NASDAQ
2018-02-14,105.65,107.64,105.58,107.48,USD,NASDAQ
2018-02-15,108.3,108.55,107.24,108.55,USD,NASDAQ
2018-02-16,108.43,109.61,108.4,108.8,USD,NASDAQ
2018-02-20,108.41,108.63,107.56,107.77,USD,NASDAQ
2018-02-21,107.99,108.9,107.13,107.16,USD,NASDAQ
2018-02-22,107.59,108.23,106.91,107.08,USD,NASDAQ
2018-02-23,107.55,108.72,107.54,108.72,USD,NASDAQ
2018-02-26,109.33,110.02,108.93,109.94,USD,NASDAQ
2018-02-27,110.11,110.44,108.62,108.62,USD,NASDAQ
2018-02-28,109.19,109.22,107.21,107.21,USD,NASDAQ
2018-03-01,107.3,107.96,105.55,106.01,USD,NASDAQ
2018-03-02,105.46,106.77,105.14,106.6,USD,NASDAQ
2018-03-05,105.95,108.12,105.95,107.86,USD,NASDAQ
2018-03-06,108.35,108.35,107.51,108.11,USD,NASDAQ
2018-03-07,107.22,108.06,107.07,107.91,USD,NASDAQ
2018-03-08,108.32,108.34,107.66,108.27,USD,NASDAQ
2018-03-09,108.91,110.05,108.74,110.05,USD,NASDAQ
2018-03-12,110.06,110.39,109.74,109.87,USD,NASDAQ
2018-03-13,110.22,110.47,109.06,109.23,USD,NASDAQ
2018-03-14,109.57,109.57,108.28,108.47,USD,NASDAQ
2018-03-15,108.74,108.87,108.2,108.32,USD,NASDAQ
2018-03-16,108.42,109.03,108.42,108.61,USD,NASDAQ
2018-03-19,108.88,108.88,106.8,107.41,USD,NASDAQ
2018-03-20,107.67,107.77,107.14,107.32,USD,NASDAQ
2018-03-21,107.33,108.36,107.33,107.47,USD,NASDAQ
2018-03-22,106.08,106.48,104.44,104.5,USD,NASDAQ
2018-03-23,104.65,104.94,102.24,102.34,USD,NASDAQ
2018-03-26,103.93,104.89,103.01,104.73,USD,NASDAQ
2018-03-27,105.15,105.38,103.07,103.62,USD,NASDAQ
2018-03-28,103.79,104.37,103.41,103.62,USD,NASDAQ
2018-03-29,104.14,105.29,103.95,105.0,USD,NASDAQ
2018-04-02,104.7,104.7,101.46,102.54,USD,NASDAQ
2018-04-03,103.1,104.13,102.68,104.0,USD,NASDAQ
2018-04-04,102.66,105.17,102.56,104.95,USD,NASDAQ
