Date,ODA/POILAPSP_USD - Value,ODA/POILAPSP_USD - Not Found
1995-01-31,16.88,
1995-02-28,17.44,
1995-03-31,17.35,
1995-04-30,18.77,
1995-05-31,18.43,
1995-06-30,17.33,
1995-07-31,16.06,
1995-08-31,16.49,
1995-09-30,16.77,
1995-10-31,16.18,
1995-11-30,16.82,
1995-12-31,17.93,
1996-01-31,17.79,
1996-02-29,17.69,
1996-03-31,19.46,
1996-04-30,20.78,
1996-05-31,19.12,
1996-06-30,18.56,
1996-07-31,19.56,
1996-08-31,20.19,
1996-09-30,22.14,
1996-10-31,23.43,
1996-11-30,22.25,
1996-12-31,23.51,
1997-01-31,23.29,
1997-02-28,20.54,
1997-03-31,19.42,
1997-04-30,17.98,
1997-05-31,19.47,
1997-06-30,18.02,
1997-07-31,18.45,
1997-08-31,18.79,
1997-09-30,18.73,
1997-10-31,20.12,
1997-11-30,19.16,
1997-12-31,17.24,
1998-01-31,15.07,
1998-02-28,14.18,
1998-03-31,13.24,
1998-04-30,13.39,
1998-05-31,13.97,
1998-06-30,12.48,
1998-07-31,12.72,
1998-08-31,12.49,
1998-09-30,13.8,
1998-10-31,13.26,
1998-11-30,11.88,
1998-12-31,10.41,
1999-01-31,11.32,
1999-02-28,10.75,
1999-03-31,12.86,
1999-04-30,15.73,
1999-05-31,16.12,
1999-06-30,16.24,
1999-07-31,18.75,
1999-08-31,20.21,
1999-09-30,22.37,
1999-10-31,22.19,
1999-11-30,24.22,
1999-12-31,25.01,
2000-01-31,25.21,
2000-02-29,27.15,
2000-03-31,27.49,
2000-04-30,23.45,
2000-05-31,27.23,
2000-06-30,29.62,
2000-07-31,28.16,
2000-08-31,29.41,
2000-09-30,32.08,
2000-10-31,31.4,
2000-11-30,32.33,
2000-12-31,25.28,
2001-01-31,25.95,
2001-02-28,27.24,
2001-03-31,25.02,
2001-04-30,25.66,
2001-05-31,27.55,
2001-06-30,26.97,
2001-07-31,24.8,
2001-08-31,25.81,
2001-09-30,25.03,
2001-10-31,20.73,
2001-11-30,18.69,
2001-12-31,18.52,
2002-01-31,19.15,
2002-02-28,19.98,
2002-03-31,23.64,
2002-04-30,25.43,
2002-05-31,25.69,
2002-06-30,24.49,
2002-07-31,25.75,
2002-08-31,26.78,
2002-09-30,28.28,
2002-10-31,27.53,
2002-11-30,24.79,
2002-12-31,27.89,
2003-01-31,30.77,
2003-02-28,32.88,
2003-03-31,30.36,
2003-04-30,25.49,
2003-05-31,26.06,
2003-06-30,27.91,
2003-07-31,28.59,
2003-08-31,29.68,
2003-09-30,26.88,
2003-10-31,29.01,
2003-11-30,29.12,
2003-12-31,29.95,
2004-01-31,31.4,
2004-02-29,31.32,
2004-03-31,33.67,
2004-04-30,33.71,
2004-05-31,37.63,
2004-06-30,35.54,
2004-07-31,37.93,
2004-08-31,42.08,
2004-09-30,41.65,
2004-10-31,46.87,
2004-11-30,42.23,
2004-12-31,39.09,
2005-01-31,42.89,
2005-02-28,44.56,
2005-03-31,50.93,
2005-04-30,50.64,
2005-05-31,47.81,
2005-06-30,53.89,
2005-07-31,56.37,
2005-08-31,61.87,
2005-09-30,61.65,
2005-10-31,58.19,
2005-11-30,54.98,
2005-12-31,56.47,
2006-01-31,62.36,
2006-02-28,59.71,
2006-03-31,60.93,
2006-04-30,68.0,
2006-05-31,68.61,
2006-06-30,68.29,
2006-07-31,72.51,
2006-08-31,71.81,
2006-09-30,61.97,
2006-10-31,57.95,
2006-11-30,58.13,
2006-12-31,61.0,
2007-01-31,53.4,
2007-02-28,57.58,
2007-03-31,60.6,
2007-04-30,65.1,
2007-05-31,65.1,
2007-06-30,68.19,
2007-07-31,73.67,
2007-08-31,70.13,
2007-09-30,76.91,
2007-10-31,82.15,
2007-11-30,91.27,
2007-12-31,89.43,
2008-01-31,90.82,
2008-02-29,93.75,
2008-03-31,101.84,
2008-04-30,109.05,
2008-05-31,122.77,
2008-06-30,131.52,
2008-07-31,132.55,
2008-08-31,114.57,
2008-09-30,99.29,
2008-10-31,72.69,
2008-11-30,54.04,
2008-12-31,41.53,
2009-01-31,43.91,
2009-02-28,41.76,
2009-03-31,46.95,
2009-04-30,50.28,
2009-05-31,58.1,
2009-06-30,69.13,
2009-07-31,64.65,
2009-08-31,71.63,
2009-09-30,68.38,
2009-10-31,74.08,
2009-11-30,77.56,
2009-12-31,74.88,
2010-01-31,77.12,
2010-02-28,74.72,
2010-03-31,79.3,
2010-04-30,84.14,
2010-05-31,75.54,
2010-06-30,74.73,
2010-07-31,74.52,
2010-08-31,75.88,
2010-09-30,76.11,
2010-10-31,81.72,
2010-11-30,84.53,
2010-12-31,90.07,
2011-01-31,92.66,
2011-02-28,97.73,
2011-03-31,108.65,
2011-04-30,116.32,
2011-05-31,108.18,
2011-06-30,105.85,
2011-07-31,107.88,
2011-08-31,100.45,
2011-09-30,100.83,
2011-10-31,99.92,
2011-11-30,105.36,
2011-12-31,104.26,
2012-01-31,106.89,
2012-02-29,112.7,
2012-03-31,117.78,
2012-04-30,113.75,
2012-05-31,104.16,
2012-06-30,90.73,
2012-07-31,96.75,
2012-08-31,105.28,
2012-09-30,106.32,
2012-10-31,103.39,
2012-11-30,101.17,
2012-12-31,101.17,
2013-01-31,105.04,
2013-02-28,107.66,
2013-03-31,102.61,
2013-04-30,98.85,
2013-05-31,99.35,
2013-06-30,99.74,
2013-07-31,105.21,
2013-08-31,108.06,
2013-09-30,108.78,
2013-10-31,105.46,
2013-11-30,102.58,
2013-12-31,105.49,
2014-01-31,102.25,
2014-02-28,104.82,
2014-03-31,104.04,
2014-04-30,104.94,
2014-05-31,105.73,
2014-06-30,108.37,
2014-07-31,105.22,
2014-08-31,100.05,
2014-09-30,95.89,
2014-10-31,86.13,
2014-11-30,76.96,
2014-12-31,60.55,
2015-01-31,47.45,
2015-02-28,54.93,
2015-03-31,52.83,
2015-04-30,57.42,
2015-05-31,62.5,
2015-06-30,61.3,
2015-07-31,54.43,
2015-08-31,45.72,
2015-09-30,46.29,
2015-10-31,46.96,
2015-11-30,43.13,
2015-12-31,36.56,
2016-01-31,29.92,
2016-02-29,31.05,
2016-03-31,37.34,
2016-04-30,40.75,
2016-05-31,45.98,
2016-06-30,47.69,
2016-07-31,44.22,
2016-08-31,44.84,
2016-09-30,45.06,
2016-10-31,49.29,
2016-11-30,45.28,
2016-12-31,52.61,
2017-01-31,53.63,
2017-02-28,54.36,
2017-03-31,50.91,
2017-04-30,52.23,
2017-05-31,49.91,
2017-06-30,46.13,
