Date,Open,High,Low,Close,Volume,Currency
2016-01-04,45.66,46.09,45.26,45.98,2470150,USD
2016-01-05,45.98,46.31,45.44,45.64,1801511,USD
2016-01-06,44.76,45.34,44.51,44.93,1827914,USD
2016-01-07,43.99,44.71,42.39,42.66,3370462,USD
2016-01-08,43.0,43.0,41.45,41.53,2815296,USD
2016-01-11,41.9,42.15,41.06,41.5,2618821,USD
2016-01-12,41.99,42.2,41.32,41.85,2091448,USD
2016-01-13,42.12,43.87,41.26,41.31,5039118,USD
2016-01-14,41.46,42.52,41.0,42.04,4195293,USD
2016-01-15,40.97,41.31,39.64,40.52,4213360,USD
2016-01-19,42.18,44.11,40.94,41.7,5098494,USD
2016-01-20,42.83,43.59,41.54,42.85,8805316,USD
2016-01-21,43.32,44.41,42.83,43.61,4515959,USD
2016-01-22,44.29,44.55,42.37,43.14,4085276,USD
2016-01-25,43.02,43.85,42.58,43.2,2710732,USD
2016-01-26,43.11,44.79,43.11,44.25,3686995,USD
2016-01-27,44.07,44.58,43.13,43.33,2908483,USD
2016-01-28,43.68,43.87,42.65,43.16,2366803,USD
2016-01-29,43.31,44.91,43.31,44.81,4028112,USD
2016-02-01,44.46,45.01,43.92,44.43,2548764,USD
2016-02-02,43.67,43.88,43.13,43.18,2399370,USD
2016-02-03,42.06,43.22,41.78,42.32,5907993,USD
2016-02-04,42.44,43.8,40.53,42.74,6018905,USD
2016-02-05,42.64,43.7,42.06,42.22,3388405,USD
2016-02-08,41.77,42.0,40.78,41.22,3525679,USD
2016-02-09,40.94,42.05,40.82,41.26,2683282,USD
2016-02-10,41.33,41.75,40.24,40.27,3097123,USD
2016-02-11,39.68,39.99,39.01,39.65,2958132,USD
2016-02-12,40.0,40.55,39.37,40.41,1746965,USD
2016-02-16,41.03,42.07,40.81,41.63,3858558,USD
2016-02-17,41.77,42.71,41.77,42.66,2267315,USD
2016-02-18,42.42,42.74,41.9,41.98,2013054,USD
2016-02-19,41.95,42.6,41.7,42.37,2032785,USD
2016-02-22,42.68,43.41,42.58,43.07,2231248,USD
2016-02-23,42.79,43.31,42.19,42.26,1584154,USD
2016-02-24,41.55,44.01,41.53,43.68,3910086,USD
2016-02-25,43.87,43.92,43.08,43.81,1775580,USD
2016-02-26,44.04,44.95,43.86,44.88,2578618,USD
2016-02-27,44.9,44.9,44.9,44.9,2185739,USD
2016-02-29,44.68,45.18,44.25,44.49,2891355,USD
2016-03-01,44.6,45.27,44.08,45.22,2949151,USD
2016-03-02,44.9,45.85,44.78,45.74,2500947,USD
2016-03-03,45.79,46.16,45.49,46.12,1657973,USD
2016-03-04,46.19,47.32,45.9,46.83,2921544,USD
2016-03-07,46.86,47.89,46.81,47.72,3634055,USD
2016-03-08,47.28,47.69,46.59,46.67,2317295,USD
2016-03-09,47.03,47.51,46.74,47.51,2413374,USD
2016-03-10,47.56,47.8,46.55,47.1,2040352,USD
2016-03-11,47.6,48.7,47.33,48.61,2198984,USD
2016-03-14,48.6,48.61,47.8,48.1,1646732,USD
2016-03-15,47.72,48.09,47.28,48.09,1967756,USD
2016-03-16,47.98,48.31,47.39,48.03,2252085,USD
2016-03-17,48.0,48.49,47.55,48.43,2699275,USD
2016-03-18,48.46,49.25,48.18,49.11,4880372,USD
2016-03-21,48.89,48.99,48.21,48.75,2160788,USD
2016-03-22,48.45,48.91,48.13,48.31,1829825,USD
2016-03-23,48.37,48.55,47.89,47.96,1371594,USD
2016-03-24,47.57,48.27,47.33,48.12,1183684,USD
2016-03-28,48.35,48.4,47.95,48.01,1663848,USD
2016-03-29,47.81,48.92,47.61,48.81,1741095,USD
2016-03-30,49.04,49.48,48.76,48.84,1723221,USD
2016-03-31,48.84,48.84,48.17,48.2,2788261,USD
2016-04-01,47.91,48.33,47.54,48.28,2130109,USD
2016-04-04,48.18,48.61,47.84,48.38,2298305,USD
2016-04-05,48.0,49.29,47.89,48.65,3769114,USD
2016-04-06,48.55,48.91,47.52,48.64,5008439,USD
2016-04-07,48.49,48.49,47.8,47.88,2344699,USD
2016-04-08,48.2,48.81,48.1,48.45,1887310,USD
2016-04-11,48.78,49.12,48.37,48.4,2009480,USD
2016-04-12,48.58,48.68,47.94,48.3,1467666,USD
2016-04-13,48.38,49.24,48.32,49.22,1164935,USD
2016-04-14,49.11,49.46,48.66,49.27,1699563,USD
2016-04-15,49.18,49.2,48.62,48.76,2612089,USD
2016-04-18,48.67,49.05,48.51,48.9,2243344,USD
2016-04-19,49.08,49.29,48.41,48.52,2068134,USD
2016-04-20,48.46,49.72,48.34,49.59,2265098,USD
2016-04-21,49.47,49.99,49.35,49.43,1930942,USD
2016-04-22,49.38,50.54,49.37,49.71,2096325,USD
2016-04-25,49.69,49.89,49.5,49.57,1561265,USD
2016-04-26,49.76,50.67,49.64,50.08,2693955,USD
2016-04-27,49.65,50.52,49.32,50.34,2331735,USD
2016-04-28,50.0,50.64,49.4,49.51,3001522,USD
2016-04-29,49.34,49.34,48.13,48.59,2316565,USD
2016-05-02,48.86,49.43,48.37,49.35,1713699,USD
2016-05-03,49.07,49.13,48.56,48.8,2119248,USD
2016-05-04,48.52,48.91,48.26,48.42,1965152,USD
2016-05-05,48.83,48.83,47.2,47.82,2799327,USD
2016-05-06,47.46,47.95,47.07,47.95,2492316,USD
2016-05-09,47.88,48.19,47.5,47.57,1479037,USD
2016-05-10,47.81,48.36,47.55,48.34,1546212,USD
2016-05-11,48.06,48.83,47.91,48.32,1176885,USD
2016-05-12,48.39,48.66,47.2,47.33,2311835,USD
2016-05-13,47.35,47.8,46.98,47.16,2534132,USD
2016-05-16,47.15,48.35,47.03,47.95,1670078,USD
2016-05-17,48.02,48.21,47.62,47.78,1518103,USD
2016-05-18,47.55,48.73,47.55,48.33,1735455,USD
2016-05-19,47.52,48.03,47.14,47.64,1158893,USD
2016-05-20,47.92,49.02,47.92,48.82,1749144,USD
2016-05-23,48.71,49.43,48.67,48.86,1370579,USD
2016-05-24,49.05,50.12,49.03,49.96,2022085,USD
2016-05-25,50.13,50.59,50.05,50.17,2038915,USD
2016-05-26,50.07,50.74,50.07,50.66,1764888,USD
2016-05-27,50.76,51.05,50.51,50.99,1494703,USD
2016-05-31,51.13,51.73,50.34,51.68,2599806,USD
2016-06-01,51.38,51.78,51.15,51.71,1415817,USD
2016-06-02,51.54,51.94,51.48,51.72,1658168,USD
2016-06-03,51.7,51.99,51.33,51.81,1768235,USD
2016-06-06,51.8,52.2,51.73,51.76,1847803,USD
2016-06-07,51.91,52.94,51.88,52.81,2105277,USD
2016-06-08,52.9,53.17,52.54,52.99,1661625,USD
2016-06-09,52.78,52.8,51.88,52.77,1568133,USD
2016-06-10,52.34,52.68,52.04,52.25,2869130,USD
2016-06-13,52.01,52.43,51.84,51.91,1432827,USD
2016-06-14,51.65,52.28,51.46,52.2,1670745,USD
2016-06-15,52.34,52.46,51.79,52.1,1570281,USD
2016-06-16,51.84,52.12,51.22,52.05,1882839,USD
2016-06-17,51.96,51.96,51.0,51.21,3674384,USD
2016-06-20,51.85,52.3,51.57,51.87,1763812,USD
2016-06-21,52.03,52.17,51.69,51.91,1397043,USD
2016-06-22,51.86,52.25,51.45,51.59,1499621,USD
2016-06-23,51.89,52.86,51.75,52.84,1511493,USD
2016-06-24,50.7,51.67,50.16,50.47,3156952,USD
2016-06-27,49.89,50.0,47.81,48.13,3241635,USD
2016-06-28,48.79,49.54,48.61,49.36,1976639,USD
2016-06-29,49.66,50.02,49.38,49.7,2736520,USD
2016-06-30,49.78,50.81,49.5,50.76,3357183,USD
2016-07-01,50.59,50.72,50.04,50.42,1450892,USD
2016-07-05,50.16,50.16,49.38,49.84,2147482,USD
2016-07-06,49.6,49.72,48.97,49.49,2513594,USD
2016-07-07,49.67,52.03,49.67,50.4,1957845,USD
2016-07-08,50.87,51.93,50.77,51.87,1561015,USD
2016-07-11,52.6,52.6,51.91,52.35,2199521,USD
2016-07-12,52.68,53.22,52.68,53.1,1826929,USD
2016-07-13,53.34,53.7,53.14,53.25,1778898,USD
2016-07-14,53.8,54.04,53.38,53.61,1514110,USD
2016-07-15,53.71,53.97,53.39,53.77,5844890,USD
2016-07-18,54.6,54.67,53.87,54.04,1554737,USD
2016-07-19,53.79,53.95,53.45,53.71,1341105,USD
2016-07-20,53.95,54.52,53.64,54.34,1490646,USD
2016-07-21,54.15,54.33,53.63,53.8,1718544,USD
2016-07-22,53.91,54.22,53.33,54.17,1615869,USD
2016-07-25,53.68,54.53,53.68,54.27,1734129,USD
2016-07-26,54.75,58.74,54.31,57.34,6199087,USD
2016-07-27,57.54,57.54,56.36,57.08,3222590,USD
2016-07-28,57.0,57.31,56.29,56.69,1668771,USD
2016-07-29,56.84,56.94,55.64,55.64,3721959,USD
2016-08-01,56.04,56.24,55.56,55.81,2159141,USD
2016-08-02,55.58,55.75,54.51,54.98,1813015,USD
2016-08-03,54.91,55.38,54.81,55.33,1585595,USD
2016-08-04,55.4,55.83,55.35,55.75,1787636,USD
2016-08-05,55.97,56.57,55.84,56.56,2003162,USD
2016-08-08,56.6,57.13,56.52,56.63,1953194,USD
2016-08-09,59.63,61.97,59.46,60.63,8230753,USD
2016-08-10,60.61,60.85,60.18,60.35,3542228,USD
2016-08-11,60.37,60.86,60.16,60.77,2574730,USD
2016-08-12,61.52,61.52,60.28,60.51,1470643,USD
2016-08-15,60.78,61.27,60.53,61.21,2375692,USD
2016-08-16,60.89,61.28,60.59,60.83,1397667,USD
2016-08-17,60.76,61.0,60.3,60.95,1117348,USD
2016-08-18,60.79,61.32,60.5,61.23,1736806,USD
2016-08-19,61.29,61.82,61.05,61.3,1705650,USD
2016-08-22,60.95,61.33,60.92,61.27,1234836,USD
2016-08-23,61.57,61.91,61.37,61.4,1740939,USD
2016-08-24,61.15,61.45,60.88,61.02,1457406,USD
2016-08-25,61.04,61.63,60.9,61.13,1770413,USD
2016-08-26,61.22,62.24,61.19,61.58,1537357,USD
2016-08-29,61.67,62.0,61.56,61.6,1116409,USD
2016-08-30,61.77,62.24,61.25,61.43,1516308,USD
2016-08-31,61.57,61.99,61.15,61.91,2265537,USD
2016-09-01,62.1,62.8,61.56,62.8,3413443,USD
2016-09-02,62.74,63.0,62.27,62.69,1865950,USD
2016-09-06,62.81,63.11,61.8,62.27,2755192,USD
2016-09-07,61.48,61.86,60.55,60.78,5061084,USD
