Date,Open,High,Low,Close,Volume,Currency
2016-01-04,51.21,52.26,50.78,52.22,3840063,USD
2016-01-05,52.22,52.34,51.26,51.85,2102326,USD
2016-01-06,50.82,51.29,50.36,50.92,2872987,USD
2016-01-07,49.95,50.26,49.38,49.73,4586590,USD
2016-01-08,50.05,50.41,49.06,49.17,3448157,USD
2016-01-11,49.64,49.81,48.58,49.15,3175986,USD
2016-01-12,49.73,50.09,48.85,49.95,3416108,USD
2016-01-13,50.11,50.59,48.35,48.43,3562316,USD
2016-01-14,48.71,48.71,47.15,48.32,4650711,USD
2016-01-15,47.01,48.12,46.98,47.86,4605502,USD
2016-01-19,48.6,48.74,47.45,48.09,3473380,USD
2016-01-20,47.23,47.95,46.19,47.51,4127041,USD
2016-01-21,47.57,48.69,46.78,47.78,3767211,USD
2016-01-22,48.87,49.47,47.69,48.51,3436793,USD
2016-01-25,48.23,48.56,47.15,47.27,2505955,USD
2016-01-26,48.27,49.13,47.46,49.02,3406979,USD
2016-01-27,48.99,50.71,48.32,49.44,4581492,USD
2016-01-28,50.3,50.7,49.5,50.19,3825820,USD
2016-01-29,48.6,50.51,47.75,50.51,8031291,USD
2016-02-01,50.04,50.45,49.27,50.22,3903200,USD
2016-02-02,49.61,50.08,48.61,49.0,5797628,USD
2016-02-03,51.95,52.62,50.31,52.48,7387875,USD
2016-02-04,52.47,55.26,52.47,54.36,6098116,USD
2016-02-05,53.97,55.25,53.75,54.66,4270921,USD
2016-02-08,54.0,55.3,53.14,55.11,6236687,USD
2016-02-09,53.76,55.24,53.76,54.48,5233751,USD
2016-02-10,54.6,54.96,53.64,53.7,3496537,USD
2016-02-11,52.59,53.72,52.35,53.1,4928156,USD
2016-02-12,53.91,54.51,53.05,54.2,4027021,USD
2016-02-16,54.18,54.91,53.51,54.82,3512403,USD
2016-02-17,55.41,56.77,55.1,56.01,3586735,USD
2016-02-18,56.16,56.49,55.87,56.2,2727819,USD
2016-02-19,55.86,56.15,54.92,56.01,2669660,USD
