Date,Open,High,Low,Close,Volume,Currency
2016-01-04,159.0,159.22,156.09,158.34,5083228,USD
2016-01-05,159.0,160.21,157.25,158.17,2678936,USD
2016-01-06,155.01,157.93,154.9,156.72,3826922,USD
2016-01-07,153.06,156.45,152.89,152.98,4162456,USD
2016-01-08,153.12,154.86,150.46,150.71,4179560,USD
2016-01-11,151.33,151.59,144.17,147.69,4747429,USD
2016-01-12,148.43,151.24,146.92,150.79,4410621,USD
2016-01-13,151.14,152.83,145.28,145.46,3982146,USD
2016-01-14,146.02,155.3,144.57,153.16,5648973,USD
2016-01-15,147.69,152.3,147.69,151.3,6213015,USD
2016-01-19,153.45,154.62,148.23,151.3,4382191,USD
2016-01-20,149.0,156.84,148.05,155.02,7338628,USD
2016-01-21,154.75,155.02,150.24,152.78,4674002,USD
2016-01-22,156.45,156.96,154.24,156.08,4577287,USD
2016-01-25,156.18,158.0,153.0,153.43,4765120,USD
2016-01-26,152.78,155.23,151.09,153.78,3645490,USD
2016-01-27,154.89,154.89,148.87,150.47,3752333,USD
2016-01-28,151.1,151.71,145.42,148.35,4246491,USD
2016-01-29,149.4,153.0,145.25,152.73,7174382,USD
2016-02-01,151.31,153.72,149.34,152.75,4602164,USD
2016-02-02,150.48,151.49,148.48,150.11,3881389,USD
2016-02-03,150.5,151.18,147.07,150.69,4530627,USD
2016-02-04,150.5,151.96,148.8,149.91,3685238,USD
2016-02-05,148.93,149.38,143.69,145.04,6451924,USD
2016-02-08,143.5,144.56,140.16,143.0,4627325,USD
2016-02-09,141.02,145.63,140.82,143.16,4211109,USD
2016-02-10,145.21,147.13,143.96,144.81,4273459,USD
2016-02-11,140.76,143.49,140.04,141.46,4374353,USD
2016-02-12,143.13,144.97,141.14,144.72,3217966,USD
2016-02-16,146.89,148.06,145.68,147.15,3371339,USD
2016-02-17,148.3,151.52,147.4,151.07,3811075,USD
2016-02-18,150.79,152.36,149.08,149.3,2892146,USD
2016-02-19,148.98,151.76,148.26,150.12,2796785,USD
2016-02-22,148.72,149.77,146.94,148.56,4603310,USD
2016-02-23,148.15,149.72,146.86,147.26,3315190,USD
2016-02-24,145.5,147.27,143.91,147.11,3316105,USD
2016-02-25,147.36,148.39,145.26,146.75,3446824,USD
2016-02-26,148.51,149.5,146.95,147.6,3411498,USD
2016-02-27,147.7,147.7,147.7,147.7,0,USD
2016-02-29,146.96,147.67,142.22,142.28,5193833,USD
2016-03-01,144.3,148.45,142.28,148.39,4477712,USD
2016-03-02,148.0,148.63,146.21,147.49,3690307,USD
2016-03-03,147.22,147.29,145.32,145.84,2989489,USD
2016-03-04,147.03,147.3,144.54,145.98,3471394,USD
2016-03-07,144.98,147.87,144.76,147.31,3283846,USD
2016-03-08,146.89,147.0,144.32,144.63,3064070,USD
2016-03-09,144.0,144.08,139.91,140.9,6075415,USD
2016-03-10,142.06,143.48,139.02,141.03,4573465,USD
2016-03-11,142.95,144.99,142.17,144.57,4861709,USD
2016-03-14,143.86,145.31,143.19,144.62,3013754,USD
2016-03-15,144.84,145.3,142.8,143.21,3034212,USD
2016-03-16,143.0,147.0,141.93,143.98,6104692,USD
2016-03-17,143.72,145.8,141.84,144.13,4899686,USD
2016-03-18,144.97,146.4,142.51,145.51,6802568,USD
2016-03-21,145.3,147.95,145.02,147.01,3177612,USD
2016-03-22,147.05,150.99,146.83,150.62,4213919,USD
2016-03-23,150.31,151.91,148.14,148.76,3107554,USD
2016-03-24,148.76,150.95,147.6,149.24,3025752,USD
2016-03-28,149.32,150.36,147.32,148.37,2110955,USD
2016-03-29,148.46,149.69,146.8,149.49,2735686,USD
2016-03-30,149.61,150.88,148.3,149.48,2324509,USD
2016-03-31,149.33,150.96,149.13,149.93,2799598,USD
2016-04-01,150.02,154.44,149.1,154.16,3972212,USD
2016-04-04,154.0,155.96,153.7,154.66,2314237,USD
2016-04-05,153.68,155.16,152.62,152.95,2604766,USD
2016-04-06,154.24,159.85,153.52,159.66,4067029,USD
2016-04-07,159.05,159.98,156.57,157.38,3363896,USD
2016-04-08,158.24,159.0,155.42,156.46,2522139,USD
2016-04-11,156.4,157.75,155.28,156.39,2732781,USD
2016-04-12,156.14,159.2,156.11,158.6,2763431,USD
2016-04-13,159.02,160.89,158.23,160.06,3860554,USD
2016-04-14,159.81,160.77,159.37,160.12,2406821,USD
2016-04-15,160.15,160.39,158.46,160.13,2824303,USD
2016-04-18,159.49,162.1,159.4,161.7,2081057,USD
2016-04-19,160.8,162.5,160.34,162.1,2692986,USD
2016-04-20,163.02,163.84,161.8,162.76,2374393,USD
2016-04-21,162.44,164.54,162.03,164.35,2348393,USD
2016-04-22,164.52,164.7,162.18,163.19,2757177,USD
2016-04-25,163.15,163.75,162.24,163.46,1596314,USD
2016-04-26,163.39,163.91,162.02,162.85,2156564,USD
2016-04-27,162.72,162.9,160.5,161.0,2729473,USD
2016-04-28,160.22,163.68,159.36,160.56,3354062,USD
2016-04-29,159.39,161.92,156.38,158.3,5386570,USD
2016-05-02,158.62,159.42,157.21,158.99,2433704,USD
2016-05-03,158.37,158.46,156.0,156.35,2862931,USD
2016-05-04,155.28,155.86,153.53,154.18,3048430,USD
2016-05-05,154.13,156.21,153.36,154.25,2325354,USD
2016-05-06,153.49,154.45,151.36,153.19,3004825,USD
2016-05-09,153.7,156.08,153.02,155.41,2990103,USD
2016-05-10,155.95,157.5,154.95,157.24,2585002,USD
2016-05-11,157.73,158.25,154.09,154.18,2741833,USD
2016-05-12,154.68,155.0,151.97,152.9,2981649,USD
2016-05-13,151.22,154.08,151.22,152.35,2451164,USD
2016-05-16,152.35,153.86,151.7,153.27,2415093,USD
2016-05-17,152.45,152.91,149.44,150.11,4486459,USD
2016-05-18,149.91,151.43,149.21,150.83,3234477,USD
2016-05-19,149.45,150.22,147.12,148.67,3023612,USD
2016-05-20,148.92,151.71,148.65,150.18,3076109,USD
2016-05-23,150.04,150.75,149.15,149.3,1543433,USD
2016-05-24,150.71,152.94,150.39,152.72,2580981,USD
2016-05-25,153.54,155.84,153.15,155.57,3053390,USD
2016-05-26,154.92,156.28,154.55,155.55,1808633,USD
2016-05-27,156.2,156.88,155.11,156.74,1364204,USD
2016-05-31,157.42,158.43,156.86,157.95,3204387,USD
2016-06-01,157.61,158.84,156.67,158.05,1717157,USD
2016-06-02,158.23,159.87,157.95,159.87,2386956,USD
2016-06-03,159.86,159.99,156.82,159.19,2149342,USD
2016-06-06,159.58,160.75,158.89,160.19,1897638,USD
2016-06-07,159.13,159.64,158.28,158.89,1896652,USD
2016-06-08,158.48,158.94,157.54,158.0,2475994,USD
2016-06-09,157.76,158.98,156.0,156.78,2383214,USD
2016-06-10,155.26,156.32,153.64,154.78,2626053,USD
2016-06-13,155.06,156.12,152.99,153.08,2340347,USD
2016-06-14,152.74,153.48,151.64,152.99,2115240,USD
2016-06-15,153.13,154.08,151.82,151.9,2443679,USD
2016-06-16,151.68,152.9,150.7,152.3,2322388,USD
2016-06-17,152.61,152.76,149.55,149.62,4682336,USD
2016-06-20,151.79,152.69,150.37,150.65,3250483,USD
2016-06-21,151.14,151.47,148.5,149.42,2622241,USD
2016-06-22,149.08,152.18,149.0,149.81,4470133,USD
2016-06-23,151.21,152.4,150.63,152.27,3000423,USD
2016-06-24,147.2,149.3,146.03,146.45,4919244,USD
2016-06-27,146.16,147.07,143.82,144.58,4208811,USD
2016-06-28,145.89,148.42,145.6,148.42,4348004,USD
2016-06-29,149.11,150.75,148.63,150.1,3771073,USD
2016-06-30,150.83,152.43,149.83,152.15,3480735,USD
2016-07-01,152.43,154.95,152.25,154.28,2758071,USD
2016-07-05,154.29,154.94,153.38,154.27,2349082,USD
2016-07-06,153.44,156.82,152.95,156.05,3833950,USD
2016-07-07,155.86,156.76,155.25,156.59,2437062,USD
2016-07-08,157.62,161.11,156.2,161.1,3741504,USD
2016-07-11,161.36,162.32,160.0,160.18,2464686,USD
2016-07-12,160.62,162.28,160.51,161.96,2407151,USD
2016-07-13,162.64,162.66,160.31,160.52,2691810,USD
2016-07-14,162.0,162.99,160.74,162.74,2444804,USD
2016-07-15,163.45,164.57,161.56,163.28,3179693,USD
2016-07-18,163.82,164.0,162.79,162.93,1815610,USD
2016-07-19,163.2,164.71,161.94,162.49,2249524,USD
2016-07-20,162.45,163.65,161.82,163.25,2161425,USD
2016-07-21,163.39,164.26,162.71,164.19,1971762,USD
2016-07-22,164.78,166.33,164.0,165.67,2500362,USD
2016-07-25,165.7,166.95,164.07,166.56,2704894,USD
2016-07-26,165.89,168.05,165.76,167.67,2883618,USD
2016-07-27,167.45,171.09,167.44,170.68,4200156,USD
2016-07-28,168.93,171.8,166.51,171.28,5192503,USD
2016-07-29,171.57,172.26,170.53,172.03,3121594,USD
2016-08-01,172.91,174.98,172.28,174.16,3571929,USD
2016-08-02,175.05,176.5,173.17,174.15,6588988,USD
2016-08-03,173.74,174.39,172.28,173.43,3911777,USD
2016-08-04,173.3,173.67,172.04,172.67,2122162,USD
2016-08-05,173.35,174.52,172.51,173.66,2228857,USD
2016-08-08,173.31,174.16,171.83,172.34,2706525,USD
2016-08-09,172.66,173.3,171.68,172.08,2094672,USD
2016-08-10,171.89,172.2,170.71,171.23,2476560,USD
2016-08-11,172.24,172.78,171.05,172.43,2142821,USD
2016-08-12,171.24,173.15,170.68,173.02,1863171,USD
