Date,Open,High,Low,Close,Volume,Currency
2016-01-04,1.41,1.51,1.39,1.45,77396,USD
2016-01-05,1.46,1.48,1.41,1.43,34890,USD
2016-01-06,1.45,1.45,1.33,1.36,162798,USD
2016-01-07,1.34,1.37,1.26,1.27,115541,USD
2016-01-08,1.27,1.35,1.22,1.24,93922,USD
2016-01-11,1.25,1.26,1.18,1.25,84486,USD
2016-01-12,1.26,1.27,1.2,1.23,33750,USD
2016-01-13,1.24,1.24,1.18,1.21,57129,USD
2016-01-14,1.22,1.24,1.16,1.21,111643,USD
2016-01-15,1.16,1.24,1.16,1.2,78942,USD
2016-01-19,1.24,1.34,1.23,1.25,168833,USD
2016-01-20,1.25,1.27,1.22,1.27,44986,USD
2016-01-21,1.27,1.28,1.21,1.27,41761,USD
2016-01-22,1.27,1.33,1.22,1.25,40084,USD
2016-01-25,1.27,1.31,1.27,1.29,36240,USD
2016-01-26,1.32,1.33,1.29,1.29,68138,USD
2016-01-27,1.3,1.36,1.3,1.32,63569,USD
2016-01-28,1.33,1.4,1.32,1.37,192765,USD
2016-01-29,1.39,1.49,1.25,1.29,235557,USD
2016-02-01,1.25,1.32,1.25,1.28,117616,USD
2016-02-02,1.5,1.78,1.33,1.33,2171522,USD
2016-02-03,1.37,1.51,1.37,1.41,516668,USD
2016-02-04,1.49,1.54,1.39,1.53,288332,USD
2016-02-05,1.57,1.75,1.53,1.65,542182,USD
2016-02-08,1.78,1.78,1.55,1.57,187235,USD
2016-02-09,1.58,1.58,1.47,1.5,222982,USD
2016-02-10,1.55,1.65,1.5,1.54,246922,USD
2016-02-11,1.58,1.62,1.51,1.59,121310,USD
2016-02-12,1.59,1.61,1.52,1.56,139138,USD
2016-02-16,1.58,1.68,1.58,1.6,312888,USD
2016-02-17,1.65,1.68,1.61,1.63,155987,USD
2016-02-18,1.65,1.8,1.63,1.72,367035,USD
2016-02-19,1.76,2.0,1.76,1.89,487230,USD
2016-02-22,1.96,2.04,1.85,1.93,493315,USD
2016-02-23,1.94,1.99,1.82,1.91,286023,USD
2016-02-24,1.88,1.99,1.84,1.99,165331,USD
2016-02-25,2.02,2.05,1.92,1.95,286182,USD
2016-02-26,1.94,1.97,1.88,1.9,177840,USD
2016-02-29,1.92,1.95,1.87,1.93,93059,USD
2016-03-01,1.95,2.09,1.92,2.0,321346,USD
2016-03-02,2.03,2.3,2.03,2.26,461320,USD
2016-03-03,2.3,2.44,2.28,2.37,425618,USD
2016-03-04,2.5,2.5,2.24,2.32,485146,USD
2016-03-07,2.33,2.45,2.32,2.41,161121,USD
2016-03-08,2.43,2.45,2.32,2.38,219386,USD
2016-03-09,2.4,2.48,2.31,2.47,101948,USD
2016-03-10,2.48,2.7,2.45,2.65,406148,USD
2016-03-11,2.7,2.75,2.58,2.61,185326,USD
2016-03-14,2.6,2.6,2.46,2.53,147604,USD
2016-03-15,2.53,2.53,2.22,2.24,290254,USD
2016-03-16,2.26,2.28,2.19,2.24,140385,USD
2016-03-17,2.22,2.26,2.11,2.11,135107,USD
2016-03-18,2.1,2.17,2.1,2.11,88777,USD
2016-03-21,2.12,2.21,2.12,2.13,101090,USD
2016-03-22,2.15,2.18,2.04,2.06,111517,USD
2016-03-23,2.06,2.08,2.02,2.02,69433,USD
2016-03-24,2.0,2.05,1.98,1.99,160293,USD
2016-03-28,1.99,2.03,1.92,1.98,147532,USD
2016-03-29,1.98,2.02,1.96,1.99,57730,USD
2016-03-30,2.02,2.15,1.97,1.98,174740,USD
2016-03-31,2.01,2.05,1.86,1.87,185311,USD
2016-04-01,1.85,1.95,1.85,1.9,78010,USD
2016-04-04,1.89,1.99,1.82,1.82,147903,USD
2016-04-05,1.84,1.84,1.7,1.72,147030,USD
2016-04-06,2.0,2.05,1.21,1.41,2120943,USD
2016-04-07,1.41,1.42,1.22,1.3,814957,USD
2016-04-08,1.32,1.39,1.3,1.35,254989,USD
2016-04-11,1.36,1.43,1.32,1.35,317455,USD
2016-04-12,1.34,1.39,1.33,1.35,181944,USD
2016-04-13,1.37,1.49,1.37,1.4,467377,USD
2016-04-14,1.41,1.46,1.38,1.44,226711,USD
2016-04-15,1.44,1.44,1.39,1.4,76309,USD
2016-04-18,1.37,1.44,1.31,1.37,287126,USD
2016-04-19,1.38,1.39,1.36,1.36,111372,USD
2016-04-20,1.35,1.42,1.34,1.41,146692,USD
2016-04-21,1.41,1.53,1.36,1.5,261466,USD
2016-04-22,1.5,1.54,1.48,1.49,78950,USD
2016-04-25,1.53,1.59,1.47,1.5,242288,USD
2016-04-26,1.51,1.53,1.43,1.48,122973,USD
2016-04-27,1.48,1.52,1.44,1.46,117977,USD
2016-04-28,1.42,1.43,1.25,1.33,487867,USD
