Date,Open,High,Low,Close,Volume,Currency
2016-01-04,64.77,65.18,64.14,65.14,2589174,USD
2016-01-05,64.97,65.65,64.74,65.24,1508987,USD
2016-01-06,64.0,64.07,62.83,63.07,2361902,USD
2016-01-07,62.03,62.14,60.0,60.22,3194608,USD
2016-01-08,60.76,60.84,58.53,58.65,1939638,USD
2016-01-11,58.98,59.44,57.45,58.44,3002133,USD
2016-01-12,59.27,59.49,58.15,59.35,2613290,USD
2016-01-13,59.77,59.96,56.72,56.81,2297948,USD
2016-01-14,57.28,58.24,56.14,57.44,3695633,USD
2016-01-15,55.54,55.92,53.77,54.97,4242605,USD
2016-01-19,55.84,55.93,54.76,55.54,4877153,USD
2016-01-20,54.1,55.79,53.21,55.13,6009905,USD
2016-01-21,55.2,55.96,54.24,54.43,2840900,USD
2016-01-22,55.51,56.35,55.14,55.83,2829461,USD
2016-01-25,55.41,55.59,54.19,54.22,3622111,USD
2016-01-26,54.59,56.08,54.49,55.93,3333873,USD
2016-01-27,53.78,54.49,51.77,51.91,6069107,USD
2016-01-28,52.1,52.66,50.73,51.98,4552511,USD
2016-01-29,52.44,55.83,52.41,55.73,5960367,USD
2016-02-01,55.15,55.34,54.3,54.79,3587018,USD
2016-02-02,53.5,53.5,52.19,52.97,5012343,USD
2016-02-03,53.54,53.91,51.7,53.78,5264316,USD
2016-02-04,53.68,56.16,53.39,55.11,3943141,USD
2016-02-05,55.11,55.98,53.99,54.42,3247105,USD
2016-02-08,53.53,53.9,52.46,53.57,4004178,USD
2016-02-09,52.16,53.95,52.16,53.4,4211660,USD
2016-02-10,53.87,55.06,53.7,53.73,2628291,USD
2016-02-11,51.44,53.07,51.44,52.38,3714393,USD
2016-02-12,53.52,54.9,52.87,54.68,2529903,USD
2016-02-16,55.21,57.27,55.02,56.64,3249657,USD
2016-02-17,57.17,58.04,56.41,56.58,3058272,USD
2016-02-18,56.68,56.88,55.15,55.58,3101513,USD
2016-02-19,55.19,56.91,54.75,56.19,4855814,USD
2016-02-22,56.66,57.65,55.92,56.82,3614326,USD
2016-02-23,56.76,56.77,55.3,55.63,3156739,USD
2016-02-24,54.16,54.36,52.67,54.18,4880106,USD
2016-02-25,54.28,54.74,53.62,54.74,4042555,USD
2016-02-26,55.35,56.09,54.72,55.41,2667484,USD
2016-02-29,55.49,55.64,54.31,54.78,3656324,USD
2016-03-01,55.42,57.28,55.4,57.14,2674064,USD
2016-03-02,57.17,57.86,56.88,57.69,2649114,USD
2016-03-03,57.71,58.19,57.05,58.05,2322008,USD
2016-03-04,58.45,59.74,58.09,58.67,3422855,USD
2016-03-07,57.95,58.82,57.79,58.5,2572144,USD
2016-03-08,57.81,58.08,57.07,57.28,3420753,USD
2016-03-09,57.8,57.99,56.88,56.99,3869269,USD
2016-03-10,57.5,57.5,56.02,56.57,4351817,USD
2016-03-11,57.3,57.99,56.79,57.95,3518748,USD
2016-03-14,57.79,58.14,57.3,57.76,2718556,USD
2016-03-15,57.3,57.37,56.62,56.75,3470522,USD
2016-03-16,56.54,57.41,56.11,56.85,5406147,USD
2016-03-17,56.66,57.75,56.35,57.4,5872251,USD
2016-03-18,57.76,59.2,57.61,59.05,6149891,USD
2016-03-21,58.99,60.27,58.61,59.94,4571004,USD
2016-03-22,59.32,59.8,58.93,59.36,2946088,USD
2016-03-23,59.26,60.05,58.93,59.64,5657784,USD
2016-03-24,58.74,59.0,58.04,58.75,3158207,USD
2016-03-28,58.29,59.13,57.93,58.41,3521169,USD
2016-03-29,57.84,58.65,57.0,58.49,2154427,USD
2016-03-30,58.55,59.9,58.01,58.52,3570397,USD
2016-03-31,58.4,59.21,58.25,58.52,2627134,USD
2016-04-01,58.04,59.15,57.71,58.95,2059390,USD
2016-04-04,58.97,59.39,58.51,58.8,1674434,USD
2016-04-05,58.01,58.24,56.56,57.61,4117832,USD
2016-04-06,57.46,58.33,57.36,58.2,1709181,USD
2016-04-07,57.57,57.87,55.88,56.18,2451763,USD
2016-04-08,56.9,57.17,56.06,56.27,1817676,USD
2016-04-11,56.75,57.18,56.36,56.57,1618264,USD
2016-04-12,56.85,57.78,56.51,57.49,1703145,USD
2016-04-13,58.0,59.77,57.94,59.74,2468908,USD
2016-04-14,59.57,60.75,59.29,60.08,2446637,USD
2016-04-15,60.05,60.35,59.18,59.57,2477079,USD
2016-04-18,59.36,59.94,59.2,59.89,1773157,USD
2016-04-19,60.0,60.77,59.83,60.26,2307355,USD
2016-04-20,60.56,61.81,60.18,61.75,2436887,USD
2016-04-21,61.75,62.32,61.0,61.19,1715375,USD
2016-04-22,61.33,62.08,61.23,61.89,1367321,USD
2016-04-25,61.44,61.92,60.89,61.41,1486731,USD
2016-04-26,61.64,62.64,61.39,62.48,2991901,USD
2016-04-27,63.08,64.69,62.26,63.93,3412196,USD
2016-04-28,63.31,63.89,62.63,62.81,2425982,USD
2016-04-29,62.35,62.76,61.7,62.3,2381801,USD
2016-05-02,62.35,63.0,61.7,62.91,1807913,USD
