Date,Open,High,Low,Close,Volume,Currency
2016-01-04,125.91,126.57,124.56,126.48,2743267,USD
2016-01-05,127.0,130.05,126.64,129.08,3237232,USD
2016-01-06,127.84,129.73,127.6,129.02,3930164,USD
2016-01-07,126.92,128.93,126.6,126.86,3168834,USD
2016-01-08,127.2,127.5,124.95,125.23,2660640,USD
2016-01-11,125.52,126.44,124.28,125.71,1929083,USD
2016-01-12,126.32,127.17,125.25,126.13,1586209,USD
2016-01-13,126.62,127.53,125.38,125.46,1925452,USD
2016-01-14,125.93,127.83,125.55,127.21,2384624,USD
2016-01-15,125.41,126.29,124.3,125.36,3039475,USD
2016-01-19,126.15,127.37,125.05,125.88,2618037,USD
2016-01-20,124.37,124.89,121.71,123.69,2929596,USD
2016-01-21,123.99,125.34,123.01,124.95,2244659,USD
2016-01-22,125.79,127.28,124.59,126.72,2373055,USD
2016-01-25,123.22,125.54,121.5,122.69,5126258,USD
2016-01-26,122.77,126.5,122.56,124.89,2219953,USD
2016-01-27,124.83,126.25,123.8,124.2,2468273,USD
2016-01-28,124.64,126.79,123.7,126.27,1506130,USD
2016-01-29,126.97,129.33,125.85,128.42,3453185,USD
2016-02-01,127.38,129.55,127.38,129.01,2001536,USD
2016-02-02,128.45,129.24,127.28,128.01,2067624,USD
2016-02-03,129.17,130.88,127.85,130.37,2470375,USD
2016-02-04,129.58,130.25,128.07,128.75,2591371,USD
2016-02-05,128.75,129.6,128.19,129.15,1832113,USD
2016-02-08,127.86,129.83,126.72,129.43,2007843,USD
2016-02-09,128.33,131.59,127.64,130.79,2391385,USD
2016-02-10,131.11,132.43,129.63,129.96,1508431,USD
2016-02-11,127.95,128.28,124.65,126.42,2486646,USD
2016-02-12,127.15,129.41,126.33,128.63,2123894,USD
2016-02-16,129.92,129.94,127.4,128.71,1715809,USD
2016-02-17,128.84,131.27,128.76,130.5,1756028,USD
2016-02-18,130.36,130.99,129.4,129.75,1505716,USD
2016-02-19,129.69,130.64,128.56,130.43,1208880,USD
2016-02-22,131.8,132.66,130.74,131.37,1615702,USD
2016-02-23,131.29,131.91,130.91,131.53,999471,USD
2016-02-24,130.53,132.6,129.72,132.35,1431899,USD
2016-02-25,132.5,133.53,131.88,133.5,1279833,USD
2016-02-26,133.31,133.73,130.71,131.3,1584252,USD
2016-02-29,131.2,132.12,130.24,130.3,2242658,USD
2016-03-01,130.99,131.94,130.35,131.64,1697728,USD
2016-03-02,130.03,131.6,128.77,131.57,1661066,USD
2016-03-03,131.11,131.71,130.17,131.63,1526417,USD
2016-03-04,131.63,132.89,130.88,132.54,1810336,USD
2016-03-07,131.65,132.57,130.8,131.59,1799018,USD
2016-03-08,131.13,133.97,130.81,132.35,2913973,USD
2016-03-09,132.5,133.5,131.52,131.97,1942363,USD
2016-03-10,132.69,133.07,130.46,131.88,1840518,USD
2016-03-11,132.25,133.27,131.7,133.15,1707743,USD
2016-03-14,133.22,134.78,132.84,134.72,1883813,USD
2016-03-15,134.24,135.05,133.51,134.63,1456145,USD
2016-03-16,134.29,135.7,133.39,135.23,1448085,USD
2016-03-17,135.18,136.61,134.97,136.01,1314778,USD
2016-03-18,135.91,136.5,134.89,135.54,4559695,USD
2016-03-21,136.08,136.08,134.2,135.26,1774534,USD
2016-03-22,134.92,134.97,132.85,133.64,1934033,USD
2016-03-23,133.73,135.38,133.66,133.98,2226762,USD
2016-03-24,133.66,133.87,132.82,133.55,1098012,USD
2016-03-28,133.88,135.05,133.84,134.24,1286593,USD
2016-03-29,134.02,135.17,133.74,134.99,1326360,USD
2016-03-30,135.5,136.32,135.1,135.71,1129739,USD
2016-03-31,135.27,135.87,134.4,134.51,1216098,USD
2016-04-01,133.33,136.39,133.02,136.2,1392029,USD
2016-04-04,136.18,136.9,135.61,136.26,1155939,USD
2016-04-05,136.18,136.97,135.91,136.25,1369490,USD
2016-04-06,136.06,137.31,135.73,137.27,1309059,USD
2016-04-07,136.55,136.99,136.0,136.65,1016325,USD
