Date,Open,High,Low,Close,Volume,Currency
2016-01-04,125.35,125.62,123.79,125.28,1531648,USD
2016-01-05,125.52,127.54,125.35,127.09,1571401,USD
2016-01-06,125.66,127.54,125.66,127.03,1354585,USD
2016-01-07,125.42,126.92,125.2,125.64,1112336,USD
2016-01-08,125.85,127.4,125.58,126.18,1183053,USD
2016-01-11,126.67,128.18,126.33,127.68,1192702,USD
2016-01-12,128.12,128.69,127.39,128.4,1060101,USD
2016-01-13,128.56,129.38,127.83,128.11,1400776,USD
2016-01-14,128.23,128.99,127.19,127.32,1178317,USD
2016-01-15,125.62,127.47,125.57,126.86,1291069,USD
2016-01-19,127.57,129.14,126.94,127.64,788160,USD
2016-01-20,126.25,127.37,123.74,125.39,1725192,USD
2016-01-21,125.37,126.38,124.25,125.89,1288890,USD
2016-01-22,126.86,127.98,125.78,127.59,822319,USD
2016-01-25,126.33,127.42,124.95,125.04,1684323,USD
2016-01-26,125.4,126.73,124.45,125.55,1574270,USD
2016-01-27,125.53,126.16,124.15,124.64,1459956,USD
2016-01-28,124.45,126.23,123.73,126.03,1148968,USD
2016-01-29,126.87,129.47,125.98,129.05,2006130,USD
2016-02-01,129.15,132.19,128.93,131.81,1319573,USD
2016-02-02,131.06,131.71,128.64,129.09,1533485,USD
2016-02-03,129.81,131.4,128.42,131.09,1832991,USD
2016-02-04,131.56,131.59,124.21,124.71,2524567,USD
2016-02-05,124.95,125.81,122.4,124.38,1733193,USD
2016-02-08,123.6,127.58,123.28,127.04,1713031,USD
2016-02-09,126.26,129.95,125.01,128.68,2273041,USD
2016-02-10,129.09,130.93,127.41,127.91,1676147,USD
2016-02-11,127.15,127.94,125.08,126.98,2280899,USD
2016-02-12,128.04,128.67,126.69,127.54,1079324,USD
2016-02-16,127.82,128.46,126.68,128.12,1017502,USD
2016-02-17,128.1,130.32,127.75,129.42,1209956,USD
2016-02-18,129.43,129.58,127.76,127.89,945183,USD
2016-02-19,127.89,128.76,126.87,128.63,795673,USD
2016-02-22,128.97,129.53,127.81,128.31,895276,USD
2016-02-23,128.4,129.23,128.35,128.85,691647,USD
2016-02-24,127.73,130.35,127.61,130.24,1096589,USD
2016-02-25,130.5,131.5,130.11,131.45,907625,USD
2016-02-26,130.59,131.18,127.3,127.82,1136450,USD
2016-02-29,127.65,128.2,126.42,126.42,1104329,USD
2016-03-01,126.57,127.17,124.77,125.47,1645196,USD
2016-03-02,125.2,126.2,124.15,126.06,1304398,USD
2016-03-03,126.05,126.05,124.4,125.59,1062195,USD
2016-03-04,125.63,126.06,124.68,125.61,1359721,USD
2016-03-07,125.4,125.5,123.0,123.46,1288913,USD
2016-03-08,123.35,126.86,122.77,125.47,1412373,USD
2016-03-09,125.85,126.67,124.99,125.22,1034463,USD
2016-03-10,125.72,126.57,124.91,125.51,928603,USD
2016-03-11,126.13,126.76,125.31,126.45,1021528,USD
2016-03-14,126.45,126.95,125.57,125.94,947333,USD
2016-03-15,125.51,127.09,125.3,126.7,787246,USD
2016-03-16,125.86,128.17,125.64,127.4,1116069,USD
2016-03-17,127.19,128.19,126.94,127.58,839099,USD
2016-03-18,127.6,128.2,126.33,127.41,3776574,USD
2016-03-21,127.41,128.19,126.53,127.45,864097,USD
2016-03-22,127.45,127.94,126.0,126.32,831403,USD
2016-03-23,126.4,127.88,126.32,127.08,815777,USD
2016-03-24,126.91,127.58,126.19,126.56,874022,USD
2016-03-28,126.76,128.14,126.76,127.55,571911,USD
2016-03-29,128.04,128.75,127.39,128.0,632864,USD
2016-03-30,128.15,128.44,127.19,127.97,924815,USD
2016-03-31,127.71,128.23,125.79,126.06,1574565,USD
2016-04-01,124.75,127.5,124.28,127.38,1196664,USD
2016-04-04,127.49,128.15,126.61,127.64,1053962,USD
2016-04-05,128.01,129.33,127.59,128.07,1502977,USD
2016-04-06,128.04,129.59,127.91,129.41,1019426,USD
2016-04-07,129.05,129.07,128.17,128.66,846043,USD
2016-04-08,129.0,129.5,127.87,128.53,750510,USD
2016-04-11,128.6,129.21,128.0,128.16,746710,USD
2016-04-12,128.09,128.42,127.31,128.17,659243,USD
2016-04-13,128.44,128.63,125.5,126.14,1594033,USD
2016-04-14,126.16,127.44,125.98,126.55,811262,USD
2016-04-15,127.01,127.29,125.8,126.41,1164288,USD
2016-04-18,125.58,126.62,125.03,126.5,786958,USD
2016-04-19,126.57,126.92,126.0,126.56,675032,USD
2016-04-20,126.38,126.67,124.77,124.8,1125275,USD
2016-04-21,124.51,124.58,121.1,121.13,1309908,USD
2016-04-22,120.65,122.51,119.23,122.45,1403186,USD
2016-04-25,122.01,124.24,121.74,123.63,1101435,USD
2016-04-26,123.64,124.8,123.64,123.76,1278017,USD
2016-04-27,124.04,125.13,123.31,124.78,1012570,USD
2016-04-28,124.22,125.39,124.18,124.77,794341,USD
2016-04-29,124.36,125.34,124.06,125.23,1282111,USD
2016-05-02,125.25,127.01,124.85,126.96,1637186,USD
2016-05-03,129.88,132.5,128.64,129.43,2943276,USD
2016-05-04,129.01,129.6,127.83,129.25,1662015,USD
2016-05-05,129.53,130.55,128.35,128.94,1204294,USD
2016-05-06,129.12,130.65,128.65,130.46,976962,USD
2016-05-09,130.75,131.79,130.5,131.68,1022014,USD
2016-05-10,131.93,132.86,131.53,132.84,850395,USD
2016-05-11,132.84,132.96,131.17,132.19,1063494,USD
2016-05-12,132.79,133.12,132.19,132.88,872783,USD
2016-05-13,133.1,133.24,131.48,131.98,858110,USD
2016-05-16,131.98,132.76,131.14,132.0,810824,USD
2016-05-17,131.98,132.91,129.06,129.43,1428333,USD
2016-05-18,129.47,129.71,127.18,128.14,1324545,USD
2016-05-19,127.93,130.38,127.5,129.98,1272931,USD
2016-05-20,130.12,130.49,128.46,128.83,1023845,USD
2016-05-23,128.99,129.46,128.5,129.05,629569,USD
2016-05-24,129.22,130.63,128.86,130.07,777891,USD
2016-05-25,130.03,130.55,129.0,129.36,655626,USD
2016-05-26,129.44,130.19,129.19,129.54,570950,USD
2016-05-27,129.86,130.09,129.29,129.7,481413,USD
2016-05-31,130.0,130.11,127.9,128.54,1191594,USD
2016-06-01,128.64,129.98,128.39,129.89,942371,USD
2016-06-02,130.04,130.04,128.88,129.83,719975,USD
2016-06-03,129.83,130.16,128.94,129.92,765586,USD
2016-06-06,129.7,130.09,128.89,129.33,825066,USD
2016-06-07,129.58,129.82,129.02,129.36,859681,USD
2016-06-08,129.08,130.15,128.71,130.11,541771,USD
2016-06-09,130.06,131.02,129.7,130.91,492211,USD
2016-06-10,130.42,131.82,130.06,131.77,709559,USD
2016-06-13,131.55,132.48,131.09,131.18,758946,USD
2016-06-14,130.82,133.0,130.0,132.79,1019865,USD
2016-06-15,132.8,133.05,131.82,132.15,681036,USD
2016-06-16,132.0,133.38,131.91,133.11,715017,USD
2016-06-17,132.89,132.89,131.13,132.37,1342684,USD
2016-06-20,132.63,133.05,132.13,132.32,759277,USD
2016-06-21,132.82,133.87,132.53,133.1,830366,USD
2016-06-22,133.03,133.89,132.92,133.85,710132,USD
2016-06-23,134.47,134.49,133.64,134.23,464595,USD
2016-06-24,132.55,136.49,132.0,134.88,2116357,USD
2016-06-27,134.6,137.62,134.58,137.03,2387876,USD
2016-06-28,137.2,137.2,135.53,136.66,1485773,USD
2016-06-29,136.7,137.43,134.49,135.21,1518123,USD
2016-06-30,135.58,138.41,134.81,138.39,1577889,USD
2016-07-01,138.69,138.86,136.44,137.16,945024,USD
2016-07-05,137.64,140.08,137.5,139.24,1297449,USD
2016-07-06,140.21,140.47,137.72,138.21,1269053,USD
2016-07-07,138.0,138.29,136.84,137.52,1144712,USD
2016-07-08,137.42,138.46,137.0,138.37,991728,USD
2016-07-11,138.06,138.3,136.56,137.71,958631,USD
2016-07-12,136.73,137.14,135.6,136.22,911130,USD
2016-07-13,136.57,137.39,136.08,137.06,467782,USD
2016-07-14,136.93,138.37,136.56,136.72,743600,USD
2016-07-15,137.0,137.68,136.23,136.58,880608,USD
2016-07-18,136.76,137.0,135.99,136.12,635933,USD
2016-07-19,136.0,136.46,135.51,136.35,675266,USD
2016-07-20,136.53,136.9,135.29,135.35,546244,USD
2016-07-21,135.14,135.27,134.25,134.64,705910,USD
2016-07-22,134.69,135.28,134.5,135.18,640664,USD
2016-07-25,134.21,134.54,133.71,134.48,485180,USD
2016-07-26,134.38,134.92,133.37,133.89,627341,USD
2016-07-27,133.77,133.77,130.35,131.03,1738073,USD
2016-07-28,131.0,131.18,129.54,130.83,1482855,USD
2016-07-29,130.43,131.79,130.06,131.07,973177,USD
2016-08-01,130.68,131.7,130.68,131.35,887806,USD
2016-08-02,131.24,132.17,129.86,130.3,1355292,USD
2016-08-03,132.29,132.62,130.79,131.59,1444783,USD
2016-08-04,131.61,133.96,131.61,133.91,1066499,USD
2016-08-05,133.8,133.97,131.79,132.22,1125442,USD
2016-08-08,132.22,132.45,131.22,132.16,618535,USD
2016-08-09,132.29,132.93,131.74,132.59,737644,USD
2016-08-10,132.84,133.85,132.49,133.85,618935,USD
2016-08-11,134.32,134.7,133.0,133.2,598269,USD
2016-08-12,133.61,134.23,133.1,133.42,405181,USD
2016-08-15,133.16,133.41,132.2,132.24,477501,USD
2016-08-16,131.92,132.24,131.03,131.08,500033,USD
2016-08-17,131.5,132.24,130.16,131.5,916344,USD
2016-08-18,131.35,131.8,130.82,131.22,657163,USD
2016-08-19,130.88,131.06,130.45,130.8,718655,USD
2016-08-22,130.8,131.1,130.29,130.93,840138,USD
2016-08-23,131.17,131.49,130.22,130.45,775512,USD
2016-08-24,130.36,130.91,129.65,130.77,732930,USD
2016-08-25,130.83,131.63,130.62,131.05,686956,USD
2016-08-26,130.94,132.14,130.49,130.63,587343,USD
