Date,Open,High,Low,Close,Volume,Currency
2016-01-04,56.56,56.68,55.62,56.34,2222505,USD
2016-01-05,56.34,56.63,55.71,56.46,1387269,USD
2016-01-06,55.39,55.57,54.05,54.26,1480996,USD
2016-01-07,53.03,53.38,51.86,52.02,1687080,USD
2016-01-08,52.64,52.66,50.78,50.83,1700231,USD
2016-01-11,51.17,51.55,50.52,51.27,1352333,USD
2016-01-12,51.25,51.86,50.21,50.7,1755454,USD
2016-01-13,50.91,50.97,47.98,48.52,1870640,USD
2016-01-14,48.84,49.86,47.81,49.39,1318024,USD
2016-01-15,47.69,48.46,46.95,48.24,2099432,USD
2016-01-19,49.13,49.34,48.01,48.39,1448942,USD
2016-01-20,47.47,47.98,45.9,47.27,2279058,USD
2016-01-21,44.52,46.41,44.11,44.69,3046885,USD
2016-01-22,45.34,46.12,45.14,45.46,1568954,USD
2016-01-25,45.0,45.19,42.65,42.8,2337276,USD
2016-01-26,42.88,43.31,42.72,43.17,2075080,USD
2016-01-27,43.0,44.8,42.77,43.45,1900823,USD
2016-01-28,43.85,44.01,42.57,42.72,1529235,USD
2016-01-29,43.04,43.86,42.52,43.81,2030859,USD
2016-02-01,43.44,44.53,43.12,44.25,1567714,USD
2016-02-02,43.05,43.41,41.52,41.9,2861967,USD
2016-02-03,42.08,42.18,40.26,41.7,2242945,USD
2016-02-04,41.42,43.55,41.42,43.27,2329225,USD
2016-02-05,43.23,44.26,43.01,43.4,2488784,USD
2016-02-08,42.81,42.94,41.16,41.94,2287316,USD
2016-02-09,41.45,42.69,41.01,42.4,1808445,USD
2016-02-10,42.92,43.82,41.73,41.85,1375576,USD
2016-02-11,40.58,40.83,39.84,40.43,1942421,USD
2016-02-12,41.34,41.68,40.33,41.0,1717135,USD
2016-02-16,41.8,42.56,41.38,42.22,1367488,USD
2016-02-17,42.43,43.55,42.28,43.31,1737745,USD
2016-02-18,43.5,43.64,42.53,43.22,1617826,USD
2016-02-19,42.9,44.14,42.67,43.87,1533500,USD
2016-02-22,44.25,44.75,43.88,44.24,1095410,USD
2016-02-23,44.14,44.16,43.3,43.44,1113293,USD
2016-02-24,42.82,43.12,41.48,42.92,1034909,USD
2016-02-25,42.97,44.15,42.91,44.1,1022588,USD
2016-02-26,44.64,45.42,44.51,44.96,1249661,USD
2016-02-29,44.85,45.01,43.8,43.84,796423,USD
2016-03-01,44.27,45.78,44.08,45.77,838312,USD
2016-03-02,45.63,46.14,45.46,46.12,580802,USD
2016-03-03,45.96,46.62,45.71,46.32,858660,USD
2016-03-04,46.6,46.97,45.97,46.26,1446324,USD
2016-03-07,45.92,46.53,45.47,46.45,780991,USD
2016-03-08,45.67,45.98,44.89,45.4,897134,USD
2016-03-09,45.77,45.95,45.13,45.49,618367,USD
2016-03-10,45.77,46.12,44.66,45.5,490765,USD
2016-03-11,45.99,47.51,45.99,47.45,658345,USD
2016-03-14,47.15,47.3,46.77,47.25,682599,USD
2016-03-15,46.87,46.93,45.8,46.34,803972,USD
2016-03-16,46.28,47.26,45.8,46.28,719937,USD
2016-03-17,46.1,47.52,45.35,47.2,1060015,USD
2016-03-18,47.3,48.34,47.27,48.06,1390589,USD
2016-03-21,48.12,48.7,47.89,48.24,525138,USD
