Date,Open,High,Low,Close,Volume,Currency
2016-01-04,103.12,103.43,101.73,102.98,12531478,USD
2016-01-05,102.67,102.67,99.89,100.9,16212908,USD
2016-01-06,99.38,101.46,99.36,100.36,13934454,USD
2016-01-07,98.96,101.35,98.52,99.5,14680220,USD
2016-01-08,100.63,100.92,99.0,99.25,10691594,USD
2016-01-11,100.21,100.45,98.55,99.92,9583209,USD
2016-01-12,100.97,101.85,100.34,101.46,8863921,USD
2016-01-13,101.88,101.88,98.12,98.48,11615434,USD
2016-01-14,98.65,99.91,97.19,99.11,11147478,USD
2016-01-15,95.62,96.88,93.46,93.9,22336968,USD
2016-01-19,95.0,95.07,93.03,93.97,13286754,USD
2016-01-20,92.18,93.64,90.42,92.54,16918060,USD
2016-01-21,92.87,94.86,92.3,94.02,12078238,USD
2016-01-22,95.95,97.42,95.55,96.9,12303814,USD
2016-01-25,96.42,96.68,95.12,95.29,7812210,USD
2016-01-26,95.49,96.43,95.09,96.27,6915592,USD
2016-01-27,96.31,96.63,93.87,94.32,6328904,USD
2016-01-28,95.2,95.2,92.37,93.53,7312713,USD
2016-01-29,94.21,95.82,93.63,95.82,8211566,USD
2016-02-01,95.08,95.71,94.7,95.15,7027242,USD
2016-02-02,94.0,94.17,92.87,93.12,7244414,USD
2016-02-03,94.1,95.41,92.42,95.14,10877995,USD
2016-02-04,94.87,96.73,94.6,95.43,8350333,USD
2016-02-05,95.32,95.39,93.47,93.9,8898453,USD
2016-02-08,92.56,92.96,89.51,92.12,13750142,USD
2016-02-09,90.15,93.2,89.04,92.32,19237396,USD
2016-02-10,88.0,90.03,86.25,88.85,32649818,USD
2016-02-11,87.0,91.06,86.96,90.31,17523776,USD
2016-02-12,91.52,91.59,89.61,91.15,10786093,USD
2016-02-16,92.47,93.31,91.79,92.91,9050861,USD
2016-02-17,93.67,96.44,93.56,95.5,12610039,USD
2016-02-18,96.34,96.45,94.45,95.17,8773883,USD
2016-02-19,95.23,95.72,94.56,95.01,6838210,USD
2016-02-22,96.23,97.0,95.86,96.37,6980438,USD
2016-02-23,96.5,96.82,95.15,95.38,6253760,USD
2016-02-24,94.65,95.75,93.23,95.43,6945612,USD
2016-02-25,95.92,95.95,94.35,95.65,4562326,USD
2016-02-26,95.71,96.22,95.28,95.31,5277045,USD
2016-02-29,95.31,96.29,95.23,95.52,7794361,USD
2016-03-01,95.9,97.66,95.53,97.65,7139945,USD
2016-03-02,97.67,97.83,96.41,97.0,6498588,USD
2016-03-03,97.79,98.84,96.89,98.82,8581303,USD
2016-03-04,99.0,99.21,97.9,98.48,6739803,USD
2016-03-07,98.57,99.71,98.48,99.39,7218731,USD
2016-03-08,98.93,98.98,97.6,97.82,6229279,USD
2016-03-09,98.0,98.24,96.81,97.66,7010658,USD
2016-03-10,97.94,98.42,95.87,97.04,5453451,USD
2016-03-11,97.57,98.35,97.54,97.94,5605768,USD
2016-03-14,97.94,99.22,97.84,98.81,6175001,USD
2016-03-15,98.02,98.33,97.39,98.24,5942388,USD
2016-03-16,98.16,99.08,97.47,98.44,6079376,USD
2016-03-17,98.28,99.91,98.28,99.6,6385644,USD
2016-03-18,99.98,100.15,98.96,99.2,10205081,USD
2016-03-21,98.92,99.12,97.7,98.46,7070271,USD
2016-03-22,97.59,98.32,97.44,97.58,6475657,USD
2016-03-23,97.72,97.84,96.75,96.83,5517747,USD
2016-03-24,96.55,97.49,96.3,97.22,5577661,USD
2016-03-28,97.5,98.46,97.45,98.09,5317112,USD
2016-03-29,98.0,98.37,97.36,98.16,5170836,USD
2016-03-30,98.9,99.09,98.34,98.91,5677471,USD
2016-03-31,99.01,100.37,99.01,99.31,7038803,USD
2016-04-01,98.8,99.34,98.58,99.07,5895453,USD
2016-04-04,99.3,99.44,98.58,98.68,5334697,USD
2016-04-05,96.85,97.61,96.15,97.0,10818781,USD
2016-04-06,96.96,97.63,96.83,97.48,6952406,USD
2016-04-07,97.11,97.42,95.92,96.16,7525406,USD
2016-04-08,96.63,96.84,95.8,96.42,6982660,USD
2016-04-11,96.93,97.64,96.19,96.27,5916642,USD
2016-04-12,96.28,97.53,96.07,97.35,6277150,USD
2016-04-13,98.03,99.81,97.96,99.48,7967391,USD
2016-04-14,99.79,99.87,98.26,98.63,6676152,USD
2016-04-15,98.5,98.89,98.18,98.59,6146837,USD
2016-04-18,99.6,101.95,99.5,101.48,10665222,USD
2016-04-19,102.0,103.64,101.92,102.64,10639797,USD
2016-04-20,103.02,103.48,101.96,103.27,7712027,USD
2016-04-21,103.36,104.12,102.65,102.91,6824756,USD
2016-04-22,103.06,103.99,102.93,103.77,5731332,USD
2016-04-25,103.5,104.62,103.35,104.57,6117068,USD
2016-04-26,104.58,105.57,104.18,104.89,6452933,USD
2016-04-27,105.19,105.6,104.76,105.28,5996077,USD
2016-04-28,104.54,105.49,103.8,104.03,5658271,USD
2016-04-29,103.95,104.21,102.4,103.26,7006884,USD
2016-05-02,103.3,104.57,102.8,104.36,5285731,USD
2016-05-03,103.88,103.99,103.19,103.78,6243299,USD
2016-05-04,103.31,104.48,103.2,103.67,6445065,USD
2016-05-05,103.98,105.12,103.45,104.93,6465966,USD
2016-05-06,104.51,105.74,104.39,105.54,7407498,USD
2016-05-09,106.01,106.68,104.97,105.34,8130318,USD
2016-05-10,105.53,106.75,105.45,106.6,15177195,USD
2016-05-11,101.46,102.5,100.62,102.29,27068132,USD
2016-05-12,102.5,102.85,101.12,101.71,11251703,USD
2016-05-13,101.71,102.04,100.36,100.52,9570151,USD
2016-05-16,100.41,100.67,99.37,100.36,9112952,USD
2016-05-17,100.79,101.29,99.55,99.94,8694360,USD
2016-05-18,99.59,99.77,98.36,99.0,9323116,USD
2016-05-19,98.58,98.61,97.51,98.41,7063535,USD
2016-05-20,99.0,99.93,98.77,99.78,7297012,USD
2016-05-23,99.6,100.33,99.12,99.18,5588590,USD
2016-05-24,99.45,100.04,99.38,99.51,5250783,USD
2016-05-25,99.92,100.8,99.81,99.86,5678987,USD
2016-05-26,99.89,100.49,99.57,99.81,3852638,USD
2016-05-27,99.81,100.53,99.81,100.29,4589121,USD
2016-05-31,99.85,99.89,98.57,99.22,10396157,USD
2016-06-01,98.67,98.99,97.73,98.52,7243851,USD
2016-06-02,98.07,98.72,97.87,98.72,4830090,USD
2016-06-03,98.66,98.92,97.73,98.75,6857453,USD
2016-06-06,98.96,99.12,98.47,98.78,4986555,USD
2016-06-07,99.0,99.04,98.32,98.35,5608418,USD
2016-06-08,98.49,98.82,97.7,98.04,5466157,USD
2016-06-09,97.82,97.93,97.1,97.84,5379363,USD
2016-06-10,97.15,97.71,96.78,97.34,7204388,USD
2016-06-13,96.75,98.98,96.7,97.57,8766346,USD
2016-06-14,97.2,98.55,97.17,98.4,6125748,USD
2016-06-15,98.19,99.0,98.19,98.27,6663175,USD
2016-06-16,97.8,98.63,96.86,98.38,7129696,USD
2016-06-17,98.41,99.14,98.27,99.0,8959401,USD
2016-06-20,100.08,100.96,99.5,99.57,8268636,USD
2016-06-21,99.73,99.79,98.77,98.82,5202527,USD
2016-06-22,99.08,99.62,98.7,98.79,4948868,USD
2016-06-23,99.44,99.62,98.61,99.02,5826073,USD
2016-06-24,96.01,97.28,95.14,95.72,15079933,USD
2016-06-27,94.91,95.23,94.0,94.38,9485245,USD
2016-06-28,95.46,96.28,95.14,96.05,7143103,USD
2016-06-29,96.91,97.29,96.28,96.98,6563579,USD
2016-06-30,97.1,98.07,96.88,97.82,7189489,USD
2016-07-01,97.75,98.64,97.71,98.03,5681627,USD
2016-07-05,97.77,98.0,97.17,97.66,5846412,USD
2016-07-06,97.0,98.52,96.76,98.45,6223292,USD
2016-07-07,97.63,98.48,97.58,98.41,5146032,USD
2016-07-08,99.25,99.85,98.77,99.62,6045805,USD
2016-07-11,99.8,100.35,99.4,99.98,5428018,USD
2016-07-12,100.17,100.79,100.0,100.2,8508457,USD
2016-07-13,100.46,100.8,99.85,99.88,5494690,USD
2016-07-14,100.42,100.8,99.68,99.97,7461465,USD
2016-07-15,100.42,100.54,99.54,99.8,5764374,USD
2016-07-18,99.9,100.71,99.87,100.15,5051251,USD
2016-07-19,99.81,99.99,99.36,99.47,5742736,USD
2016-07-20,98.65,98.69,97.14,98.22,10664885,USD
2016-07-21,98.17,99.12,97.62,98.01,7069554,USD
2016-07-22,98.39,98.42,97.47,97.71,5381662,USD
2016-07-25,97.9,98.06,97.25,97.39,4825498,USD
2016-07-26,97.02,97.16,96.34,96.69,6274830,USD
2016-07-27,96.7,96.93,95.86,96.33,6911392,USD
2016-07-28,96.4,96.49,95.82,95.91,7713512,USD
2016-07-29,95.85,96.38,95.85,95.95,8263966,USD
2016-08-01,96.15,96.2,95.08,95.54,7131587,USD
2016-08-02,95.35,95.75,94.56,95.01,7644091,USD
2016-08-03,95.06,96.42,95.0,96.09,9068697,USD
2016-08-04,95.53,95.98,94.71,95.16,10038331,USD
2016-08-05,95.4,96.0,95.35,95.83,6528537,USD
2016-08-08,96.11,96.29,95.58,95.75,7792013,USD
2016-08-09,95.61,96.85,95.3,96.67,15548695,USD
2016-08-10,96.7,99.27,95.85,97.86,27181276,USD
2016-08-11,98.2,98.39,97.15,97.77,9233890,USD
2016-08-12,97.82,97.82,96.66,96.84,9360332,USD
2016-08-15,97.35,97.61,96.92,97.1,5299588,USD
2016-08-16,96.86,97.25,96.27,96.88,5777756,USD
2016-08-17,96.84,96.97,96.52,96.87,5697252,USD
2016-08-18,96.87,97.12,96.55,96.65,5250741,USD
2016-08-19,96.4,96.79,96.05,96.39,6362404,USD
2016-08-22,96.47,96.47,95.65,95.87,5495336,USD
2016-08-23,96.13,96.42,95.8,95.97,4996251,USD
2016-08-24,96.01,96.22,95.51,95.82,5912529,USD
2016-08-25,95.62,95.82,95.41,95.55,4518655,USD
2016-08-26,95.66,96.13,94.75,95.21,6019553,USD
2016-08-29,95.07,95.32,94.46,94.87,7902989,USD
2016-08-30,94.77,95.29,94.77,94.86,6845046,USD
2016-08-31,94.69,94.9,94.16,94.46,7375228,USD
2016-09-01,94.73,94.87,93.91,94.26,6274204,USD
2016-09-02,94.75,94.96,94.13,94.42,5382016,USD
2016-09-06,94.53,94.53,93.35,93.8,8463523,USD
2016-09-07,93.98,94.03,93.33,93.71,6281494,USD
2016-09-08,93.49,94.21,92.92,94.09,7438081,USD
2016-09-09,93.51,93.74,92.39,92.42,10248373,USD
2016-09-12,91.96,93.86,91.95,93.64,9367303,USD
2016-09-13,93.04,93.3,92.45,92.7,7795172,USD
2016-09-14,92.59,92.89,92.07,92.26,6386478,USD
2016-09-15,92.12,92.75,91.19,92.5,7568163,USD
2016-09-16,92.27,92.74,91.8,92.56,10568647,USD
2016-09-19,92.8,93.32,92.34,92.63,5421473,USD
2016-09-20,92.7,93.3,92.68,92.95,6200107,USD
