Date,Open,High,Low,Close,Volume,Currency
2016-01-04,38.04,38.97,37.7,38.34,914631,USD
2016-01-05,38.54,38.78,37.55,38.32,1013627,USD
2016-01-06,37.96,38.22,37.27,37.81,867881,USD
2016-01-07,37.27,38.2,37.16,37.58,897576,USD
2016-01-08,37.5,38.35,36.87,37.0,1475758,USD
2016-01-11,37.31,37.64,36.33,36.72,815939,USD
2016-01-12,37.82,40.63,37.47,38.56,1973917,USD
2016-01-13,38.47,38.54,37.14,37.21,1096883,USD
2016-01-14,37.07,37.64,36.0,36.62,1314402,USD
2016-01-15,35.26,36.23,33.78,35.96,1022613,USD
2016-01-19,36.35,36.53,35.52,35.88,975741,USD
2016-01-20,35.5,36.42,34.8,36.15,808922,USD
2016-01-21,36.35,37.31,35.9,36.32,971364,USD
2016-01-22,36.8,36.98,36.24,36.79,604380,USD
2016-01-25,36.65,36.77,36.02,36.09,377516,USD
2016-01-26,36.18,37.58,36.18,37.37,403613,USD
2016-01-27,37.31,37.71,36.7,37.08,483618,USD
2016-01-28,37.36,37.62,36.88,37.29,356331,USD
2016-01-29,37.45,38.81,37.45,38.78,585706,USD
2016-02-01,38.4,39.22,38.21,39.2,875379,USD
2016-02-02,39.0,39.35,38.72,39.24,746815,USD
2016-02-03,39.39,39.43,38.33,39.02,821381,USD
2016-02-04,38.48,38.56,37.01,37.75,922790,USD
2016-02-05,37.7,38.16,37.04,37.34,739196,USD
2016-02-08,37.02,37.27,36.45,37.14,668599,USD
2016-02-09,36.82,37.43,36.2,36.34,676919,USD
2016-02-10,36.58,37.33,36.37,36.63,497420,USD
2016-02-11,36.25,36.81,35.86,36.19,455824,USD
2016-02-12,36.37,36.71,35.9,36.25,661248,USD
2016-02-16,36.61,37.89,36.31,37.62,951569,USD
2016-02-17,37.77,38.31,37.44,37.78,893906,USD
2016-02-18,37.36,38.26,36.44,38.02,1193119,USD
2016-02-19,37.77,37.93,37.14,37.75,723477,USD
2016-02-22,37.56,38.28,37.45,38.11,662609,USD
2016-02-23,38.53,38.98,38.0,38.68,753722,USD
2016-02-24,38.54,39.92,38.36,39.79,723706,USD
2016-02-25,40.04,40.06,39.28,39.84,647131,USD
2016-02-26,39.93,40.45,39.72,40.33,515275,USD
2016-02-29,40.27,40.87,40.11,40.45,546363,USD
2016-03-01,40.37,41.72,40.03,41.71,940278,USD
2016-03-02,41.51,41.66,40.89,41.6,682604,USD
2016-03-03,41.25,42.02,41.23,41.89,1378879,USD
2016-03-04,42.4,43.97,42.4,42.9,1794616,USD
2016-03-07,43.09,46.13,42.46,45.5,2258703,USD
2016-03-08,45.63,45.91,44.5,44.58,912692,USD
2016-03-09,44.78,45.03,44.16,44.87,574281,USD
2016-03-10,45.47,45.92,44.47,45.65,1091851,USD
2016-03-11,45.86,46.06,45.5,45.61,759660,USD
2016-03-14,45.91,46.01,44.43,44.89,927548,USD
2016-03-15,44.71,44.94,43.98,44.12,701136,USD
2016-03-16,43.09,44.14,43.04,43.86,909760,USD
2016-03-17,43.78,44.89,43.33,44.77,845219,USD
2016-03-18,44.73,45.23,44.35,44.65,966881,USD
2016-03-21,44.48,45.3,44.38,45.23,723399,USD
2016-03-22,45.04,45.33,44.44,44.8,772278,USD
2016-03-23,44.69,44.69,43.46,43.78,883979,USD
2016-03-24,43.51,44.54,43.24,44.22,768456,USD
2016-03-28,44.27,45.5,44.05,45.12,801981,USD
2016-03-29,45.29,45.58,44.84,45.41,604001,USD
2016-03-30,45.54,45.67,45.23,45.41,597247,USD
2016-03-31,45.36,45.72,44.66,45.29,707473,USD
2016-04-01,45.29,45.66,45.12,45.2,869508,USD
2016-04-04,45.19,45.5,44.35,45.17,769539,USD
2016-04-05,44.73,45.18,44.19,44.24,866544,USD
2016-04-06,44.37,44.74,43.68,44.52,818099,USD
2016-04-07,44.36,44.86,43.8,44.35,1029258,USD
2016-04-08,44.73,44.73,43.91,44.52,847490,USD
2016-04-11,44.61,45.3,44.46,44.83,900495,USD
2016-04-12,44.93,45.62,44.37,45.42,884522,USD
2016-04-13,45.43,46.5,45.22,46.19,815271,USD
2016-04-14,45.91,46.09,44.96,45.59,764469,USD
2016-04-15,45.55,46.49,45.12,46.31,767296,USD
2016-04-18,45.89,46.55,45.89,46.28,608168,USD
2016-04-19,46.5,46.97,46.5,46.64,718317,USD
2016-04-20,46.47,47.2,46.31,46.96,681752,USD
2016-04-21,47.06,47.45,46.28,46.5,597517,USD
