Date,Open,High,Low,Close,Volume,Currency
2016-01-04,75.01,78.0,74.91,77.93,3848005,USD
2016-01-05,78.04,78.12,72.78,73.29,6010972,USD
2016-01-06,71.55,72.06,68.33,69.15,8047303,USD
2016-01-07,66.6,70.28,66.1,67.16,7120079,USD
2016-01-08,68.56,69.12,66.55,66.89,7170980,USD
2016-01-11,67.18,68.0,64.93,66.05,5140186,USD
2016-01-12,66.72,67.81,65.06,66.63,3352393,USD
2016-01-13,64.2,65.66,61.9,62.16,7247222,USD
2016-01-14,62.01,65.14,60.07,64.54,5674198,USD
2016-01-15,61.1,62.45,59.92,60.67,6045114,USD
2016-01-19,62.38,63.34,59.87,60.38,4928361,USD
2016-01-20,59.37,62.31,58.5,61.62,5997313,USD
2016-01-21,62.23,64.73,61.52,63.29,4253051,USD
2016-01-22,65.0,67.42,64.97,67.03,5714318,USD
2016-01-25,66.85,66.92,65.49,65.59,3068996,USD
2016-01-26,65.75,67.04,64.99,65.8,2789449,USD
2016-01-27,65.68,66.46,61.7,62.14,5848291,USD
2016-01-28,62.77,64.9,62.61,64.79,7098877,USD
2016-01-29,68.82,69.77,66.22,68.92,8200661,USD
2016-02-01,68.18,70.39,67.52,69.62,4726274,USD
2016-02-02,69.07,69.2,66.38,66.48,3834888,USD
2016-02-03,67.8,68.79,64.88,66.19,4894048,USD
2016-02-04,66.58,66.79,65.12,66.0,4337281,USD
2016-02-05,64.87,65.85,61.0,62.16,6333707,USD
2016-02-08,60.81,61.19,58.23,59.3,5708661,USD
2016-02-09,58.24,60.08,57.46,57.7,4610779,USD
2016-02-10,58.68,59.76,57.01,57.2,3450110,USD
2016-02-11,56.1,56.97,54.5,55.85,6580130,USD
2016-02-12,57.06,57.96,56.01,57.63,3899524,USD
2016-02-16,59.27,62.44,59.14,61.44,4853515,USD
2016-02-17,61.82,64.88,61.57,63.71,4505680,USD
2016-02-18,64.43,64.49,61.1,62.07,2995938,USD
2016-02-19,61.51,63.5,61.29,63.03,3374735,USD
2016-02-22,63.6,65.19,63.29,64.29,3207155,USD
2016-02-23,63.74,63.76,62.07,62.62,2455727,USD
2016-02-24,61.58,63.86,61.11,63.71,2673219,USD
2016-02-25,63.53,64.56,62.59,64.55,2550012,USD
2016-02-26,65.08,65.4,64.43,64.9,2227082,USD
2016-02-27,64.93,64.93,64.93,64.93,2042981,USD
2016-02-29,65.88,68.79,65.54,66.45,5593641,USD
2016-03-01,67.62,70.42,67.03,70.4,4636584,USD
2016-03-02,69.94,70.85,68.45,68.98,3967780,USD
2016-03-03,68.42,70.49,68.3,70.1,4119292,USD
2016-03-04,71.18,75.11,70.33,73.01,7334848,USD
2016-03-07,72.16,74.73,71.81,72.92,4225457,USD
2016-03-08,72.0,72.1,69.25,69.91,4802428,USD
2016-03-09,70.32,71.91,69.96,71.02,3002489,USD
2016-03-10,71.5,72.36,68.58,69.97,3640525,USD
2016-03-11,70.83,72.8,70.62,72.77,3359207,USD
2016-03-14,72.17,73.21,71.52,72.79,3010484,USD
2016-03-15,73.52,74.4,72.35,73.61,3822398,USD
2016-03-16,73.0,75.05,72.9,75.0,4198958,USD
2016-03-17,74.26,75.16,73.08,74.92,5458909,USD
2016-03-18,75.41,77.12,74.86,77.02,4479673,USD
2016-03-21,76.68,77.24,75.43,77.21,2554432,USD
2016-03-22,76.1,77.0,75.61,76.89,2425316,USD
2016-03-23,76.45,76.72,75.83,76.3,2946051,USD
2016-03-24,75.57,76.24,75.01,76.2,2286612,USD
2016-03-28,76.44,77.18,75.72,76.92,2114809,USD
2016-03-29,74.51,76.88,73.61,76.47,4270034,USD
2016-03-30,76.99,78.22,76.8,77.85,2690120,USD
2016-03-31,77.61,78.29,77.31,77.9,2950156,USD
2016-04-01,77.16,78.23,76.32,78.18,2015674,USD
2016-04-04,78.36,78.46,76.44,77.5,2054273,USD
2016-04-05,76.45,77.38,76.14,77.07,2075133,USD
2016-04-06,76.87,78.45,75.22,78.21,2532024,USD
2016-04-07,77.58,77.72,76.57,77.31,4515614,USD
2016-04-08,78.0,78.11,76.6,77.36,4375290,USD
2016-04-11,77.73,78.0,76.02,76.07,2003543,USD
2016-04-12,76.23,76.35,73.66,74.64,3768372,USD
2016-04-13,75.26,77.22,75.0,77.07,2004727,USD
2016-04-14,75.89,76.9,74.59,76.77,2422511,USD
2016-04-15,76.64,77.16,74.95,75.06,3255556,USD
2016-04-18,74.4,75.21,73.9,74.74,2340154,USD
2016-04-19,75.15,75.15,71.88,72.23,3745298,USD
2016-04-20,71.84,73.51,70.89,72.84,3110214,USD
2016-04-21,72.59,72.79,71.07,71.69,2909302,USD
2016-04-22,71.58,72.15,70.56,71.5,2645134,USD
2016-04-25,71.03,71.47,70.01,70.72,2589414,USD
2016-04-26,71.34,72.5,71.03,71.7,2557137,USD
2016-04-27,68.68,72.84,68.48,72.32,6350460,USD
2016-04-28,71.88,73.59,71.31,71.78,4429223,USD
2016-04-29,70.42,72.01,66.04,66.82,8591989,USD
2016-05-02,66.77,67.28,65.7,67.12,3873318,USD
2016-05-03,66.94,67.39,66.54,67.02,3413557,USD
2016-05-04,66.49,67.01,64.78,65.23,2505886,USD
2016-05-05,66.12,66.19,64.25,64.35,2815551,USD
2016-05-06,64.2,64.65,62.62,64.63,3016322,USD
2016-05-09,64.42,65.57,64.42,65.05,2494293,USD
2016-05-10,64.9,65.11,63.75,64.86,2398645,USD
2016-05-11,64.66,65.31,64.35,64.59,2168599,USD
2016-05-12,64.85,64.95,60.92,61.66,5182256,USD
2016-05-13,60.97,62.24,60.43,60.75,4892430,USD
2016-05-16,61.11,62.86,60.96,62.42,3261553,USD
2016-05-17,62.13,63.58,61.94,62.31,3119249,USD
2016-05-18,62.1,64.36,62.01,63.57,2633155,USD
2016-05-19,63.0,63.84,61.83,62.8,2578672,USD
2016-05-20,63.47,64.8,62.91,64.56,2237159,USD
2016-05-23,65.85,67.46,65.76,65.81,3368119,USD
2016-05-24,66.07,66.67,65.85,66.46,2768025,USD
2016-05-25,66.45,66.78,65.11,66.27,2389482,USD
2016-05-26,66.0,66.8,65.89,66.17,1699697,USD
2016-05-27,65.93,66.55,65.81,66.5,1128047,USD
2016-05-31,66.32,67.1,66.3,66.76,1756841,USD
2016-06-01,66.37,67.64,66.37,67.27,2039751,USD
2016-06-02,67.03,67.56,66.26,66.58,2172276,USD
2016-06-03,67.74,68.5,66.27,66.94,3682635,USD
2016-06-06,66.94,67.26,66.06,66.11,1938338,USD
2016-06-07,66.39,68.96,66.17,68.67,3066195,USD
2016-06-08,68.53,68.98,67.71,68.38,2093035,USD
2016-06-09,66.5,68.09,66.35,67.97,2504938,USD
2016-06-10,66.91,67.08,65.42,65.55,2416971,USD
2016-06-13,65.02,66.13,64.82,64.96,1252998,USD
2016-06-14,64.75,65.19,64.01,65.01,1570210,USD
2016-06-15,65.19,65.51,64.76,64.99,1597124,USD
2016-06-16,64.25,64.94,63.36,64.78,1734401,USD
2016-06-17,64.74,64.74,63.31,63.97,2401411,USD
2016-06-20,64.95,66.62,64.74,65.95,3590147,USD
2016-06-21,66.14,67.1,65.34,65.46,1638437,USD
2016-06-22,65.41,66.77,65.29,65.35,1833720,USD
2016-06-23,66.23,67.23,65.83,67.21,1462904,USD
2016-06-24,64.0,65.09,61.37,61.61,3913497,USD
