Date,Open,High,Low,Close,Volume,Currency
2016-01-04,70.93,71.21,70.16,71.19,3565451,USD
2016-01-05,71.18,71.85,70.18,71.7,2706795,USD
2016-01-06,71.11,72.18,70.87,71.86,2382816,USD
2016-01-07,71.05,71.77,70.89,71.2,2887788,USD
2016-01-08,71.19,71.68,70.91,71.04,2198006,USD
2016-01-11,71.25,72.05,71.2,71.83,2968865,USD
2016-01-12,72.14,72.26,70.6,71.27,2976160,USD
2016-01-13,71.36,72.35,71.29,71.7,2622719,USD
2016-01-14,71.73,72.83,71.16,72.37,3645240,USD
2016-01-15,71.48,72.3,71.02,72.08,4818989,USD
2016-01-19,72.47,73.36,72.09,73.16,3179767,USD
2016-01-20,72.57,72.99,70.65,71.42,3593312,USD
2016-01-21,71.7,72.14,70.35,71.09,4501454,USD
2016-01-22,71.58,72.24,70.95,72.18,3161445,USD
2016-01-25,72.19,72.29,71.52,71.8,2398640,USD
2016-01-26,72.0,73.2,71.74,72.22,2601256,USD
2016-01-27,72.0,72.89,71.66,72.41,2087017,USD
2016-01-28,72.17,73.96,71.83,73.47,2293980,USD
2016-01-29,73.99,75.41,73.93,75.3,4822440,USD
2016-02-01,75.18,77.68,75.02,77.0,6727089,USD
2016-02-02,76.09,76.94,76.03,76.75,4666962,USD
2016-02-03,76.84,78.72,76.76,78.56,4913254,USD
2016-02-04,78.27,79.03,77.88,78.58,4545889,USD
2016-02-05,78.17,79.22,77.35,79.04,3521930,USD
2016-02-08,79.25,80.1,78.6,79.17,5350635,USD
2016-02-09,78.75,79.81,78.24,78.93,3806508,USD
2016-02-10,77.61,78.56,76.39,78.12,4134944,USD
2016-02-11,77.77,78.31,76.77,76.8,4053553,USD
2016-02-12,76.96,77.31,75.51,76.24,4520436,USD
2016-02-16,76.2,76.49,75.45,76.29,3550165,USD
2016-02-17,76.52,76.58,75.27,75.5,4989497,USD
2016-02-18,75.04,76.66,74.69,76.21,6529897,USD
2016-02-19,75.93,75.93,74.19,74.55,6272120,USD
2016-02-22,74.8,75.21,74.26,74.84,3893699,USD
2016-02-23,74.65,75.17,74.23,74.81,4231879,USD
2016-02-24,74.99,75.44,74.34,74.95,3869778,USD
2016-02-25,75.16,76.45,74.84,76.44,3494067,USD
2016-02-26,76.07,76.31,73.95,74.03,4250855,USD
2016-02-29,73.96,74.94,73.79,74.28,3519523,USD
2016-03-01,74.66,74.72,72.7,73.35,6084748,USD
2016-03-02,73.35,73.88,72.48,73.63,12096999,USD
2016-03-03,73.76,74.42,72.94,74.33,4237982,USD
2016-03-04,73.98,75.55,73.67,75.17,3826849,USD
2016-03-07,75.0,76.26,74.82,76.25,3469795,USD
2016-03-08,76.32,77.31,75.9,77.27,4691546,USD
2016-03-09,77.0,77.83,76.7,77.51,5048720,USD
2016-03-10,77.51,77.88,76.84,77.26,4552841,USD
2016-03-11,77.92,78.14,77.51,77.76,2908913,USD
