Date,Open,High,Low,Close,Volume,Currency
2016-01-04,93.33,93.43,91.33,93.06,318687,USD
2016-01-05,93.11,94.54,92.81,94.0,204385,USD
2016-01-06,92.76,94.66,91.98,94.0,350581,USD
2016-01-07,92.32,93.69,91.41,91.46,258478,USD
2016-01-08,91.85,92.03,88.63,88.96,278270,USD
2016-01-11,89.31,89.79,88.5,89.34,229030,USD
2016-01-12,89.99,90.21,86.75,88.38,446432,USD
2016-01-13,88.75,88.78,83.31,84.38,285350,USD
2016-01-14,84.56,86.15,82.43,85.48,425477,USD
2016-01-15,83.13,85.6,83.06,85.49,409797,USD
2016-01-19,86.41,86.7,84.17,85.31,262096,USD
2016-01-20,84.2,86.28,82.73,85.25,285036,USD
2016-01-21,85.52,85.62,80.2,81.01,504721,USD
2016-01-22,81.99,84.1,81.99,83.97,369982,USD
2016-01-25,83.45,83.81,80.8,81.08,290988,USD
2016-01-26,81.72,84.39,81.67,84.06,203254,USD
2016-01-27,83.43,84.05,81.74,82.05,181669,USD
2016-01-28,82.95,82.95,81.55,82.34,140669,USD
2016-01-29,87.56,98.96,85.81,95.57,960822,USD
2016-02-01,94.93,98.43,94.65,95.56,427165,USD
2016-02-02,94.5,96.49,93.72,96.09,379520,USD
2016-02-03,97.05,97.16,94.64,96.65,319988,USD
2016-02-04,96.43,96.86,95.01,95.91,276644,USD
2016-02-05,95.51,96.08,93.54,94.33,290437,USD
2016-02-08,93.07,93.07,90.62,92.37,334094,USD
2016-02-09,91.48,93.27,90.35,91.38,255667,USD
2016-02-10,92.09,94.19,91.54,92.47,317658,USD
2016-02-11,90.72,92.31,90.39,91.42,262758,USD
2016-02-12,92.78,93.7,91.78,93.01,202697,USD
2016-02-16,94.34,94.41,93.42,93.98,266420,USD
2016-02-17,94.52,95.0,93.7,94.35,236675,USD
2016-02-18,94.32,94.86,92.29,92.91,296113,USD
2016-02-19,92.79,94.0,92.7,93.0,261610,USD
2016-02-22,93.76,95.35,93.64,94.92,193311,USD
2016-02-23,94.68,95.0,94.38,94.55,178391,USD
2016-02-24,93.82,95.76,93.82,95.59,214767,USD
2016-02-25,95.91,98.79,95.3,98.58,314745,USD
2016-02-26,98.25,99.0,96.15,96.66,218643,USD
2016-02-29,96.66,99.92,96.66,99.52,506896,USD
2016-03-01,100.0,102.91,99.73,102.63,335547,USD
2016-03-02,102.22,102.97,101.77,102.9,178097,USD
2016-03-03,102.69,102.69,101.4,102.18,197559,USD
2016-03-04,102.27,102.27,100.64,101.26,232245,USD
2016-03-07,100.57,101.4,99.42,100.16,169232,USD
2016-03-08,99.5,99.5,97.79,97.89,144921,USD
2016-03-09,98.13,98.48,97.35,97.75,130873,USD
2016-03-10,98.17,101.18,97.78,99.29,307366,USD
2016-03-11,100.05,100.86,98.63,99.92,117887,USD
2016-03-14,99.71,100.57,99.01,100.28,109175,USD
2016-03-15,99.72,100.8,99.2,99.45,85182,USD
2016-03-16,99.23,102.35,99.23,102.33,156528,USD
2016-03-17,102.08,104.49,100.85,104.02,201702,USD
2016-03-18,104.53,105.06,103.33,104.34,294568,USD
2016-03-21,103.95,104.37,103.05,104.13,84196,USD
2016-03-22,104.14,106.64,104.14,104.61,191845,USD
2016-03-23,102.39,102.6,99.4,100.59,351699,USD
2016-03-24,100.25,101.6,99.96,101.0,140364,USD
2016-03-28,101.7,101.84,100.34,100.65,195566,USD
2016-03-29,100.42,106.0,100.42,105.39,314739,USD
2016-03-30,105.69,106.0,103.93,105.06,148579,USD
2016-03-31,104.89,106.48,104.89,106.09,241270,USD
2016-04-01,105.09,109.19,104.96,108.8,331347,USD
2016-04-04,108.55,109.16,104.53,104.86,166941,USD
2016-04-05,104.34,106.71,104.19,105.41,247741,USD
2016-04-06,105.35,106.75,104.84,105.94,153666,USD
2016-04-07,105.41,105.68,103.74,104.42,151393,USD
2016-04-08,105.05,106.2,104.46,104.86,89456,USD
2016-04-11,105.19,105.73,103.31,103.33,97377,USD
2016-04-12,103.16,105.21,102.77,104.16,146285,USD
2016-04-13,105.03,106.4,104.11,106.28,170271,USD
2016-04-14,106.38,106.79,105.44,106.11,128083,USD
2016-04-15,105.59,107.25,104.39,106.23,186124,USD
2016-04-18,105.89,107.2,105.51,106.79,132797,USD
2016-04-19,107.29,108.19,107.19,107.44,159969,USD
2016-04-20,107.84,108.3,106.57,107.99,126906,USD
2016-04-21,107.88,109.25,107.06,107.18,154825,USD
2016-04-22,106.79,107.27,104.78,105.44,228168,USD
2016-04-25,104.78,105.6,104.49,105.16,137839,USD
2016-04-26,105.0,105.92,104.31,105.4,216059,USD
2016-04-27,105.66,107.09,104.74,105.43,203304,USD
2016-04-28,104.76,107.82,104.43,106.55,239905,USD
2016-04-29,106.09,106.91,105.5,106.71,159160,USD
2016-05-02,107.0,109.03,106.17,108.96,231357,USD
2016-05-03,108.32,108.95,104.42,104.96,160547,USD
2016-05-04,104.27,105.1,103.89,104.34,172393,USD
2016-05-05,106.32,107.29,104.2,106.13,294161,USD
2016-05-06,105.37,106.84,104.42,106.02,132331,USD
2016-05-09,106.31,108.93,106.31,107.69,155909,USD
2016-05-10,108.0,109.43,107.51,109.4,123427,USD
2016-05-11,109.3,109.54,107.33,108.0,93639,USD
2016-05-12,108.42,109.25,107.53,108.79,97852,USD
2016-05-13,108.39,110.95,107.94,109.14,237857,USD
2016-05-16,109.14,110.39,108.36,110.02,127519,USD
2016-05-17,109.69,109.69,105.65,106.16,180571,USD
2016-05-18,105.86,107.34,104.72,105.74,172130,USD
2016-05-19,104.89,106.01,103.5,104.58,143861,USD
2016-05-20,104.76,107.23,104.7,107.16,159925,USD
2016-05-23,107.16,108.05,106.18,106.28,80395,USD
2016-05-24,106.99,110.34,105.74,109.99,163385,USD
2016-05-25,110.19,110.37,109.22,109.43,119508,USD
2016-05-26,109.43,110.29,108.61,109.11,147761,USD
2016-05-27,109.53,111.64,109.16,111.57,136690,USD
2016-05-31,111.7,112.25,110.67,111.43,241286,USD
2016-06-01,111.34,112.64,110.87,112.58,225510,USD
2016-06-02,112.19,114.69,112.19,114.07,231037,USD
2016-06-03,114.31,114.31,112.27,112.89,132347,USD
2016-06-06,112.73,114.24,111.83,113.62,116812,USD
2016-06-07,113.49,114.7,113.26,113.75,80770,USD
2016-06-08,113.7,115.28,113.25,114.83,108167,USD
2016-06-09,114.25,115.87,112.65,115.73,134920,USD
2016-06-10,115.1,115.24,113.14,113.55,109538,USD
2016-06-13,113.17,113.43,110.85,110.91,241983,USD
2016-06-14,110.9,111.84,110.47,111.39,91639,USD
2016-06-15,111.71,111.8,110.64,110.86,155513,USD
2016-06-16,110.14,111.58,109.47,111.43,205939,USD
2016-06-17,111.66,111.88,108.35,109.37,265408,USD
2016-06-20,111.37,112.63,110.84,111.15,104690,USD
2016-06-21,111.17,112.08,110.71,111.31,107995,USD
2016-06-22,111.2,113.14,110.59,111.71,184490,USD
2016-06-23,112.68,113.5,111.06,113.08,167808,USD
2016-06-24,108.0,110.79,107.17,109.0,285124,USD
2016-06-27,107.89,108.19,105.75,105.98,263094,USD
2016-06-28,106.7,107.79,105.69,106.88,154119,USD
2016-06-29,108.38,109.85,107.91,109.37,107621,USD
2016-06-30,109.82,113.2,109.75,113.01,240013,USD
2016-07-01,112.74,114.76,111.73,113.92,267916,USD
2016-07-05,113.26,114.38,112.93,113.76,132179,USD
2016-07-06,113.58,114.26,112.81,113.45,125980,USD
2016-07-07,113.44,115.21,113.44,114.85,189810,USD
2016-07-08,116.0,116.34,114.79,114.86,191727,USD
2016-07-11,115.32,115.89,114.76,115.15,150220,USD
2016-07-12,116.06,118.04,115.0,117.84,245778,USD
2016-07-13,118.82,119.17,117.09,118.2,232975,USD
2016-07-14,119.22,119.28,117.82,117.94,117191,USD
2016-07-15,118.31,118.41,116.54,116.75,125028,USD
2016-07-18,117.02,117.02,115.53,116.4,161895,USD
2016-07-19,116.59,117.96,116.55,117.46,88952,USD
2016-07-20,118.38,118.99,117.95,118.76,127687,USD
2016-07-21,118.55,118.61,116.44,116.73,82730,USD
2016-07-22,116.61,119.15,116.61,118.95,158178,USD
2016-07-25,118.94,119.63,116.47,117.77,89403,USD
2016-07-26,117.95,118.83,116.96,117.6,86781,USD
2016-07-27,117.92,118.26,117.06,117.51,103147,USD
2016-07-28,117.5,119.79,115.43,115.6,257719,USD
2016-07-29,120.0,130.16,118.88,126.64,875807,USD
2016-08-01,126.4,130.28,126.07,130.22,305958,USD
2016-08-02,130.0,130.99,128.4,128.56,333419,USD
2016-08-03,128.14,128.93,128.05,128.63,210307,USD
2016-08-04,128.65,128.65,127.74,127.96,161273,USD
2016-08-05,128.92,129.29,128.39,129.1,137785,USD
2016-08-08,128.73,129.04,127.52,127.8,179502,USD
2016-08-09,127.22,128.5,127.09,127.52,206641,USD
2016-08-10,127.64,128.29,126.68,127.51,140151,USD
2016-08-11,127.66,128.66,127.53,127.55,88980,USD
2016-08-12,127.43,127.48,126.78,126.83,81108,USD
2016-08-15,126.31,127.96,126.31,127.45,117903,USD
2016-08-16,127.21,127.21,125.56,125.61,127086,USD
2016-08-17,125.39,125.87,124.79,125.28,85324,USD
2016-08-18,125.1,126.53,125.1,126.33,90993,USD
2016-08-19,126.75,127.38,125.44,127.06,118639,USD
2016-08-22,126.84,126.99,125.85,126.9,89197,USD
2016-08-23,127.16,128.58,126.78,127.29,173755,USD
2016-08-24,127.18,127.75,125.82,125.92,117414,USD
2016-08-25,125.69,129.01,125.69,127.81,227360,USD
2016-08-26,128.04,129.0,125.9,126.75,143943,USD
2016-08-29,127.01,128.08,126.86,127.14,124245,USD
2016-08-30,127.74,128.43,127.15,128.26,151560,USD
2016-08-31,128.59,128.66,127.28,127.94,162957,USD
2016-09-01,127.47,129.95,127.47,129.95,261993,USD
2016-09-02,130.08,132.36,130.08,132.36,152622,USD
2016-09-06,132.16,132.83,131.27,132.71,122928,USD
2016-09-07,132.11,132.77,131.29,132.51,216235,USD
2016-09-08,131.97,132.95,131.84,132.87,115899,USD
2016-09-09,131.54,132.01,128.48,128.51,179695,USD
2016-09-12,127.82,131.79,127.82,131.73,147397,USD
2016-09-13,130.13,131.0,127.29,127.45,311135,USD
2016-09-14,127.23,129.66,127.23,128.18,310429,USD
2016-09-15,128.35,131.6,128.35,131.37,232085,USD
2016-09-16,131.0,131.43,129.25,129.43,293708,USD
2016-09-19,130.58,132.24,129.38,129.45,171589,USD
2016-09-20,130.46,130.6,128.85,128.87,95834,USD
2016-09-21,127.7,128.54,125.29,128.36,208292,USD
2016-09-22,129.35,129.88,127.92,129.57,187793,USD
2016-09-23,129.01,129.55,128.42,128.47,100037,USD
2016-09-26,128.02,128.88,127.4,127.94,148581,USD
2016-09-27,127.73,128.42,126.8,127.49,164014,USD
2016-09-28,127.61,128.55,126.44,127.39,211520,USD
2016-09-29,127.28,127.53,125.1,125.17,124117,USD
2016-09-30,125.92,125.92,124.26,124.59,233637,USD
2016-10-03,123.74,126.0,123.42,124.24,175943,USD
2016-10-04,124.15,124.42,122.51,122.82,172854,USD
2016-10-05,123.46,125.66,121.17,122.16,152465,USD
