Date,Open,High,Low,Close,Volume,Currency
2016-01-04,168.79,169.5,166.5,168.53,414432,USD
2016-01-05,168.94,169.95,167.1,168.34,349279,USD
2016-01-06,166.29,168.61,166.03,167.79,463326,USD
2016-01-07,165.0,166.24,163.82,164.24,400054,USD
2016-01-08,165.11,166.14,162.02,162.52,468215,USD
2016-01-11,163.13,163.91,160.65,163.05,430519,USD
2016-01-12,164.25,165.55,162.53,164.83,383055,USD
2016-01-13,165.0,165.59,161.38,161.51,478865,USD
2016-01-14,161.9,164.04,159.51,163.08,418202,USD
2016-01-15,159.03,161.12,155.09,157.3,714524,USD
2016-01-19,158.0,158.12,155.74,155.92,840555,USD
2016-01-20,153.81,154.77,147.51,152.81,935301,USD
2016-01-21,152.52,153.91,149.53,150.51,846474,USD
2016-01-22,152.14,154.25,150.59,153.1,630275,USD
2016-01-25,153.0,154.6,152.56,153.43,829603,USD
2016-01-26,154.63,159.18,154.28,159.06,472805,USD
2016-01-27,158.45,161.94,157.32,158.1,408874,USD
2016-01-28,158.73,159.57,155.53,157.23,537571,USD
2016-01-29,158.18,161.56,157.54,161.56,583375,USD
2016-02-01,158.45,162.03,156.97,161.1,504907,USD
2016-02-02,160.0,160.0,153.42,154.55,951651,USD
2016-02-03,155.84,155.98,149.89,153.14,893596,USD
2016-02-04,154.61,154.61,143.49,145.15,2109512,USD
2016-02-05,144.72,144.72,138.42,139.9,1256695,USD
2016-02-08,138.13,138.87,133.09,135.41,1629089,USD
2016-02-09,134.36,137.56,134.08,135.78,894966,USD
2016-02-10,136.83,143.35,136.83,141.36,1216026,USD
2016-02-11,138.54,140.65,135.91,138.03,651077,USD
2016-02-12,139.62,140.98,138.68,140.01,719803,USD
2016-02-16,142.48,143.75,140.91,141.88,510529,USD
2016-02-17,143.18,144.02,141.7,143.45,545180,USD
2016-02-18,143.65,145.1,143.01,144.9,624159,USD
2016-02-19,144.15,145.93,143.97,145.22,494526,USD
2016-02-22,146.73,147.67,146.3,147.39,512243,USD
2016-02-23,146.12,147.82,144.32,144.54,343107,USD
2016-02-24,143.47,145.99,142.55,145.75,491176,USD
2016-02-25,145.75,146.22,143.31,144.54,530734,USD
2016-02-26,145.31,147.87,144.72,147.23,399494,USD
2016-02-29,146.67,147.84,144.61,144.67,408209,USD
2016-03-01,146.14,151.05,144.92,150.55,728066,USD
2016-03-02,149.74,151.61,149.31,150.81,578328,USD
2016-03-03,150.81,154.52,149.86,154.07,658332,USD
2016-03-04,153.9,156.0,152.89,154.04,671733,USD
2016-03-07,153.48,155.44,152.91,153.87,439368,USD
2016-03-08,152.03,153.1,150.22,151.96,476226,USD
2016-03-09,152.37,152.8,150.5,151.37,403145,USD
2016-03-10,152.16,152.25,148.45,150.36,535127,USD
2016-03-11,151.53,153.41,151.53,152.8,293195,USD
2016-03-14,152.26,154.45,152.25,154.1,370563,USD
2016-03-15,152.67,155.25,152.34,154.97,328042,USD
2016-03-16,154.29,156.52,153.85,155.91,304019,USD
2016-03-17,155.81,156.33,155.23,156.0,665661,USD
2016-03-18,156.34,157.04,155.33,155.33,730237,USD
2016-03-21,155.64,158.57,154.9,158.02,376109,USD
2016-03-22,157.9,158.21,156.22,156.87,467618,USD
2016-03-23,156.72,157.09,155.26,155.81,283472,USD
2016-03-24,155.02,158.1,154.28,157.84,433869,USD
2016-03-28,157.78,158.54,156.84,158.1,258320,USD
2016-03-29,156.94,158.94,156.06,158.78,338969,USD
2016-03-30,159.0,160.0,158.35,158.54,202041,USD
2016-03-31,158.91,158.91,156.49,156.99,671498,USD
2016-04-01,156.0,159.36,155.5,159.24,516613,USD
2016-04-04,158.9,158.9,154.4,154.9,500357,USD
2016-04-05,153.55,154.3,152.51,153.66,498274,USD
2016-04-06,153.15,156.99,152.72,156.72,599633,USD
2016-04-07,155.27,157.36,153.95,155.29,805497,USD
2016-04-08,157.06,158.8,156.21,157.8,487314,USD
2016-04-11,158.25,158.63,155.78,156.17,348263,USD
2016-04-12,156.18,157.15,155.38,156.21,406877,USD
2016-04-13,157.34,159.59,157.06,159.51,346128,USD
2016-04-14,159.73,161.17,158.74,160.71,540989,USD
2016-04-15,161.1,161.2,159.9,160.84,289334,USD
2016-04-18,160.04,161.62,159.95,161.14,444755,USD
2016-04-19,161.92,162.3,160.26,161.6,643583,USD
2016-04-20,161.11,161.92,160.1,161.33,767229,USD
2016-04-21,162.0,162.0,158.61,160.2,823290,USD
2016-04-22,160.44,162.35,159.76,160.65,900842,USD
2016-04-25,160.8,161.73,159.49,161.67,633140,USD
2016-04-26,162.36,163.49,161.15,161.78,385152,USD
2016-04-27,161.78,162.98,160.67,162.68,432479,USD
2016-04-28,161.87,164.32,160.64,161.11,411742,USD
2016-04-29,160.09,160.99,159.04,159.28,415237,USD
2016-05-02,159.68,160.1,158.59,159.44,390872,USD
2016-05-03,158.15,158.62,155.43,156.5,600949,USD
2016-05-04,155.81,157.9,155.44,157.71,494120,USD
2016-05-05,157.75,159.19,157.36,158.45,416900,USD
2016-05-06,158.0,160.3,157.87,160.05,385770,USD
2016-05-09,159.79,160.37,158.75,159.44,380404,USD
2016-05-10,160.24,162.65,159.67,162.64,335483,USD
2016-05-11,162.39,163.79,161.7,162.86,518398,USD
2016-05-12,162.95,163.79,161.22,163.29,453018,USD
2016-05-13,162.9,163.42,161.0,161.61,408969,USD
2016-05-16,161.79,164.24,161.15,163.8,416679,USD
2016-05-17,163.68,165.33,163.08,164.04,643258,USD
2016-05-18,163.0,164.25,162.29,163.3,462089,USD
2016-05-19,162.29,162.32,160.3,161.72,409723,USD
2016-05-20,162.47,162.72,161.23,162.2,1189948,USD
2016-05-23,161.81,162.65,161.13,162.17,277489,USD
2016-05-24,163.0,164.58,162.18,164.39,293903,USD
2016-05-25,164.59,165.0,162.25,162.67,345390,USD
