Date,Open,High,Low,Close,Volume,Currency
2016-01-04,66.24,67.09,65.19,66.13,798712,USD
2016-01-05,66.87,67.99,66.0,66.93,705170,USD
2016-01-06,65.3,66.14,64.93,65.18,749478,USD
2016-01-07,63.84,63.84,62.12,62.43,1116075,USD
2016-01-08,62.71,63.37,62.04,62.18,727878,USD
2016-01-11,63.01,63.22,61.71,62.3,992377,USD
2016-01-12,63.03,63.91,61.61,63.32,1836917,USD
2016-01-13,63.54,64.22,62.51,62.79,1263742,USD
2016-01-14,63.02,63.52,61.19,63.01,1197270,USD
2016-01-15,61.0,62.25,60.85,61.95,1026744,USD
2016-01-19,62.54,62.8,59.54,60.64,1430161,USD
2016-01-20,59.63,60.05,58.05,59.2,1304409,USD
2016-01-21,59.23,60.12,58.92,59.28,1843401,USD
2016-01-22,60.26,62.25,58.56,61.08,2868691,USD
2016-01-25,60.81,60.95,59.59,59.64,1633867,USD
2016-01-26,59.98,61.56,59.53,61.49,1138654,USD
2016-01-27,61.39,62.73,60.94,61.66,1184262,USD
2016-01-28,62.46,63.06,61.84,62.12,731283,USD
2016-01-29,62.07,63.75,61.27,63.67,1628605,USD
2016-02-01,62.35,62.44,61.02,61.47,1345161,USD
2016-02-02,60.97,61.38,59.62,59.68,906830,USD
2016-02-03,60.53,60.86,58.71,60.48,1117709,USD
2016-02-04,60.45,62.55,60.45,60.86,1071467,USD
2016-02-05,60.55,61.43,58.92,59.01,1196737,USD
2016-02-08,58.03,58.49,55.07,56.41,2191629,USD
2016-02-09,55.76,58.46,55.56,57.54,1525298,USD
2016-02-10,57.85,58.99,56.64,56.94,1061646,USD
2016-02-11,56.14,57.82,55.28,55.81,1139105,USD
2016-02-12,56.34,57.41,55.67,57.31,995870,USD
2016-02-16,57.87,59.0,57.41,58.69,928068,USD
2016-02-17,59.35,60.15,59.14,59.46,822153,USD
2016-02-18,59.66,59.96,58.72,59.15,899040,USD
2016-02-19,58.96,59.11,57.88,59.0,885606,USD
2016-02-22,59.76,61.19,59.34,61.14,957627,USD
2016-02-23,60.76,61.1,58.27,58.67,945416,USD
2016-02-24,58.13,59.31,57.49,59.22,789381,USD
2016-02-25,59.58,59.97,58.76,59.95,1062558,USD
2016-02-26,60.22,61.17,60.2,61.05,687574,USD
2016-02-29,61.19,62.15,60.3,60.34,951231,USD
2016-03-01,60.99,61.54,60.08,61.35,973119,USD
2016-03-02,61.03,62.07,60.87,61.82,777132,USD
2016-03-03,61.73,62.93,61.64,62.81,782124,USD
