Date,Open,High,Low,Close,Volume,Currency
2016-01-04,38.05,38.09,36.98,37.62,8926113,USD
2016-01-05,37.79,37.89,36.94,37.14,11150973,USD
2016-01-06,36.32,36.8,36.08,36.79,17867264,USD
2016-01-07,35.79,37.01,35.43,36.27,10489201,USD
2016-01-08,36.79,36.8,35.54,35.71,8412722,USD
2016-01-11,35.9,36.65,35.79,36.21,8152172,USD
2016-01-12,36.65,37.83,36.53,37.12,6984474,USD
2016-01-13,37.48,37.48,34.7,34.86,53119744,USD
2016-01-14,34.92,35.66,34.17,35.4,9527731,USD
2016-01-15,34.31,35.35,33.51,34.91,11935770,USD
2016-01-19,35.52,35.63,34.7,35.15,5843582,USD
2016-01-20,34.53,35.06,33.46,34.71,8084337,USD
2016-01-21,34.79,35.45,34.38,34.56,8859547,USD
2016-01-22,35.08,36.2,34.82,35.92,6601850,USD
2016-01-25,35.76,35.87,34.63,34.73,8582477,USD
2016-01-26,34.85,35.46,34.83,35.3,5502524,USD
2016-01-27,35.25,35.4,33.92,34.07,7862604,USD
2016-01-28,34.53,34.93,33.17,33.79,13813633,USD
2016-01-29,33.63,34.88,32.55,34.82,20543854,USD
2016-02-01,34.6,35.26,34.43,34.67,8915948,USD
2016-02-02,34.24,34.57,33.12,33.42,8704679,USD
2016-02-03,33.81,33.85,32.33,33.12,10319356,USD
2016-02-04,33.14,33.25,31.33,31.94,17559834,USD
2016-02-05,31.77,31.8,30.39,30.53,17261322,USD
2016-02-08,29.69,29.89,28.13,28.72,17084104,USD
2016-02-09,28.41,29.75,28.05,28.81,14216661,USD
2016-02-10,29.06,30.55,29.05,30.15,14315513,USD
2016-02-11,29.6,30.72,29.49,30.52,17176408,USD
2016-02-12,28.66,29.04,26.49,28.12,42849840,USD
2016-02-16,28.56,29.65,28.55,29.42,15564925,USD
2016-02-17,29.76,30.02,29.32,29.45,15154864,USD
2016-02-18,29.88,30.0,28.79,28.88,8244215,USD
2016-02-19,28.85,30.35,28.65,30.19,11537093,USD
2016-02-22,30.51,31.85,30.48,31.52,10578978,USD
2016-02-23,31.35,31.91,30.55,30.73,9504124,USD
2016-02-24,30.44,31.77,30.24,31.71,8306824,USD
2016-02-25,31.98,32.62,31.75,32.32,8611407,USD
2016-02-26,32.38,32.62,31.65,31.89,7114277,USD
2016-02-27,31.89,31.89,31.88,31.88,6306913,USD
2016-02-29,31.73,32.22,31.32,31.67,7479277,USD
2016-03-01,31.96,32.4,31.45,32.21,7543561,USD
2016-03-02,32.0,32.21,31.51,32.01,8292781,USD
2016-03-03,31.81,31.9,31.02,31.52,5454899,USD
2016-03-04,31.84,31.84,30.71,31.19,6125808,USD
2016-03-07,31.0,31.48,30.51,30.98,7754692,USD
2016-03-08,30.7,31.15,30.51,30.78,6958290,USD
2016-03-09,30.82,31.05,30.37,30.86,6527104,USD
2016-03-10,30.9,31.51,30.7,31.25,7588874,USD
2016-03-11,31.51,32.03,31.48,31.52,7747237,USD
2016-03-14,31.65,32.67,31.57,32.41,7123702,USD
2016-03-15,32.34,32.87,32.18,32.48,5374000,USD
2016-03-16,32.49,32.91,32.2,32.79,5080390,USD
2016-03-17,32.68,33.08,32.02,32.6,6275617,USD
2016-03-18,32.68,32.68,31.77,32.2,11477107,USD
2016-03-21,32.23,32.32,31.81,32.04,3060517,USD
2016-03-22,31.89,32.57,31.86,32.54,4683562,USD
2016-03-23,32.48,32.81,32.42,32.58,4115875,USD
2016-03-24,32.44,32.58,31.91,32.21,3764407,USD
2016-03-28,32.1,32.34,31.71,32.14,3263309,USD
2016-03-29,32.27,33.35,32.25,33.24,6150603,USD
2016-03-30,33.6,34.29,33.51,34.07,8355068,USD
2016-03-31,33.98,34.5,33.7,33.84,7040449,USD
2016-04-01,33.81,34.53,33.55,34.42,4998460,USD
2016-04-04,34.42,34.66,33.95,34.23,4823265,USD
2016-04-05,33.91,34.35,33.6,33.71,5673361,USD
2016-04-06,33.89,34.17,33.54,34.0,4550220,USD
2016-04-07,33.87,33.97,33.31,33.42,5795968,USD
2016-04-08,33.7,34.16,33.52,33.97,4591958,USD
2016-04-11,34.3,34.38,33.41,33.41,4487159,USD
2016-04-12,33.43,33.66,33.03,33.48,5235925,USD
2016-04-13,33.92,35.3,33.85,35.16,8358487,USD
2016-04-14,35.29,35.29,34.78,34.91,3898193,USD
2016-04-15,35.02,35.07,34.34,34.57,5357160,USD
2016-04-18,34.56,35.45,34.13,35.44,4526670,USD
2016-04-19,35.48,35.6,34.8,35.21,4159920,USD
2016-04-20,35.34,35.45,34.93,35.25,3502252,USD
2016-04-21,35.17,35.44,34.96,35.19,3113908,USD
2016-04-22,34.87,35.43,34.52,34.65,4673165,USD
2016-04-25,34.61,34.96,34.56,34.92,2743370,USD
2016-04-26,35.08,35.43,34.99,35.21,3566958,USD
2016-04-27,34.93,35.13,33.83,34.37,6867181,USD
2016-04-28,34.24,34.87,33.78,33.9,5250207,USD
2016-04-29,33.6,34.58,33.55,34.47,6444496,USD
2016-05-02,34.7,34.75,33.94,34.58,7586322,USD
2016-05-03,34.16,34.59,33.94,34.11,4309551,USD
2016-05-04,33.82,34.34,33.61,34.28,5769819,USD
2016-05-05,34.34,35.21,34.17,34.91,9968848,USD
2016-05-06,36.99,38.0,36.66,37.87,19055942,USD
2016-05-09,37.79,37.87,36.82,37.15,10815016,USD
2016-05-10,37.23,37.27,36.06,36.41,14277764,USD
2016-05-11,36.61,37.33,36.46,37.11,10242695,USD
2016-05-12,37.17,37.99,37.05,37.91,8132287,USD
2016-05-13,38.0,38.98,37.99,38.29,10209848,USD
2016-05-16,38.45,39.48,38.31,39.39,7785309,USD
2016-05-17,39.1,39.35,37.63,38.12,10669626,USD
2016-05-18,37.98,38.72,37.86,38.47,7680492,USD
2016-05-19,38.23,38.37,37.54,37.8,7602458,USD
2016-05-20,37.81,37.94,37.16,37.53,11641830,USD
2016-05-23,37.63,37.99,37.31,37.73,5634642,USD
2016-05-24,37.92,39.03,37.78,39.02,7620574,USD
2016-05-25,39.19,39.55,38.6,38.95,7681127,USD
2016-05-26,38.91,39.4,38.47,39.09,8255722,USD
2016-05-27,39.13,39.99,39.07,39.34,6266336,USD
2016-05-31,39.54,39.69,39.13,39.26,8466742,USD
2016-06-01,39.26,39.29,38.51,38.65,8432241,USD
2016-06-02,38.72,38.75,38.21,38.69,6581525,USD
2016-06-03,38.69,38.91,37.63,37.81,9685230,USD
2016-06-06,37.65,37.8,36.83,37.76,7727265,USD
2016-06-07,37.95,38.5,37.94,38.13,7315913,USD
2016-06-08,38.1,38.24,37.54,38.12,11260501,USD
2016-06-09,37.99,39.02,37.95,38.54,23555740,USD
2016-06-10,38.13,38.45,37.53,37.77,13435025,USD
2016-06-13,37.53,38.21,37.36,37.63,7169483,USD
2016-06-14,37.46,38.56,37.24,38.41,19995464,USD
2016-06-15,38.46,38.82,38.02,38.33,10464780,USD
2016-06-16,38.25,39.15,38.0,39.03,10064275,USD
2016-06-17,39.03,39.05,37.83,38.08,13336367,USD
2016-06-20,38.56,38.96,38.36,38.69,9354231,USD
2016-06-21,38.75,39.23,38.56,38.66,7156128,USD
2016-06-22,38.74,38.89,38.21,38.32,4724984,USD
2016-06-23,38.66,39.06,38.4,38.92,5674095,USD
2016-06-24,37.5,38.05,36.82,36.98,23589160,USD
2016-06-27,36.6,36.66,35.77,36.15,9340506,USD
2016-06-28,36.66,37.22,36.4,37.18,6306628,USD
2016-06-29,37.81,38.25,37.5,38.02,7641766,USD
2016-06-30,38.23,39.98,38.14,39.63,15052960,USD
2016-07-01,39.69,40.7,39.42,39.61,8179250,USD
2016-07-05,39.4,40.15,39.28,40.15,7336655,USD
2016-07-06,39.78,40.59,39.53,40.51,9232698,USD
2016-07-07,40.52,40.77,40.14,40.39,6273067,USD
2016-07-08,40.64,41.32,40.42,41.29,6617357,USD
2016-07-11,41.44,42.26,41.17,42.2,14715566,USD
2016-07-12,42.41,42.75,41.88,42.66,10545075,USD
2016-07-13,42.79,43.05,42.05,42.11,11462318,USD
2016-07-14,42.36,42.53,41.66,41.85,9624916,USD
2016-07-15,41.96,42.23,41.75,42.2,5083640,USD
2016-07-18,42.4,42.44,42.05,42.14,5927860,USD
2016-07-19,42.0,42.07,41.4,41.52,9314028,USD
2016-07-20,41.68,41.7,41.22,41.38,5973714,USD
2016-07-21,41.41,41.82,41.06,41.27,6440267,USD
2016-07-22,41.35,41.68,40.93,41.44,4454531,USD
2016-07-25,41.96,42.63,41.6,42.4,9409834,USD
2016-07-26,42.4,42.67,41.19,41.56,8253680,USD
2016-07-27,41.52,41.64,40.79,40.89,13737820,USD
2016-07-28,40.29,40.64,40.05,40.27,11111987,USD
2016-07-29,40.3,40.88,39.73,40.16,13731035,USD
2016-08-01,40.39,40.52,39.97,40.07,6581742,USD
2016-08-02,40.07,40.24,39.53,39.75,6677419,USD
2016-08-03,39.64,40.75,39.63,40.38,8760426,USD
2016-08-04,40.94,41.1,40.53,40.83,10976806,USD
2016-08-05,42.25,42.45,40.01,40.56,20866572,USD
2016-08-08,40.73,40.91,40.45,40.61,8080238,USD
2016-08-09,40.52,41.53,40.45,41.25,8535307,USD
2016-08-10,41.14,41.51,41.0,41.1,5463528,USD
2016-08-11,41.14,41.71,41.14,41.31,6542351,USD
2016-08-12,41.14,41.3,40.83,41.14,6413933,USD
2016-08-15,41.61,41.99,41.27,41.48,5800002,USD
2016-08-16,40.25,40.75,39.29,39.31,26068592,USD
2016-08-17,39.55,39.96,39.34,39.88,11513547,USD
2016-08-18,39.99,40.32,39.84,40.02,7273083,USD
2016-08-19,40.13,40.29,39.78,39.98,6064305,USD
2016-08-22,39.99,40.17,39.81,40.12,4581906,USD
2016-08-23,40.23,40.72,40.23,40.64,6391230,USD
2016-08-24,40.68,40.75,40.44,40.67,5037760,USD
2016-08-25,40.47,41.01,40.4,40.99,7901460,USD
2016-08-26,40.95,41.21,40.65,41.05,6890846,USD
2016-08-29,41.11,41.6,41.02,41.29,5917403,USD
2016-08-30,41.33,41.62,41.13,41.58,5658039,USD
2016-08-31,41.41,41.56,41.12,41.37,5751171,USD
2016-09-01,41.44,42.28,41.41,42.15,7821223,USD
2016-09-02,42.29,43.1,42.23,42.8,8730695,USD
2016-09-06,43.0,43.69,42.6,43.51,13585958,USD
2016-09-07,43.74,44.23,43.23,43.38,9687107,USD
2016-09-08,43.36,43.38,42.73,43.3,8130062,USD
2016-09-09,42.79,43.15,42.29,42.29,8149637,USD
2016-09-12,41.95,43.54,41.85,43.46,11055501,USD
2016-09-13,43.22,43.57,42.79,43.41,9134971,USD
2016-09-14,43.48,44.03,43.43,43.66,7776127,USD
2016-09-15,43.62,44.76,43.5,44.59,12342033,USD
2016-09-16,44.67,44.67,44.05,44.42,40786800,USD
2016-09-19,44.58,44.84,44.0,44.12,8135829,USD
2016-09-20,44.26,44.78,44.1,44.13,6055798,USD
2016-09-21,44.89,44.89,43.85,44.67,9032909,USD
2016-09-22,44.86,45.12,44.41,44.51,5873362,USD
2016-09-23,44.98,45.12,44.1,44.36,8694746,USD
2016-09-26,44.22,44.34,43.93,43.98,4426552,USD
2016-09-27,43.91,44.27,43.66,44.21,8861960,USD
2016-09-28,44.2,44.42,43.76,44.16,5579745,USD
2016-09-29,44.15,44.42,43.83,44.21,8464849,USD
2016-09-30,44.37,44.45,43.98,44.3,7844473,USD
2016-10-03,44.3,44.55,43.96,44.1,5452284,USD
2016-10-04,44.2,44.35,43.78,44.13,5786489,USD
2016-10-05,44.1,44.61,43.99,44.53,5806981,USD
2016-10-06,44.55,44.6,43.76,43.99,6222544,USD
2016-10-07,44.09,44.47,43.72,43.92,5604240,USD
2016-10-10,43.96,44.24,43.7,43.79,4564429,USD
2016-10-11,43.56,43.64,42.51,42.9,7005641,USD
2016-10-12,42.79,43.41,42.7,43.33,5586495,USD
2016-10-13,42.98,43.43,42.63,43.16,4186362,USD
2016-10-14,43.57,44.33,43.41,43.69,8669042,USD
2016-10-17,43.63,43.7,43.33,43.53,4725816,USD
2016-10-18,44.01,44.75,43.96,44.18,7676348,USD
2016-10-19,44.23,44.29,43.72,43.79,4531099,USD
2016-10-20,43.92,44.39,43.52,44.32,4867284,USD
2016-10-21,44.32,44.65,43.91,44.54,4296680,USD
2016-10-24,44.9,45.49,44.65,45.47,6608280,USD
2016-10-25,45.53,45.55,44.96,45.06,3680443,USD
2016-10-26,44.95,45.01,44.4,44.44,4894599,USD
2016-10-27,44.65,44.82,43.7,43.72,5590624,USD
2016-10-28,43.64,43.86,42.96,43.32,8982040,USD
2016-10-31,43.42,43.63,43.0,43.17,7173977,USD
2016-11-01,43.27,43.37,42.42,42.6,11286754,USD
2016-11-02,42.63,43.09,42.26,42.6,7792851,USD
2016-11-03,42.96,43.67,42.63,43.37,12822720,USD
2016-11-04,41.04,43.24,40.86,41.7,18751864,USD
2016-11-07,42.52,42.56,40.86,41.09,17854248,USD
2016-11-08,41.01,41.49,40.82,41.01,15018801,USD
2016-11-09,40.19,40.7,39.35,40.15,13194347,USD
2016-11-10,40.35,40.4,38.47,38.7,15002507,USD
2016-11-11,38.43,39.45,38.23,39.41,10626514,USD
2016-11-14,39.21,39.53,37.74,37.77,14885815,USD
2016-11-15,38.0,39.14,37.94,38.53,13211748,USD
2016-11-16,38.51,39.05,38.14,38.97,8134064,USD
2016-11-17,39.07,40.19,38.95,39.94,11680285,USD
2016-11-18,39.92,40.2,38.13,38.39,18679106,USD
2016-11-21,38.58,38.64,37.76,38.43,11460194,USD
2016-11-22,38.43,38.49,36.89,37.17,22636220,USD
2016-11-23,36.55,37.55,36.32,37.26,11775710,USD
2016-11-25,37.45,37.58,37.2,37.22,3206319,USD
2016-11-28,37.37,37.73,37.28,37.37,5779979,USD
2016-11-29,37.3,38.03,37.06,37.95,9710752,USD
2016-11-30,38.06,38.16,36.58,36.61,12091476,USD
2016-12-01,36.65,36.73,35.46,35.58,12374430,USD
2016-12-02,35.66,36.02,35.12,35.71,7256514,USD
2016-12-05,36.01,36.58,35.89,36.48,8661522,USD
2016-12-06,36.6,37.04,36.39,36.7,7291103,USD
2016-12-07,36.74,37.55,36.69,37.45,7164769,USD
2016-12-08,37.45,37.62,37.18,37.39,7015539,USD
2016-12-09,37.2,37.39,36.35,36.79,9203144,USD
2016-12-12,36.77,37.31,36.56,37.17,5379929,USD
2016-12-13,37.39,38.16,37.19,37.32,9555859,USD
2016-12-14,37.23,37.28,36.12,36.74,13216431,USD
2016-12-15,36.9,37.45,36.61,36.99,6676578,USD
2016-12-16,37.05,37.23,36.32,36.47,7632369,USD
2016-12-19,36.33,36.78,35.86,36.63,4941171,USD
2016-12-20,36.67,37.2,36.64,36.83,5730884,USD
2016-12-21,36.92,37.16,36.57,36.9,6008724,USD
2016-12-22,36.9,36.94,36.26,36.44,5128900,USD
2016-12-23,36.44,36.75,36.4,36.5,2713883,USD
2016-12-27,36.55,36.8,36.47,36.53,2552688,USD
2016-12-28,36.66,36.93,36.22,36.43,4925979,USD
2016-12-29,36.5,36.78,36.29,36.48,3855667,USD
2016-12-30,36.53,36.56,35.95,36.11,5091052,USD
2017-01-03,36.44,36.79,36.18,36.64,8360626,USD
2017-01-04,36.77,37.53,36.64,37.36,7643033,USD
2017-01-05,37.5,38.27,37.39,37.94,9814411,USD
2017-01-06,37.95,38.19,37.82,37.91,8365085,USD
2017-01-09,38.09,38.16,37.37,37.7,5432644,USD
2017-01-10,37.67,38.49,37.49,38.38,7640974,USD
2017-01-11,38.47,39.28,38.3,39.2,9481844,USD
2017-01-12,38.99,39.4,38.56,39.13,7859976,USD
2017-01-13,38.68,39.36,38.59,38.95,6372891,USD
2017-01-17,38.95,39.24,38.67,38.95,5458424,USD
2017-01-18,39.0,39.13,38.71,39.08,4404867,USD
2017-01-19,39.05,39.15,38.81,38.86,4611922,USD
2017-01-20,39.01,39.25,38.65,38.97,6106829,USD
2017-01-23,38.96,39.11,38.49,38.53,5130851,USD
2017-01-24,38.56,39.15,38.38,39.1,8364712,USD
