Date,Open,High,Low,Close,Volume,Currency
2016-01-04,230.72,231.38,219.0,223.41,6827146,USD
2016-01-05,226.36,226.89,220.0,223.43,3186752,USD
2016-01-06,220.0,220.05,215.98,219.04,3779128,USD
2016-01-07,214.19,218.44,213.67,215.65,3554251,USD
2016-01-08,217.86,220.44,210.77,211.0,3628058,USD
2016-01-11,214.01,214.45,203.0,207.85,4091422,USD
2016-01-12,211.6,213.74,205.31,209.97,3091917,USD
2016-01-13,212.01,212.65,200.0,200.31,4126416,USD
2016-01-14,202.21,210.0,193.38,206.18,6490741,USD
2016-01-15,198.97,205.07,197.25,204.99,5578640,USD
2016-01-19,208.71,210.47,200.78,204.72,4038676,USD
2016-01-20,199.4,201.28,191.25,198.7,5838608,USD
2016-01-21,201.55,203.23,195.02,199.97,3166159,USD
2016-01-22,204.8,205.5,199.03,202.55,3124055,USD
2016-01-25,200.06,203.57,195.88,196.38,2698739,USD
2016-01-26,196.7,197.82,188.88,193.56,4964180,USD
2016-01-27,192.38,193.26,185.77,188.07,3617221,USD
2016-01-28,190.79,191.28,182.41,189.7,4592754,USD
2016-01-29,189.95,193.74,188.08,191.2,2852289,USD
2016-02-01,188.76,199.52,182.75,196.94,5297639,USD
2016-02-02,192.42,193.12,180.23,182.78,5773637,USD
2016-02-03,183.59,183.94,170.18,173.48,7931362,USD
2016-02-04,170.7,175.98,166.99,175.33,4385366,USD
2016-02-05,171.3,173.0,157.74,162.6,9437591,USD
2016-02-08,157.1,157.15,146.0,147.99,9312988,USD
2016-02-09,142.32,159.79,141.05,148.25,8651648,USD
2016-02-10,150.5,154.97,141.74,143.67,10406513,USD
2016-02-11,152.0,163.26,147.0,150.47,14252364,USD
2016-02-12,155.0,157.01,143.7,151.04,7235783,USD
2016-02-16,158.7,162.95,154.11,155.17,5593794,USD
2016-02-17,159.0,169.34,156.68,168.68,5825159,USD
2016-02-18,172.42,172.95,164.77,166.77,3887574,USD
2016-02-19,163.66,167.49,162.5,166.58,2959390,USD
2016-02-22,170.12,178.91,169.85,177.74,5060051,USD
2016-02-23,176.16,181.73,173.68,177.21,5984374,USD
2016-02-24,172.75,179.5,167.84,179.0,5395609,USD
2016-02-25,178.65,188.52,175.2,187.43,5750741,USD
2016-02-26,188.7,192.0,185.0,190.34,6065117,USD
2016-02-27,190.35,190.35,190.35,190.35,5804727,USD
2016-02-29,192.4,196.35,189.22,191.93,4498997,USD
2016-03-01,194.25,195.95,182.7,186.35,6712159,USD
2016-03-02,183.73,188.52,181.5,188.34,4862396,USD
2016-03-03,188.28,197.42,184.22,195.74,4829018,USD
2016-03-04,198.0,204.03,197.5,201.04,6489058,USD
2016-03-07,197.68,209.7,197.4,205.29,5337072,USD
2016-03-08,203.5,207.5,202.2,202.6,4178693,USD
2016-03-09,204.52,209.37,202.79,208.72,3208554,USD
2016-03-10,210.0,213.29,200.67,205.18,5192523,USD
2016-03-11,207.93,209.42,205.33,207.5,3343077,USD
2016-03-14,212.65,216.72,210.64,215.15,4065706,USD
2016-03-15,214.27,218.97,211.5,218.34,3180452,USD
2016-03-16,218.0,222.58,217.02,221.93,3516703,USD
2016-03-17,221.47,228.5,220.0,226.38,3782891,USD
2016-03-18,229.1,234.48,228.06,232.74,4711793,USD
2016-03-21,235.34,239.88,235.0,238.32,5307822,USD
2016-03-22,237.21,238.99,232.56,234.24,4315988,USD
2016-03-23,232.37,234.73,222.03,222.58,4948841,USD
2016-03-24,215.78,228.89,215.0,227.75,4960900,USD
2016-03-28,231.61,234.81,225.0,230.26,3925685,USD
2016-03-29,229.89,232.38,225.33,230.13,4014330,USD
2016-03-30,235.09,235.5,226.5,226.89,4032982,USD
2016-03-31,229.34,237.42,225.01,229.77,8012872,USD
2016-04-01,244.82,247.9,233.25,237.59,15997509,USD
2016-04-04,249.12,252.12,243.64,246.99,13475327,USD
2016-04-05,240.5,256.56,240.0,255.47,9948699,USD
2016-04-06,253.97,267.74,253.45,265.42,11705479,USD
2016-04-07,266.45,269.34,254.51,257.2,8856171,USD
2016-04-08,260.5,260.82,248.02,250.07,7363935,USD
2016-04-11,251.0,258.99,245.3,249.92,9161693,USD
