Date,Open,High,Low,Close,Volume,Currency
2018-01-16,64.78,65.36,63.37,63.42,9116973,USD
2018-01-17,63.67,64.01,63.08,63.81,7422594,USD
2018-01-18,64.0,64.21,63.54,64.11,5656889,USD
2018-01-19,65.31,67.24,65.12,67.21,12896073,USD
2018-01-22,66.55,66.83,65.76,66.39,8491799,USD
2018-01-23,66.53,67.33,66.44,67.14,6411954,USD
2018-01-24,67.34,68.18,67.07,68.0,7421781,USD
2018-01-25,68.13,68.64,67.45,67.71,5707632,USD
2018-01-26,68.2,68.64,67.92,68.04,6290517,USD
2018-01-29,67.82,68.14,67.42,67.58,5067258,USD
2018-01-30,67.5,68.31,67.16,67.33,6350474,USD
2018-01-31,67.5,68.83,67.47,68.22,11036394,USD
2018-02-01,67.67,67.97,66.7,67.65,5790528,USD
2018-02-02,67.22,67.79,67.0,67.22,9348290,USD
2018-02-05,66.63,67.21,64.39,64.39,12549483,USD
2018-02-06,62.48,65.42,62.09,65.22,13356668,USD
2018-02-07,65.15,66.84,65.1,65.63,8845725,USD
2018-02-08,65.53,65.71,62.46,62.49,14121779,USD
2018-02-09,63.76,66.05,62.84,65.49,13733337,USD
2018-02-12,65.94,66.81,65.68,65.98,9792198,USD
2018-02-13,65.85,66.23,65.43,65.87,9538388,USD
2018-02-14,65.72,68.03,65.55,67.96,8662595,USD
2018-02-15,68.39,68.76,67.25,68.29,7390194,USD
2018-02-16,67.9,69.0,67.74,68.3,6842134,USD
2018-02-20,67.64,67.97,67.05,67.49,4859103,USD
2018-02-21,67.66,68.02,67.03,67.05,5107918,USD
2018-02-22,67.25,67.48,66.74,67.13,6515829,USD
2018-02-23,67.39,68.16,66.85,68.16,4428501,USD
2018-02-26,68.39,69.81,68.34,69.65,6499473,USD
2018-02-27,70.0,70.25,68.03,68.03,6843056,USD
2018-02-28,68.1,68.3,67.01,67.03,6091771,USD
2018-03-01,67.24,67.67,65.67,66.32,7323859,USD
2018-03-02,64.91,66.09,64.21,65.89,8380732,USD
2018-03-05,65.48,65.49,64.34,65.05,8838383,USD
2018-03-06,65.21,65.36,64.63,65.24,6550145,USD
2018-03-07,64.51,64.79,63.89,64.17,6457572,USD
2018-03-08,64.56,65.25,64.48,65.11,5573005,USD
2018-03-09,65.51,66.51,65.36,66.3,5838391,USD
2018-03-12,66.65,67.61,66.32,66.82,7522727,USD
2018-03-13,67.3,67.69,66.13,66.17,5167304,USD
2018-03-14,66.65,66.9,65.67,66.2,6463809,USD
2018-03-15,66.49,66.61,66.13,66.39,5260823,USD
2018-03-16,66.31,66.69,65.91,65.91,12860940,USD
2018-03-19,65.7,66.34,65.19,65.71,7255627,USD
2018-03-20,65.94,66.87,65.93,66.8,6906163,USD
2018-03-21,66.73,67.21,66.31,66.35,5805245,USD
2018-03-22,65.6,66.15,64.23,64.42,12313298,USD
2018-03-23,66.7,67.22,64.46,64.63,17343848,USD
2018-03-26,65.08,66.06,64.99,65.9,10795962,USD
2018-03-27,65.89,67.64,65.43,66.17,9452475,USD
2018-03-28,66.59,67.15,65.27,65.44,7208406,USD
2018-03-29,65.7,66.55,65.61,66.44,10748306,USD
2018-04-02,65.97,66.05,63.21,64.12,12383944,USD
2018-04-03,64.47,66.73,64.36,66.7,8766360,USD
2018-04-04,65.97,68.5,65.93,68.42,10275849,USD
2018-04-05,68.5,69.78,68.39,69.59,9093342,USD
2018-04-06,68.51,69.31,66.93,67.55,9719265,USD
