Date,Open,High,Low,Close,Volume,Currency
2016-01-03,115.02,115.41,112.52,113.73,3094495,USD
2016-01-04,114.23,115.41,113.77,114.88,2743308,USD
2016-01-05,113.74,113.84,112.23,112.74,2288204,USD
2016-01-06,110.66,112.91,110.41,111.58,3919573,USD
2016-01-07,112.2,112.38,109.72,109.96,2271549,USD
2016-01-10,110.29,110.79,108.93,110.29,2454877,USD
2016-01-11,111.03,112.36,110.06,112.1,2913197,USD
2016-01-12,113.26,113.73,109.95,110.06,4265188,USD
2016-01-13,110.44,112.35,109.81,111.02,13742962,USD
2016-01-14,110.81,111.0,107.1,109.38,6885699,USD
2016-01-18,110.96,111.68,109.05,110.87,5347891,USD
2016-01-19,110.0,111.6,108.19,110.69,6027427,USD
2016-01-20,110.19,111.1,108.19,109.43,3970803,USD
2016-01-21,109.7,110.97,109.48,110.04,2295971,USD
2016-01-24,109.95,109.99,107.82,108.0,2984995,USD
2016-01-25,108.51,109.76,108.0,108.58,2669505,USD
2016-01-26,108.15,109.91,107.07,108.1,3433244,USD
2016-01-27,108.55,109.84,108.42,109.52,3314208,USD
2016-01-28,110.18,113.17,110.0,113.07,4205836,USD
2016-01-31,112.27,113.72,111.83,113.28,2824849,USD
2016-02-01,112.05,113.01,111.9,112.47,2199987,USD
2016-02-02,113.18,113.21,110.57,112.83,2110613,USD
2016-02-03,112.26,113.38,111.58,113.22,2777296,USD
2016-02-04,113.0,113.34,111.78,112.25,2718444,USD
2016-02-07,111.63,111.63,107.94,108.89,4742968,USD
2016-02-08,106.82,111.23,106.82,110.58,2312298,USD
2016-02-09,111.81,112.27,110.62,111.69,2431740,USD
2016-02-10,109.7,111.47,109.36,110.84,2159673,USD
2016-02-11,112.0,114.36,111.7,114.31,1884240,USD
2016-02-15,115.24,116.44,114.02,115.67,2931808,USD
2016-02-16,116.24,117.37,115.71,116.91,1864901,USD
2016-02-17,116.91,117.47,115.83,116.36,2208026,USD
2016-02-18,115.69,116.52,115.07,115.67,2102369,USD
2016-02-21,116.83,117.68,116.13,117.09,1281500,USD
2016-02-22,116.63,116.74,115.49,115.7,1316790,USD
2016-02-23,114.58,116.5,114.58,116.18,1312061,USD
2016-02-24,116.73,118.44,116.53,118.39,2264607,USD
2016-02-25,119.24,119.86,117.47,117.51,1671704,USD
2016-02-28,117.0,117.63,115.48,115.53,1842704,USD
2016-02-29,116.0,117.71,115.3,117.71,1833175,USD
2016-03-01,117.11,118.45,116.93,118.36,1251990,USD
2016-03-02,118.5,118.5,117.04,117.84,1484000,USD
2016-03-03,117.66,117.71,115.83,117.18,1851711,USD
2016-03-06,116.51,117.37,115.6,117.35,1866949,USD
2016-03-07,116.45,117.72,116.25,116.28,1273935,USD
2016-03-08,117.0,117.81,116.45,117.78,1439037,USD
2016-03-09,117.97,118.84,116.69,117.6,1690387,USD
2016-03-10,118.75,119.99,118.03,119.95,1322690,USD
2016-03-13,119.28,120.55,118.8,119.74,2149865,USD
2016-03-14,118.36,120.0,115.5,119.5,1479805,USD
2016-03-15,119.0,119.93,118.72,119.45,1719885,USD
2016-03-16,119.5,121.49,119.08,120.99,1745775,USD
2016-03-17,121.28,122.54,120.72,122.47,3715679,USD
2016-03-20,121.96,122.27,120.84,121.39,1441598,USD
2016-03-21,121.11,121.19,120.0,120.12,1678651,USD
2016-03-22,120.1,120.23,118.98,119.58,1977248,USD
2016-03-23,119.31,119.99,118.49,119.61,1304410,USD
2016-03-27,119.61,119.99,118.97,119.22,1305757,USD
2016-03-28,118.55,119.48,117.95,119.42,955659,USD
2016-03-29,119.91,120.33,119.34,119.74,1123172,USD
2016-03-30,119.57,120.01,119.15,119.15,1511907,USD
2016-03-31,118.74,121.03,118.45,120.85,1500738,USD
2016-04-03,123.0,123.14,120.3,120.59,2243681,USD
2016-04-04,119.99,120.0,117.61,117.95,1926962,USD
2016-04-05,117.99,119.32,117.54,119.19,1840723,USD
2016-04-06,118.32,118.77,117.23,117.63,1388417,USD
2016-04-07,118.51,119.28,118.15,118.81,1456591,USD
2016-04-10,118.83,120.09,118.57,118.57,2328881,USD
2016-04-11,118.44,119.73,117.88,119.43,1504321,USD
2016-04-12,120.13,120.68,119.16,120.51,1529009,USD
2016-04-13,120.49,121.47,120.07,120.34,1525371,USD
2016-04-14,120.74,121.43,120.28,120.56,1575015,USD
2016-04-17,120.55,122.02,120.06,122.02,1479260,USD
2016-04-18,122.61,123.17,121.78,122.02,1308421,USD
2016-04-19,122.23,122.76,121.45,122.59,1565863,USD
2016-04-20,121.96,122.54,117.88,118.07,3110205,USD
2016-04-21,118.38,119.45,118.23,119.3,1618416,USD
2016-04-24,119.5,119.5,118.27,119.05,1266562,USD
2016-04-25,119.31,119.76,118.54,118.76,1347250,USD
2016-04-26,118.92,119.16,117.58,118.4,1477713,USD
2016-04-27,117.46,118.31,116.82,117.19,1810911,USD
2016-04-28,117.0,117.96,116.65,117.86,2016206,USD
2016-05-01,117.53,119.42,116.97,118.95,1826924,USD
2016-05-02,118.01,118.62,117.56,118.26,1484806,USD
2016-05-03,117.69,118.67,116.89,117.82,1789595,USD
2016-05-04,119.63,122.62,119.48,122.46,3177423,USD
2016-05-05,121.6,122.63,120.95,122.35,1929745,USD
2016-05-08,121.8,123.05,121.5,122.9,1243463,USD
2016-05-09,123.24,125.28,122.9,125.22,1636207,USD
2016-05-10,124.68,125.03,123.57,123.76,1733611,USD
2016-05-11,124.03,125.82,123.92,125.38,1725429,USD
2016-05-12,124.98,125.84,124.66,125.12,1510167,USD
2016-05-15,124.91,125.77,124.64,125.29,1246136,USD
2016-05-16,125.09,125.41,123.66,124.06,1348857,USD
2016-05-17,123.79,126.06,123.21,125.62,1637685,USD
2016-05-18,124.94,125.05,124.08,124.85,954465,USD
2016-05-19,125.53,126.63,125.0,125.75,1291002,USD
2016-05-22,125.43,126.18,125.0,125.88,1286495,USD
2016-05-23,126.25,128.06,126.05,127.06,1668808,USD
2016-05-24,127.43,128.14,126.89,127.17,1761145,USD
2016-05-25,127.6,127.76,126.06,126.37,1062230,USD
2016-05-26,126.6,127.28,126.28,127.22,1240618,USD
2016-05-30,127.42,127.6,126.0,126.61,1740382,USD
2016-05-31,126.11,127.47,125.52,127.33,1286152,USD
2016-06-01,127.25,127.81,126.67,127.81,991096,USD
2016-06-02,127.25,128.0,125.91,127.56,1188777,USD
2016-06-05,127.53,127.92,126.08,126.8,1543447,USD
2016-06-06,127.02,127.37,126.34,126.4,1234234,USD
2016-06-07,126.2,127.08,126.12,126.92,1141136,USD
2016-06-08,126.4,126.77,125.96,126.5,870766,USD
2016-06-09,125.73,126.61,125.39,125.8,936067,USD
2016-06-12,125.83,126.44,124.35,124.49,1224620,USD
2016-06-13,124.33,124.66,123.88,124.38,1415755,USD
2016-06-14,124.93,125.44,124.1,124.25,1369500,USD
2016-06-15,123.32,125.34,123.26,125.3,1440629,USD
2016-06-16,125.28,125.28,123.72,123.93,2489474,USD
2016-06-19,124.95,125.78,124.58,124.7,1311381,USD
2016-06-20,125.33,125.83,124.73,125.48,1045611,USD
2016-06-21,125.48,126.44,124.97,125.54,1225042,USD
2016-06-22,126.94,128.78,126.4,128.64,1944287,USD
2016-06-23,124.19,126.05,123.0,123.94,2523256,USD
2016-06-26,122.75,122.96,121.08,121.83,1863131,USD
2016-06-27,122.89,125.22,122.04,125.22,1761958,USD
2016-06-28,126.19,127.81,125.61,127.76,1379193,USD
2016-06-29,127.9,130.77,127.52,130.71,1799723,USD
2016-06-30,131.0,131.0,129.84,130.32,1074519,USD
2016-07-04,129.33,129.94,128.65,128.98,1180594,USD
2016-07-05,128.55,129.52,128.07,129.34,1456580,USD
2016-07-06,129.22,129.74,127.85,128.63,1410477,USD
2016-07-07,130.11,130.36,128.89,130.24,1112520,USD
2016-07-10,129.58,130.57,129.12,129.95,1169605,USD
2016-07-11,130.8,130.8,129.37,129.64,1763599,USD
2016-07-12,130.13,130.13,129.38,129.5,945218,USD
2016-07-13,130.78,130.94,129.45,129.9,1938478,USD
2016-07-14,130.56,130.56,129.32,129.57,1074660,USD
2016-07-17,129.49,129.98,129.16,129.29,896606,USD
2016-07-18,129.02,129.15,128.12,128.83,1178719,USD
2016-07-19,129.34,129.6,128.21,128.29,1021486,USD
2016-07-20,128.34,128.63,127.23,127.6,1658256,USD
2016-07-21,127.94,128.62,127.43,128.49,939704,USD
2016-07-24,128.43,128.61,127.54,127.94,1039967,USD
2016-07-25,128.29,128.83,127.47,128.22,1185575,USD
2016-07-26,127.32,128.03,127.04,127.18,1372049,USD
2016-07-27,126.77,127.2,126.06,126.47,1456417,USD
2016-07-28,126.0,126.5,125.24,125.26,1909049,USD
2016-07-31,124.25,125.91,122.7,125.27,1969450,USD
2016-08-01,125.06,125.32,124.66,125.03,1349016,USD
2016-08-02,125.14,126.01,124.83,125.47,1450711,USD
2016-08-03,125.77,126.11,125.15,125.45,1151493,USD
2016-08-04,126.48,127.0,125.67,127.0,1767603,USD
2016-08-07,127.24,127.48,126.67,127.09,1532614,USD
2016-08-08,126.95,127.15,126.71,126.82,1011217,USD
2016-08-09,126.71,126.97,126.2,126.22,1079895,USD
2016-08-10,126.33,126.71,126.0,126.59,883775,USD
2016-08-11,126.5,126.72,126.17,126.33,881210,USD
2016-08-14,126.54,126.81,126.16,126.35,1191472,USD
2016-08-15,125.95,126.52,125.82,126.07,881293,USD
2016-08-16,126.05,126.29,125.51,126.09,1170952,USD
2016-08-17,127.28,127.38,125.69,127.26,1599176,USD
2016-08-18,126.81,127.33,126.02,126.48,1126434,USD
2016-08-21,126.11,126.44,125.6,126.32,810228,USD
2016-08-22,126.05,126.48,125.35,125.38,1196856,USD
2016-08-23,125.14,125.45,124.9,125.26,794766,USD
2016-08-24,125.16,126.47,125.03,126.06,939315,USD
2016-08-25,126.31,126.97,125.26,125.91,987615,USD
2016-08-28,126.1,127.35,126.1,127.08,1033685,USD
2016-08-29,127.14,127.27,126.53,127.24,1188996,USD
2016-08-30,127.22,127.5,126.5,126.93,1408274,USD
2016-08-31,126.96,127.37,125.95,127.1,1219630,USD
2016-09-01,127.5,128.34,127.17,127.81,1087218,USD
